Table No.19 (a),,,,,,,,
"STATEMENT ON REMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS RECEIVED UNDER FIPB/SIA (OTHER THAN ACQUISITION OF EXISTING SHARES) ROUTE DURING JUNE, 2015",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
35,INDIA MORTGAGE GURANATEE CORPORATION PRI,Mauritius,GENWORTH FINANCIALMAURITIUS HOLDIGS LTD.,NEW DELHI,Other credit granting,72.00,1.13,
36,VYOME BIOSCIENCES PVT LTD,Mauritius,"Kalaari Capital Partners II,LLC( earlier",NEW DELHI,Research and experimental development on natural sciences and engineering,0.58,0.01,
37,VYOME BIOSCIENCES PVT LTD,Mauritius,"Kalaari Capital Partners II,LLC( earlier",NEW DELHI,Research and experimental development on natural sciences and engineering,56.13,0.88,
38,VYOME BIOSCIENCES PVT LTD,Mauritius,Indo-US Venture Partners II LLC,NEW DELHI,Research and experimental development on natural sciences and engineering,67.57,1.06,
39,INDIA MORTGAGE GURANATEE CORPORATION PRI,Mauritius,GENWORTH FINANCIAL MAURITIUS HOLDING LIM,NEW DELHI,Other credit granting,326.57,5.11,
40,"INDIA MORTGAGE GURANATEE
CORPORATION PRI",Mauritius,GENWORTH FINANCIAL MAURITIUS HOLDINGS LI,NEW DELHI,Other credit granting,540.00,8.46,
41,TS INVESTMENTS LTD,Netherlands,star india holdings b v,MUMBAI,Activities of holding companies,249.80,3.91,
42,INDIA MORTGAGE GURANATEE CORPORATION PRI,Philippines,ASIAN DEVELOPMENT BANK,NEW DELHI,Other credit granting,195.00,3.05,
43,"INDIA MORTGAGE GURANATEE
CORPORATION PRI",Philippines,ASIAN DEVELOPMENT BANK,NEW DELHI,Other credit granting,156.00,2.44,
44,INDIA MORTGAGE GURANATEE CORPORATION PRI,Philippines,ASIAN DEVELOPMENT BANK,NEW DELHI,Other credit granting,26.00,0.41,
45,BAXTER INDIA P. LTD.,Singapore,Baxter Pacific Investments Pte Ltd,NEW DELHI,Manufacture of allopathic pharmaceutical preparations,925.95,14.50,
46,TRIGUNA HOSPITALITY VENTURES (INDIA) PVT,Singapore,AAPC Singapore Pte Ltd,NEW DELHI,Activities of holding companies,59.52,0.93,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
47,TRIGUNA HOSPITALITY VENTURES (INDIA) PVT,Singapore,APHV India Investco Pvt Ltd,NEW DELHI,Activities of holding companies,66.96,1.05,
48,BAXTER INDIA P. LTD.,Singapore,Baxter Pacific Investments Pte. Ltd,NEW DELHI,Manufacture of allopathic pharmaceutical preparations,618.21,9.68,
49,ICICI BANK LTD.,Singapore,SANJAY JAIN,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",0.32,0.00,
50,H&M HENNES & MAURITZ RETAIL PRIVATE LIMI,Sweden,H&M Hennes & Mauritz GBC AB,NEW DELHI,"Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories",0.10,0.00,
51,H&M HENNES & MAURITZ RETAIL PRIVATE LIMI,Sweden,H&M Hennes & Mauritz International  AB,NEW DELHI,"Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories",0.00,0.00,
52,TM HARBOUR SERVICES PVT LTD,UAE,INTERNATIONAL SHIPPING,KOLKATA,Service activities incidental to water transportation,89.36,1.40,
53,ICICI BANK LTD.,UAE,VIKAS PRASHAD,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings
bank and discount houses",0.55,0.01,
54,TM HARBOUR SERVICES PVT LTD,UAE,INTERNATIONAL SHIPPING,KOLKATA,Service activities incidental to water transportation,44.57,0.70,
55,TM HARBOUR SERVICES PVT LTD,UAE,INTERNATIONAL SHIPPING,KOLKATA,Service activities incidental to water transportation,44.79,0.70,
56,AXIS BANK LIMITED,UAE,RAMESH VENKATESAN,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",2.32,0.04,
57,ICICI BANK LTD.,United Kingdom,GAGAN ARORA,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",0.31,0.00,
58,APTUIT LAURUS PRIVATE LTD.,United Kingdom,Martyn Oliver James Peck,HYDERABAD,Manufacture of allopathic pharmaceutical preparations,0.10,0.00,
59,INTERGLOBE AVIATION LTD,U.S.A,SHOBHA GANGWAL,NEW DELHI,Passenger airways,29.40,0.46,
60,INTERGLOBE AVIATION LTD,U.S.A,RAKESH GANGWAL,NEW DELHI,Passenger airways,58.80,0.92,
61,INTERGLOBE AVIATION LTD,U.S.A,THE CHINKERPOO FAMILY TRUST (TRUSTEE: SH,NEW DELHI,Passenger airways,58.80,0.92,
62,INDIA MORTGAGE GURANATEE CORPORATION PRI,U.S.A,INTERNATIONAL FINANCE CORPORATION,NEW DELHI,Other credit granting,26.00,0.41,
63,AETN18 MEDIA PVT LTD,U.S.A,A & E television Networks,NEW DELHI,Radio broadcasting,39.00,0.61,
64,INDIA MORTGAGE GURANATEE CORPORATION PRI,U.S.A,INTERNATIONAL FINANCE CORPORATION,NEW DELHI,Other credit granting,156.00,2.44,
65,INDIA MORTGAGE GURANATEE CORPORATION PRI,U.S.A,INTERNATIONAL FINANCE CORPORATION,NEW DELHI,Other credit granting,195.00,3.05,
Grand Total,,,,,,"10,799.88",169.12,
