Table No.19 (C),,,,,,,,
"STATEMENT ON REMITTANCE-WISE FDI EQUITY INFLOWS RECEIVED UNDER RBI’s AUTOMATIC ROUTE DURING MAY, 2015",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
27,INDOSOLAR LIMITED ( EAR: PHOENIX SOLAR I,Canada,GREENLITE LIGHTING CORPORATION,NEW DELHI,"Installation of heating systems (electric, gas and oil), furnaces, cooling towers, non-electric solar",144.53,2.27,
28,INDOSOLAR LIMITED ( EAR: PHOENIX SOLAR I,Canada,GREENLITE LIGHTING CORPORATION,NEW DELHI,"Installation of heating systems (electric, gas and oil), furnaces, cooling towers, non-electric solar",60.33,0.95,
29,JUSTINTEGRATE IT PRIVATE LTD,Canada,INTEGRATED CARRIERS,CHENNAI,Providing software support and maintenance to the clients,1.15,0.02,
30,LISTENUP ELECTRONICS INDIA PVT LTD,Canada,Mushtaq Siddiqui,NEW DELHI,"Manufacture of irradiation, electromedical and electrotherapeutic equipment",2.00,0.03,
31,PAXCOM INDIA PRIVATE LIMITED,Canada,GLOBAL BLUE MARKETING LTD,NEW DELHI,Providing software support and maintenance to the clients,0.90,0.01,
32,SKILLSDOX INDIA PVT LTD,Canada,Skilldox Inc.,MUMBAI,Higher education in other professional/ vocational courses leading to a degree or equivalent,0.10,0.00,
33,ADI GOLD MINING PVT LTD.,Canada,pebble creek mining ltd,NEW DELHI,Opencast mining of hard coal,9.30,0.15,
34,K.I.Z. FOODS LIMITED,Canada,MARIYAM ALIBHAI,AHMEDABAD,"Manufacture of pickles, chutney etc.",1.20,0.02,
35,UBUNTU HEALTH SOLUTIONS PRIVATE LIMITED,Canada,2436684 Ontario INC,NEW DELHI,Hospital activities,5.43,0.09,
36,LISTENUP ELECTRONICS INDIA PVT LTD,Canada,Imitiaz Ahmad Siddiqui,NEW DELHI,"Manufacture of irradiation, electromedical and electrotherapeutic equipment",2.00,0.03,
37,LISTENUP ELECTRONICS INDIA PVT LTD,Canada,Mushtaq Siddiqui,NEW DELHI,"Manufacture of irradiation, electromedical and electrotherapeutic equipment",0.20,0.00,
38,LISTENUP ELECTRONICS INDIA PVT LTD,Canada,Mushtaq Siddiqui,NEW DELHI,"Manufacture of irradiation, electromedical and electrotherapeutic equipment",2.00,0.03,
39,LISTENUP ELECTRONICS INDIA PVT LTD,Canada,Imtiaz Ahmad Siddiqui,NEW DELHI,"Manufacture of irradiation, electromedical and electrotherapeutic equipment",1.60,0.03,
40,,,,,,,,
41,,,,,,,,
42,,,,,,,,
43,,,,,,,,
44,GRAND BATTERIES PRIVATE LIMITED,China,QUANZHOU ZHISIENG RUBBER COMPANY LIMITED,JAIPUR,"Manufacture of primary cells and primary batteries nd rechargable batteries, cells containing manganese",18.91,0.30,
45,WING TELECOM INDIA PRIVATE LIMITED,China,Wing Telecom Ltd,NEW DELHI,"Wholesale of radio, television and other consumer electronics including CD/ DVD players and recorder",0.10,0.00,
46,WING TELECOM INDIA PRIVATE LIMITED,China,Wingtech Group,NEW DELHI,"Wholesale of radio, television and other consumer electronics including CD/ DVD players and recorder",0.00,0.00,
47,CONTEG INDIA PVT LTD,Czech Republic,CONTEG SPOL SR.O,BANGALORE,Manufacture of other fabricated metal products n.e.c.,5.00,0.08,
48,PACIFICA(AHMEDABAD PROJECT) DEVELOPERS P,Cyprus,PAC VENTURES LTD,AHMEDABAD,Construction of buildings carried out on own-account basis or on a fee or contract basis,79.37,1.24,
49,LOTUS SHOPPING CENTRES PVT LTD,Cyprus,KAKOSI LIMITED,BANGALORE,Construction of buildings carried out on own-account basis or on a fee or contract basis,13.93,0.22,
50,ACHINDRA ONLINE MARKETING PVT. LTD.,Cyprus,IMI INVESTMENTS ONE LIMITED,BANGALORE,"Other professional, scientific and technical activities n.e.c.",21.00,0.33,
51,LOTUS SHOPPING CENTRES PVT LTD,Cyprus,KAKOSI LIMITED,BANGALORE,Construction of buildings carried out on own-account basis or on a fee or contract basis,56.79,0.89,
52,FOUR INTERACTIVE PVT. LTD,Cyprus,FOUR INTERACTIVE CYPRUS LIMITED,BANGALORE,Other information technology and computer service activities n.e.c,2.78,0.04,
53,ASKOT DEVELOPERS PVT LTD,Cyprus,PERFODEMIC LTD,NEW DELHI,Real estate activities with own or leased property,10.01,0.16,
54,GEMM ECONOMIC ZONES PVT LTD,Cyprus,Navasa Ventures Ltd,HYDERABAD,"MINING OF CLAYS (KAOLIN, BALL CLAY, WOLLASTONITE,",3.02,0.05,
55,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
56,,,,,,(In Rs million),(In US$ million),
57,YOBOHO NEW MEDIA PVT LTD,Canada,broadband tvcorporation,MUMBAI,Production of motion picture,235.82,3.70,
58,FLEX ROAD SAFETY INDIA PVT LTD,Canada,MAHAMUDDUR RAHMAN,NEW DELHI,Other non-specialised wholesale trade n.e.c.,0.05,0.00,
59,JASPER INFOTECH PVT LTD,Caymen Islands,Emerginh Markets Alpha Master Fund Limit,NEW DELHI,Other information technology and computer service activities n.e.c,158.55,2.49,
60,JASPER INFOTECH PVT LTD,Caymen Islands,Myriad Opportunities Master Fund Limited,NEW DELHI,Other information technology and computer service activities n.e.c,540.22,8.47,
61,ANI TECHNOLOGIES PVT LTD,Caymen Islands,DST Global Co-Invest Ltd,MUMBAI,Other information technology and computer service activities n.e.c,942.74,14.78,
62,ANI TECHNOLOGIES PVT LTD,Caymen Islands,DST Investments XII Ltd,MUMBAI,Other information technology and computer service activities n.e.c,"4,283.59",67.14,
63,ANI TECHNOLOGIES PVT LTD,Caymen Islands,DST Investments XII Ltd,MUMBAI,Other information technology and computer service activities n.e.c,1.59,0.02,
64,JASPER INFOTECH PVT LTD,Caymen Islands,PAN ASIA OPPORTUNITIES MASTER FUND LIMIT,NEW DELHI,Other information technology and computer service activities n.e.c,390.38,6.12,
64,ANI TECHNOLOGIES PVT LTD,Caymen Islands,DST Global IV Co Invest Ltd,MUMBAI,Other information technology and computer service activities n.e.c,1.59,0.02,
65,JASPER INFOTECH PVT LTD,Caymen Islands,Tybourne Equity Master Fund,NEW DELHI,Other information technology and computer service activities n.e.c,377.02,5.91,
66,FOXCONN TECHNOLOGY (INDIA) PRIVATE LIMIT,Caymen Islands,Fox Teq Holdings Inc,CHENNAI,Manufacture of other communication equipments n.e.c.,0.00,0.00,
67,JASPER INFOTECH PVT LTD,Caymen Islands,TYBOURNE EQUITY MASTER FUND,NEW DELHI,Other information technology and computer service activities n.e.c,929.91,14.58,
68,JASPER INFOTECH PVT LTD,Caymen Islands,MYRAID OPPORTUNITIES MASTER FUND LIMITED,NEW DELHI,Other information technology and computer service activities n.e.c,"1,332.96",20.89,
69,HIGHLY ELECTRICAL APPLIANCES INDIA PRIVA,China,SHANGHAI HITACHI ELECTRICAL APPLIANCES C,AHMEDABAD,"Manufacture of other pumps, compressors, taps and valves etc.",566.91,8.89,
70,HUIJIN ELECTRONIC INDIA PVT. LTD,China,Cao Shengying,PATNA,"Wholesale of telephone, mobile phone and communications equipment and parts",20.00,0.31,
71,JASPER INFOTECH PVT LTD,China,HANS TUNG,NEW DELHI,Other information technology and computer service activities n.e.c,2.75,0.04,
72,PALS PLUSH INDIA PRIVATE LIMITED,China,PALS PLUST LIMITED,NEW DELHI,Manufacture of other games and toys n.e.c.,5.00,0.08,
73,PALS PLUSH INDIA PRIVATE LIMITED,China,PALS PLUST LTD,NEW DELHI,Manufacture of other games and toys n.e.c.,29.98,0.47,
74,GENERAL MOTORS INDIA PVT LTD,China,SAIC GENERAL MOTORS INVESTMENT LIMITED,AHMEDABAD,Manufacture of passenger cars,"7,512.00",117.74,
75,RONGSHENG MOBILE INDIA PRIVATE LIMITED,China,LI  ZHAORONG,GUWAHATI,"Wholesale of telephone, mobile phone and communications equipment and parts",5.45,0.09,
76,RONGSHENG MOBILE INDIA PRIVATE LIMITED,China,ZHENG XIAOBIN,GUWAHATI,"Wholesale of telephone, mobile phone and communications equipment and parts",0.06,0.00,
77,GENERAL MOTORS INDIA PVT LTD,China,SAIC GENERAL MOTORS INVESTMENT LIMITED,AHMEDABAD,Manufacture of passenger cars,"4,667.61",73.16,
78,ARKSUN SYSTEMS SOLUTIONS PRIVATE LIMITED,China,AIRI CONSULTING SA,BANGALORE,"Writing , modifying, testing of computer program to meet the needs of a particular client excluding web-page",49.31,0.77,
79,HEJIAN SOLIDKEY PETROLEUM MACHINERY CO.,China,Hejian Solidkey Petroleum Machinery Co.,NEW DELHI,Construction of long distance pipelines or urban pipelines,0.10,0.00,
80,EMORI INDIA TRADING PVT LTD,China,EMORI CHINA CO. LTD.,MUMBAI,"Wholesale of industrial chemicals,",4.16,0.07,
81,PODDAR GLOBAL LTD.,China,Horizon Focus Limited,NEW DELHI,"Wholesale of paper and other stationery items; books, magazines and newspapers",1.55,0.02,
82,PODDAR GLOBAL LTD.,China,Horizon Focus Limited,NEW DELHI,"Wholesale of paper and other stationery items; books, magazines and newspapers",61.13,0.96,
83,WING TELECOM INDIA PRIVATE LIMITED,China,Danlin Zhang,NEW DELHI,"Wholesale of radio, television and other consumer electronics including CD/ DVD players and recorder",0.00,0.00,
84,ANKIT SHINY MECHANICALS INDIA PL,China,Shanghai Shiny Investment Company Ltd,MUMBAI,Manufacture of other structural metal products,9.00,0.14,
85,CHOICEMMED TECHNOLOGY INDIA PRIVATE LIMI,China,Beijing Choice Electronic Technology,NEW DELHI,"Wholesale of scientific, medical and surgical machinery and equipment",3.73,0.06,
86,CHOICEMMED TECHNOLOGY INDIA PRIVATE LIMI,China,Tianjin Choice Electronic Technology,NEW DELHI,"Wholesale of scientific, medical and surgical machinery and equipment",0.05,0.00,
,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,,,,,"BENTONITE, FULLERS EARTH, FIRECLAY ETC. )",,,
82,JUBILANT DRAXIMAG LTD(FORM.DRAXIMAGE IND,Cyprus,DRAXIMAGE LIMITED,NEW DELHI,Other human health activities n.e.c. (including independent ambulance activities),2.25,0.04,
83,WONDERCHEF HOME APPLIANCES PVT LTD,Cyprus,Prominvesco (Cyprus) limited,MUMBAI,"Wholesale of other households goods, n.e.c. [Includes wholesale of household equipment and appliances,",10.01,0.16,
84,EMERALD LANDS (I) P. LTD.,Cyprus,M/s CROWNWORLD LIMITED,NEW DELHI,Construction of buildings carried out on own-account basis or on a fee or contract basis,5.08,0.08,
85,DANMAGI INDIA PRIVATE LIMITED,Denmark,Danmagi APS,NEW DELHI,"Other data processing, hosting and related activities n.e.c.",4.30,0.07,
86,DANMAGI INDIA PRIVATE LIMITED,Denmark,DANMAGI APS,NEW DELHI,"Other data processing, hosting and related activities n.e.c.",1.96,0.03,
87,ASTRA DAIRY FARMS PRIVATE LIMITED,Denmark,Interior Collection Holding AS,CHENNAI,Manufacture of other dairy products n.e.c.,2.47,0.04,
88,NEW LIFE INDIA FERTILITY CLINIC PRIVATE,Estonia,FEST-OU,NEW DELHI,Medical practice activities,0.68,0.01,
89,NEW LIFE INDIA FERTILITY CLINIC PRIVATE,Estonia,FEST-OU,NEW DELHI,Medical practice activities,1.71,0.03,
90,NEW LIFE INDIA FERTILITY CLINIC PRIVATE,Estonia,FEST-OU,NEW DELHI,Medical practice activities,0.05,0.00,
91,NEW LIFE INDIA FERTILITY CLINIC PRIVATE,Estonia,FEST-OU,NEW DELHI,Medical practice activities,1.64,0.03,
92,NEW LIFE INDIA FERTILITY CLINIC PRIVATE,Estonia,FEST-OU,NEW DELHI,Medical practice activities,0.51,0.01,
93,NEW LIFE INDIA FERTILITY CLINIC PRIVATE,Estonia,FEST-OU,NEW DELHI,Medical practice activities,1.05,0.02,
94,FORTUM TARAPUR HEAT PRIVATE LIMITED (EAR,Finland,Taisto Tapani,NEW DELHI,Electric power generation by coal based thermal power plants,0.00,0.00,
95,STERA ENGINEERING (INDIA) PVT LTD,Finland,STERA GROUP OY,CHENNAI,Manufacture of other fabricated metal products n.e.c.,13.65,0.21,
96,STERA ENGINEERING (INDIA) PVT LTD,Finland,STERA GROUP OY,CHENNAI,Manufacture of other fabricated metal products n.e.c.,12.86,0.20,
97,ARCELOR NEEL TAILORED BLANK PVT LTD,France,NOBLE INTERNATIONAL LORRAINE,NEW DELHI,Manufacture of other fabricated metal products n.e.c.,7.28,0.11,
98,SEVEN INDIA HOSPITALITY PVT. LTD.,France,SEVEN PARTNERS SAS,BANGALORE,"Hotels and Motels, inns, resorts providing short term lodging facilities includes accommodation in house includes
accommodation in house",2.04,0.03,
99,EOLANE ELECTRONICS BANGALORE PVT TLD (FO,France,FINANCIERE DE L'OMBREE,BANGALORE,Manufacture of other electrical equipment,68.58,1.07,
100,LHOTELLIER IKOS ENVIRONMENT I PVT LTD,France,LEAD S.A.R.L.,CHENNAI,Treatment and disposal of non-hazardous waste,38.20,0.60,
101,M/S ACME SOLAR ENERGY PRIVATE LIMITED,France,EDF EN India SAS,NEW DELHI,Electric power generation using solar energy,192.40,3.02,
102,AUXEL FTG INDIA PVT LTD,France,STEMFI SA,BANGALORE,Manufacture of other electrical equipment,2.66,0.04,
103,GROUPE SEB INDIA PRIVATE LIMITED,France,SEB INTERNATIONALE SAS,NEW DELHI,Manufacture of other domestic appliances n.e.c.,900.00,14.11,
104,CRYSTAL BALL FASHIONS PRIVATE LIMITED,France,RENE DERHY IMPORT EXPORT,NEW DELHI,"Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories",5.75,0.09,
105,INNOVATIVE CLAD SOLUTIONS PVT LTD.,France,M/s Aperam Alloys Imphy,NEW DELHI,"Manufacture of jewellery of gold, silver and other precious or base metal metal clad with precious metals",28.68,0.45,
106,GEFCO INDIA PVT LTD,France,GEFCO SA,MUMBAI,Motorised road freight transport,40.00,0.63,
107,TOKHEIM INDIA PVT LTD (TOKHEIM KAIZEN IN,France,"Tokheim Group SAS, Paris",MUMBAI,Manufacture of metal containers for compressed or liquefied gas,50.00,0.78,
108,CAFOM SOURCING INDIA PRIVATE LIMITED,France,CAFOM Distribution,NEW DELHI,Activities of other commission agents n.e.c. (including commission agents working in emerging areas for,3.45,0.05,
109,CEVA ANIMAL HEALTH INDIA PRIVATE LIMITED,France,Ceva SanteAnimale SA,NEW DELHI,Wholesale of pharmaceutical and medical goods,0.11,0.00,
110,JADE E SERVICES PVT LTD,Germany,Jabong GmbH,MUMBAI,Other information service activities n.e.c.,186.87,2.93,
111,JADE E SERVICES PVT LTD,Germany,Jambong Gmbh,MUMBAI,Other information service activities n.e.c.,233.87,3.67,
112,BBM ACOUSTIC (I) PVT. LTD.,Germany,BBM Akustik Technologie GmBH,MUMBAI,Manufacture of other articles n.e.c.,12.71,0.20,
113,M/S AVANTHA ERGO LIFE INSURANCE CO. LTD.,Germany,Ergo International AG,NEW DELHI,Life insurance,99.99,1.57,
114,BODHI BRANDSPRIVATE LIMITED,Germany,Stefan Ropers,MUMBAI,"Manufacture of jewellery of gold, silver and other precious or base metal metal clad with precious metals",3.00,0.05,
115,AVANTGRADE INDIA PRIVATE LIMITED,Germany,Avantgarde Gesellschaft Fuer Kommunikati,NEW DELHI,Organization of conventions and trade shows,17.20,0.27,
116,MONTAPLAST INDIA PVT LTD,Germany,Stulz Holding GMBH,MUMBAI,"Manufacture of parts and accessories of bodies for motor vehicles such as safety belts, airbags, doors,",32.50,0.51,
117,HONEYCOMB E-SERVICES PVT LTD,Germany,JADE 1386 GMBH & CO.,NEW DELHI,Other information service activities n.e.c.,3.30,0.05,
118,CSI SEMICONDUCTOR PVT LTD,Germany,CDA GMBH,MUMBAI,Other information technology and computer service activities n.e.c,0.05,0.00,
119,CENTOGENE INDIA PRIVATE LIMITED (EAR: QL,Germany,CENTOGENE AG,NEW DELHI,Other human health activities n.e.c. (including independent ambulance activities),2.69,0.04,
120,FOREVER ZOE HANDICRAFT PVT LTD,Germany,CHRISTIANE MARIA MUELLER,NEW DELHI,Manufacture of other containers of paper and paperboard n.e.c.,0.18,0.00,
121,GAJAM INDIA PVT LTD,Germany,GAJAM GROUP GMBH,NEW DELHI,"Activities of commission agents, brokers dealing in wholesale trade of agricultural raw material, live",1.50,0.02,
122,GAJAM INDIA PVT LTD,Germany,GAJAM GROUP GMBH,NEW DELHI,"Activities of commission agents, brokers dealing in wholesale trade of agricultural raw material, live",2.27,0.04,
123,GAJAM INDIA PVT LTD,Germany,GAJAM GROUP GMBH,NEW DELHI,"Activities of commission agents, brokers dealing in wholesale trade of agricultural raw material, live",0.87,0.01,
,,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
124,NETWORK PLAY MEDIA PVT LTD,Germany,G J International Magazines GMBH,NEW DELHI,Advertising,169.78,2.66,
125,WESTFALIA METAL COMPONENTS INDIA PVT LTD,Germany,WESTFALIA METALLSCHLAUCH- TECHNIK VERWAL,MUMBAI,"Manufacture of diverse parts and accessories for motor vehecles sucs as brakes, gearboxes, axles, road",35.25,0.55,
126,A.W.FABER CASTELL (INDIA)  PRIVATE LIMIT,Germany,FABER CASTELL AKTIENGESELLSCHAFT,MUMBAI,"Manufacture of stationary articles such as pens and pencils of all kinds whether or not mechanical, pencil",60.00,0.94,
127,METRO CASH & CARRY INDIA PVT. LTD,Germany,METRO CASH & CARRY INTERNATIONAL GMBH,BANGALORE,Wholesale trade via e-commerce excluding activities of commission agents,"4,000.00",62.70,
128,ILLIG INDIA PVT LTD,Germany,ILLIG MASCHINENBAU GMBH & CO KG,NEW DELHI,Manufacture of other plastics products n.e.c.,19.30,0.30,
129,ILLIG INDIA PVT LTD,Germany,ILLIG GMBH,NEW DELHI,Manufacture of other plastics products n.e.c.,0.00,0.00,
130,CERAMTEC INDIA INNOVATIVE CERAMIC ENGINE,Germany,Ceramtec GMBH,PANAJI,Manufacture of ceramic products n.e.c.,2.94,0.05,
131,JADE E SERVICES PVT LTD,Germany,M/s Jabong GmbH,MUMBAI,Other information service activities n.e.c.,431.08,6.76,
132,JADE E SERVICES PVT LTD,Germany,Jabong GmbH,MUMBAI,Other information service activities n.e.c.,322.78,5.06,
133,NEWCORE INDUSTRIES PRIVATE LIMITED,Germany,David Ian Hayward,NEW DELHI,Activities of interior decorators,0.05,0.00,
134,AYU ORGANIC PRODUCTS PRIVATE LIMITED,Germany,ANDREAS PETER BUKO HARTMANN,AHMEDABAD,Manufacture of other pharmaceutical and botanical products n.e.c. like hina powder etc.,0.05,0.00,
135,NOVATEC SOLAR INDIA PVT LTD,Germany,novatec solar gmbh,NEW DELHI,"Installation of thermal, sound or vibration insulation system in buildings",2.80,0.04,
136,MENNEKES ELECTRIC INDIA PVT LTD,Germany,"Mennekes Elektrotechnik GMBH & CO.,KG",CHENNAI,Manufacture of electricity distribution and control apparatus (electrical apparatus for switching or,4.00,0.06,
137,ETAS AUTOMOTIVE INDIA PRIVATE LIMITED,Germany,ETAS GMBH,BANGALORE,Wholesale of software,35.00,0.55,
138,SARTORIUS WEIGHING INDIA PRIVATE LIMITED,Germany,SARTORIUS WEIGHING TECHNOLOGY GMBH,BANGALORE,Manufacture of weighing machinery (other than sensitive laboratory balances),169.68,2.66,
139,SAGITTARIUS ESERVICES PRIVATE LIMITED,Germany,JUWEL 130 UG (HAFTUNGSBESCHRANKT) & CO,NEW DELHI,"Wholesale of paper and other stationery items; books, magazines and newspapers",39.44,0.62,
140,WIELAND METALS INDIA PRIVATE LIMITED,Germany,WIELAND WERKE AG,BANGALORE,"Manufacture of Copper from ore, and other copper products and alloys",23.10,0.36,
141,OPTIMA INDIA PACKING MACHINES PVT LTD,Germany,OPTIMA AUSLANDSBETEILIGUNGS GMBH,BANGALORE,Manufacture of other special-purpose machinery n.e.c.,31.25,0.49,
142,SARTORIUS WEIGHING INDIA PRIVATE LIMITED,Germany,SARTORIUS WEIGHING TECHNOLOGY GMBH,BANGALORE,Manufacture of weighing machinery (other than sensitive laboratory balances),0.10,0.00,
143,SARTORIUS WEIGHING INDIA PRIVATE LIMITED,Germany,SARTORIUS WEIGHING TECHNOLOGIY GMBH,BANGALORE,Manufacture of weighing machinery (other than sensitive laboratory balances),49.90,0.78,
144,ALUPLAST INDIA PVT LTD,Germany,ALUPLAST GMBH,NEW DELHI,"Installation of doors, windows, door and window frames, fitted kitchens, of wood or other materials",30.00,0.47,
145,FERROSTAAL INDIA PRIVATE LIMITED,Germany,FERROSTAAL AKTIENGESELLSCHAFT,NEW DELHI,Management consultancy activities,3.00,0.05,
146,ABL SURSUM INDIA PVT LTD,Germany,ABL SURSUM BAYERISCHE ELEKTROZUBEHORGMBH,NEW DELHI,Manufacture of other electrical equipment,0.36,0.01,
147,JADE E SERVICES PVT LTD,Germany,Jabong JabH,MUMBAI,Other information service activities n.e.c.,243.72,3.82,
148,HANNOVER RE RISK MANAGEMENT SERVICES IND,Germany,HANNOVER RUCK SE,NEW DELHI,Other business support service activities n.e.c.,40.00,0.63,
149,HANNOVER RE RISK MANAGEMENT SERVICES IND,Germany,FUNIS GMBH & CO KG,NEW DELHI,Other business support service activities n.e.c.,0.00,0.00,
150,HITEX HEALTHCARE PVT LTD,Germany,RALF PETER LANG,CHANDIGARH`,Manufacture of other medical and dental instruments n.e.c.,9.26,0.15,
151,NOSKE-KAESER INDIA PRIVATE LIMITED,Germany,Noske-Kaeser,NEW DELHI,"Manufacture of refrigerating or freezing equipment f industrial use, including assemblies of major c",11.56,0.18,
152,DAIMLER FINANCIAL SERVICES INDIA PRIVATE,Germany,Daimler AG,CHENNAI,Financial leasing,"2,255.00",35.34,
153,GENCOR PACIFIC AUTO ENGINEERING PVT LTD,HongKong,Gencor Pacific limited,CHENNAI,"Manufacture of other transport equipments n.e.c. such as pushcarts, handcarts etc",50.00,0.78,
154,UL QUALITY ASSURANCE PVT LTD (FORMERLY:,HongKong,US VS HONG KONG LTD,MUMBAI,Technical testing and analysis,2.86,0.04,
155,SEA-AIR CONSOLIDATORS INDIA PRIVATE LIMI,HongKong,SEA AIR CONSOLIDATORS PVT LTD,NEW DELHI,"Activities related to air transport of passengers, animals or freight",0.69,0.01,
156,INTERMED HEALTHCARE PVT LTD,HongKong,INTERMED HOLDINGS (ASIA) LTD,NEW DELHI,Hospital activities,1.56,0.02,
157,KGK GEMS PVT LTD,HongKong,PRECIOUS INVESTMENTS(HK)LTD,MUMBAI,Other non-specialised wholesale trade n.e.c.,108.80,1.71,
158,RAINBOW AGROSCIENCES PRIVATE LIMITED,HongKong,SHANDONG RAINBOW AGROSCIENCES CO LIMITED,AHMEDABAD,Wholesale of fertilizers and agrochemical products,6.10,0.10,
159,"MEDWELL VENTURES PRIVATE LIMITED, EARLIE",HongKong,OIKOS ASIA HEALTHCARE LIMITED,AHMEDABAD,Other human health activities n.e.c. (including independent ambulance activities),5.00,0.08,
160,M/S MVENTUS SOLUTION PVT LTD,HongKong,MVENTUS SOLUTIONS LIMITED (FORMERLY KNOW,NEW DELHI,Providing software support and maintenance to the clients,0.62,0.01,
