Table No.19 (a),,,,,,,,
"STATEMENT ON REMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS RECEIVED UNDER FIPB/SIA (OTHER THAN ACQUISITION OF EXISTING SHARES) ROUTE DURING JULY TO SEPTEMBER, 2015",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,,,,,based thermal power plants,,,
24,D.B. CORP LIMITED,Mauritius,AS per list,AHMEDABAD,Publishing of newspapers,0.88,0.01,
25,D.B. CORP LIMITED,Mauritius,As per list,AHMEDABAD,Publishing of newspapers,1.59,0.03,
26,AMRI INDIA PVT LTD,Mauritius,Albany Molecular Research Mauritius Pvt,MUMBAI,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics, endocrine",62.50,0.94,
27,AXIS INFRASTRUCTURE FUND,Mauritius,AXIS INDIA INFRASTRUCTURE HOLDINGS,MUMBAI,Management of mutual funds,4.30,0.06,
28,KNOWLARITY COMMUNICATIONS PVT LTD,Mauritius,SCI Growth Investments II,NEW DELHI,Other telecommunications activities,3.46,0.05,
29,KNOWLARITY COMMUNICATIONS PVT LTD,Mauritius,MAYFIELD FVCI LTD,NEW DELHI,Other telecommunications activities,59.44,0.90,
30,KNOWLARITY COMMUNICATIONS PVT LTD,Mauritius,Mayfield FVCI Ltd,NEW DELHI,Other telecommunications activities,1.15,0.02,
31,KNOWLARITY COMMUNICATIONS PVT LTD,Mauritius,SCI Growth Investments II,NEW DELHI,Other telecommunications activities,92.55,1.40,
32,KNOWLARITY COMMUNICATIONS PVT LTD,Mauritius,Mayfield FVCI Ltd,NEW DELHI,Other telecommunications activities,45.22,0.68,
33,KNOWLARITY COMMUNICATIONS PVT LTD,Mauritius,MAYFIELD FVCI LTD,NEW DELHI,Other telecommunications activities,148.56,2.24,
34,KNOWLARITY COMMUNICATIONS PVT LTD,Mauritius,SCI GROWTH INVESTMENTS II,NEW DELHI,Other telecommunications activities,19.23,0.29,
35,REGUS OFFICE CENTRE SERVICES PVT LTD,Mauritius,"Regus India Holdings Ltd.,",NEW DELHI,Other business support service activities n.e.c.,0.10,0.00,
36,REGUS OFFICE CENTRE SERVICES PVT LTD,Mauritius,"Regus Mauritius Company Ltd.,",NEW DELHI,Other business support service activities n.e.c.,0.00,0.00,
37,FIELD FRESH FOODS PVT. LTD.,Mauritius,DMPL India Limited,NEW DELHI,"Manufacture of fruit or vegetable juices and their concentrates, squashes and powder",45.00,0.69,
38,REGUS OFFICE CENTRE SERVICES PVT LTD,Mauritius,Regus India Holdings Ltd.,NEW DELHI,Other business support service activities n.e.c.,0.09,0.00,
39,REGUS OFFICE CENTRE SERVICES PVT LTD,Mauritius,Regus India Holdings Ltd.,NEW DELHI,Other business support service activities n.e.c.,0.08,0.00,
40,FIELD FRESH FOODS PVT. LTD.,Mauritius,DMPL India Ltd,NEW DELHI,"Manufacture of fruit or vegetable juices and their concentrates, squashes and powder",50.00,0.77,
41,FIELD FRESH FOODS PVT. LTD.,Mauritius,DMPL India Limited,NEW DELHI,"Manufacture of fruit or vegetable juices and their concentrates, squashes and powder",45.00,0.69,
42,LA RENON HEALTHCARE PRIVATE LIMITED,Mauritius,SEQUOIA CAPITAL INDIA INVESTMENTS IV,AHMEDABAD,Wholesale of pharmaceutical and medical goods,0.15,0.00,
43,LA RENON HEALTHCARE PRIVATE LIMITED,Mauritius,SEQUOIA CAPITAL INDIA INVESTMENTS IV,AHMEDABAD,Wholesale of pharmaceutical and medical goods,679.85,10.27,
44,INDIA MORTGAGE GURANATEE CORPORATION PRI,Mauritius,GENWORTH FINANCIAL MAURITIUS HOLDINGS LT,NEW DELHI,Other credit granting,108.00,1.63,
45,OOMS AVENHORN HOLDING INDIA PRIVATE LIMI,Netherlands,OOMS AVENHORN BV,NEW DELHI,Other non-specialised wholesale trade n.e.c.,0.77,0.01,
46,OOMS AVENHORN HOLDING INDIA PRIVATE LIMI,Netherlands,OOMS AVENHORN HOLDING BV,NEW DELHI,Other non-specialised wholesale trade n.e.c.,75.94,1.15,
47,OOMS AVENHORN HOLDING INDIA PRIVATE LIMI,Netherlands,OOMS AVENHORN BV,NEW DELHI,Other non-specialised wholesale trade n.e.c.,0.43,0.01,
48,OOMS AVENHORN HOLDING INDIA PRIVATE LIMI,Netherlands,OOMS AVENHORN HOLDING BV,NEW DELHI,Other non-specialised wholesale trade n.e.c.,42.57,0.64,
49,OOMS AVENHORN HOLDING INDIA PRIVATE LIMI,Netherlands,OOMS AVENHORN BV,NEW DELHI,Other non-specialised wholesale trade n.e.c.,0.50,0.01,
50,OOMS AVENHORN HOLDING INDIA PRIVATE LIMI,Netherlands,OOMS AVENHORN HOLDING BV,NEW DELHI,Other non-specialised wholesale trade n.e.c.,49.50,0.75,
51,OOMS AVENHORN HOLDING INDIA PRIVATE LIMI,Netherlands,OOMS AVENHORN HOLDIND BV,NEW DELHI,Other non-specialised wholesale trade n.e.c.,2.15,0.03,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
52,OOMS AVENHORN HOLDING INDIA PRIVATE LIMI,Netherlands,OOMS AVENHORN BV,NEW DELHI,Other non-specialised wholesale trade n.e.c.,0.02,0.00,
53,TAKATA INDIA PVT LTD,Netherlands,takata international finance BV,NEW DELHI,"Manufacture of parts and accessories of bodies for motor
vehicles such as",225.00,3.46,
54,TAKATA INDIA PVT LTD,Netherlands,TAKATA INTERNATIONAL FINANCE BV,NEW DELHI,"Manufacture of parts and accessories of bodies for motor vehicles such as safety belts, airbags, doors,",95.00,1.46,
55,WOLTERS KLUWER (INDIA) PVT LTD,Netherlands,Wolter Kluwer International Holding BV,NEW DELHI,Publishing of journals and periodicals,140.72,2.16,
56,TAKATA INDIA PVT LTD,Netherlands,TAKATA INTERNATIONAL FINANCE B.V.,NEW DELHI,"Manufacture of parts and accessories of bodies for motor vehicles such as safety belts, airbags, doors,",16.00,0.25,
57,TAKATA INDIA PVT LTD,Netherlands,TAKATA INTERNATIONAL FINANCE B.V.,NEW DELHI,"Manufacture of parts and accessories of bodies for motor vehicles such as safety belts, airbags, doors,",184.00,2.83,
58,TAKATA INDIA PVT LTD,Netherlands,TAKATA INTERNATIONAL FINANCE BV,NEW DELHI,"Manufacture of parts and accessories of bodies for motor
vehicles such as safety belts, airbags, doors,",80.00,1.23,
59,INDIA MORTGAGE GURANATEE CORPORATION PRI,Philippines,ASIAN DEVELOPMENT BANK,NEW DELHI,Other credit granting,39.00,0.59,
60,ICICI BANK LTD.,Russia,HEMANT BHAGAT,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",0.30,0.00,
61,TATA SIA AIRLINE LIMITED,Singapore,Singapore Airlines Limited,NEW DELHI,Renting and operational leasing of air transport equipment without operator,735.00,11.55,
62,SIS CASH SERVICES PVT LTD,Singapore,SINGPAI PTE.LTD,PATNA,Private security activities,33.32,0.52,
63,CORDLIFE SCIENCES INDIA PVT LTD,Singapore,CS CELL TECHNOLOGIES PTE. LTD.,KOLKATA,Other human health activities n.e.c. (including independent ambulance activities),39.00,0.60,
64,TRIGUNA HOSPITALITY VENTURES (INDIA) PVT,Singapore,AAPC SINGAPORE PTE LIMITED,NEW DELHI,Activities of holding companies,36.16,0.56,
65,TRIGUNA HOSPITALITY VENTURES (INDIA) PVT,Singapore,APHV INDIA INVESTCO PRIVATE LIMITED,NEW DELHI,Activities of holding companies,40.68,0.63,
66,TATA SIA AIRLINE LIMITED,Singapore,SINGAPORE AIRLINES LTD,NEW DELHI,Renting and operational leasing of air transport equipment without operator,980.00,14.80,
67,SOLARARISE INDIA PROJECTS PRIVATE LIMITE,Singapore,Core Infrastructure India Fund Pte. Ltd.,NEW DELHI,Activities of holding companies,291.95,4.41,
68,CORDLIFE SCIENCES INDIA PVT LTD,Singapore,CS CELL TECHNOLOGIES PTE. LTD.,KOLKATA,"Other human health activities n.e.c. (including independent ambulance
activities)",18.34,0.28,
69,CORDLIFE SCIENCES INDIA PVT LTD,Singapore,CS CELL TECHNOLOGIES PTE.LTD.,KOLKATA,Other human health activities n.e.c. (including independent ambulance activities),51.04,0.77,
70,CORDLIFE SCIENCES INDIA PVT LTD,Singapore,CS CELL TECHNOLOGIES PTE. LTD.,KOLKATA,Other human health activities n.e.c. (including independent ambulance activities),41.32,0.62,
71,CORDLIFE SCIENCES INDIA PVT LTD,Singapore,CS CELL TECHNOLOGIES PTE. LTD.,KOLKATA,Other human health activities n.e.c. (including independent ambulance activities),24.04,0.36,
72,INDUS CLEAN ENERGY (INDIA) PVT LTD,Singapore,Asian Genco Pte Ltd,NEW DELHI,Other business support service activities n.e.c.,18.23,0.28,
73,QUIKJET CARGO AIRLINES PVT. LTD.,Switzerland,"ASL AIRLINES SWITZERLAND AG (FORMERLY, F",BANGALORE,Cargo handling incidental to air transport,40.30,0.61,
74,NABEEL PERFUMES PVT LTD,UAE,ASGHAR ADAM ALI,MUMBAI,Manufacture of other perfumes and toilet preparations n.e.c.,1.50,0.02,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
75,ICICI BANK LTD.,United Kingdom,SUDHIR DOLE,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",4.58,0.07,
76,SIDBI SOCIAL VENTURE TRUST,United Kingdom,Department of International Development,NEW DELHI,Management of other investment funds,200.00,3.07,
77,REGUS OFFICE CENTRE SERVICES PVT LTD,United Kingdom,Regus Management Limited,NEW DELHI,Other business support service activities n.e.c.,0.00,0.00,
78,REGUS OFFICE CENTRE SERVICES PVT LTD,United Kingdom,Regus Management Limited,NEW DELHI,Other business support service activities n.e.c.,0.00,0.00,
79,BLOOMSBURY  PUBLISHING INDIA PVT LTD,United Kingdom,BLOOMSBURY INDIA UK LIMITED,NEW DELHI,Publishing of journals and periodicals,20.00,0.31,
80,ICICI BANK LTD.,United Kingdom,AARTI SHARMA,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",0.50,0.01,
81,ICICI BANK LTD.,United Kingdom,KIRAN TALWAR,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",0.95,0.01,
82,IAPMO PLUMBING CODES & STANDARDS INDIA P,U.S.A,INTERNATIONAL ASSOCIATION OF PLUMBING AN,BANGALORE,Other business support service activities n.e.c.,1.40,0.02,
83,KEMROCK INDUSTRIES & EXPORTS LTD.,U.S.A,RPM INTERNATIONAL INC,AHMEDABAD,"Manufacture of glass fibre (including glass-wool) and yarn of glass fibre nonwoven glass fabrics, mats,",241.10,3.79,
84,KEMROCK INDUSTRIES & EXPORTS LTD.,U.S.A,RPM INTERNATIONAL INC,AHMEDABAD,"Manufacture of glass fibre (including glass-wool) and yarn of glass fibre nonwoven glass fabrics, mats,",6.84,0.11,
85,KEMROCK INDUSTRIES & EXPORTS LTD.,U.S.A,"RPM INTERNATIONAL INC.,",AHMEDABAD,"Manufacture of glass fibre (including glass-wool) and yarn of glass fibre nonwoven glass fabrics, mats,",328.06,5.16,
86,J P MORGAN ASSET MGMT INDIA PVT LTD,U.S.A,JPMORGAN ASSET MANAGEMENT (ASIA),MUMBAI,Management of other investment funds,801.36,12.59,
87,INTERNATIONAL DESIGN AND ENGINEERING SOL,U.S.A,RAJ JALLA,NEW DELHI,Architectural and engineering activities and related technical consultancy,54.20,0.85,
88,DIA VIKAS CAPITAL PVT LTD,U.S.A,Opportunity Transformation Investment In,NEW DELHI,"Other financial service activities, except insurance and pension funding activities, n.e.c.",195.86,2.96,
89,DIA VIKAS CAPITAL PVT LTD,U.S.A,OPPORTUNITY TRANSFORMATION INVESTMENTS I,NEW DELHI,"Other financial service activities, except insurance and pension funding activities, n.e.c.",65.29,0.99,
90,INDIA MORTGAGE GURANATEE CORPORATION PRI,U.S.A,INTERNATIONAL FINANCE CORPORATION,NEW DELHI,Other credit granting,39.00,0.59,
Grand Total,,,,,,"13,017.53",201.15,
