Table No.19 (a),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
16,"MASAYA SOLAR ENERGY PRIVATE
LIMITED",HARYANA,Gurgaon,Electric power generation using solar energy,Masaya Solar HoldCo Limited,Hong Kong,"15,15,56,700.0000",1989773.894,"Received in the
company"
17,Rainbow Agrosciences Private Limited,GUJARAT,Ahmedabad,Wholesale of fertilizers and agrochemical products,SHANDONG RAINBOW AGROSCIENCES CO LTD,China,"4,56,42,000.0000",584594.7338,Received in the company
18,COGENT INTERNET PRIVATE LIMITED,MAHARASHTRA,Mumbai,Other telecommunications activities,Cogent RB LLC,U.S.A,"4,19,68,410.0000",542793.4552,Received in the company
19,Rainbow,GUJARAT,Ahmedabad,Wholesale of fertilizers and,SHANDONG RAINBOW,China,"4,09,47,500.0000",524466.3437,Received
,Agrosciences Private Limited,,,agrochemical products,AGROSCIENCES CO LTD,,,,in the company
20,COGENT INTERNET PRIVATE LIMITED,MAHARASHTRA,Mumbai,Other telecommunications activities,Cogent TW LLC,U.S.A,"4,03,22,590.0000",521507.4373,Received in the company
21,Amazon Retail India Private Limited,DELHI,South Delhi,"Retail sale of cereals and pulses, tea, coffee, spices and flour",AMAZON.COM.INCS LIMITED,Mauritius,"3,00,00,000.0000",393867.2247,"Received in the
company"
22,"JDT Technology (India) Private
Limited",TAMIL NADU,Chennai,"Other professional, scientific and technical activities n.e.c.",Huaian Jie Ding Tang Technology Co Ltd,China,"73,40,700.0000",96375.3712,"Received in the
company"
23,JDT Technology (India) Private Limited,TAMIL NADU,Chennai,"Other professional, scientific and technical activities n.e.c.",Huaian Jie Ding Tang Technology Co Ltd,China,"73,40,700.0000",94940.0732,Received in the company
24,MURLI KRISHNA PHARMA PRIVATE LIMITED,MAHARASHTRA,Mumbai,Manufacture of allopathic pharmaceutical preparations,Bowland Investments Limited,Mauritius,"63,06,960.0000",81570.3194,Received in the company
25,Amiya Multimedia Private Limited,KERALA,Thiruvananthapuram,Production of television programmes or television commercials,RAMADAS M. PILLAI,U.S.A,"49,97,425.0000",64008.3331,Received in the company
26,ICICI BANK LIMITED,GUJARAT,Vadodara,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount
houses",Phani Kiran,China,"31,74,220.0000",41053.3981,Received in the company
27,ICICI BANK LIMITED,GUJARAT,Vadodara,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount
houses",Amit Chugh,Canada,"19,94,825.0000",25550.243,Received in the company
28,ICICI BANK LIMITED,GUJARAT,Vadodara,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",Anil Kumar Muthya,Hong Kong,"12,36,114.0000",16228.8264,Received in the company
29,ICICI BANK LIMITED,GUJARAT,Vadodara,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount
houses",Avinash K,UAE,"10,44,680.0000",13380.5361,Received in the company
30,ICICI BANK LIMITED,GUJARAT,Vadodara,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount
houses",Pallavi Narayanan,Bahrain,"10,44,680.0000",13380.5361,Received in the company
31,ICICI BANK LIMITED,GUJARAT,Vadodara,"Monetary intermediation of commercial banks, saving banks.
postal savings bank and discount",Kiran Talwar,United Kingdom,"8,55,312.5000",11229.3187,"Received in the
company"
,,,,houses,,,,,
32,ICICI BANK LIMITED,GUJARAT,Vadodara,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",Dharam Singla,United Kingdom,"8,48,550.0000",11140.5345,Received in the company
33,ICICI BANK LIMITED,GUJARAT,Vadodara,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount
houses",Phani Kiran,China,"8,03,600.0000",10292.72,Received in the company
34,ICICI BANK LIMITED,GUJARAT,Vadodara,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount
houses",Aarti Sharma,United Kingdom,"7,11,040.0000",9335.1784,Received in the company
35,ICICI BANK LIMITED,GUJARAT,Vadodara,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",Ashwin Sajith,Singapore,"7,23,240.0000",9263.448,Received in the company
36,ICICI BANK LIMITED,GUJARAT,Vadodara,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount
houses",Kiran Talwar,United Kingdom,"7,11,040.0000",9107.1872,Received in the company
37,ICICI BANK LIMITED,GUJARAT,Vadodara,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",Pallavi Narayanan,Bahrain,"6,15,546.0000",7884.075,Received in the company
38,ICICI BANK LIMITED,GUJARAT,Vadodara,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount
houses",Arun Menon,United Kingdom,"6,07,860.0000",7785.6307,Received in the company
39,ICICI BANK LIMITED,GUJARAT,Vadodara,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount
houses",Avinash K,UAE,"5,57,205.0000",7136.8281,Received in the company
40,ICICI BANK LIMITED,GUJARAT,Vadodara,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount
houses",Pallavi Narayanan,Bahrain,"5,57,205.0000",7136.8281,Received in the company
41,ICICI BANK LIMITED,GUJARAT,Vadodara,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount
houses",Arun Menon,United Kingdom,"4,80,845.0000",6158.7892,Received in the company
42,ICICI BANK LIMITED,GUJARAT,Vadodara,"Monetary intermediation of commercial banks, saving banks.",Arun Menon,United Kingdom,"3,61,620.0000",4631.724,Received in the
,,,,postal savings bank and discount houses,,,,,company
43,ICICI BANK LIMITED,GUJARAT,Vadodara,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount
houses",Amit Chugh,Canada,"3,41,530.0000",4483.9158,Received in the company
44,ICICI BANK LIMITED,GUJARAT,Vadodara,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",Arun Menon,United Kingdom,"3,41,970.0000",4380.0417,Received in the company
45,ICICI BANK LIMITED,GUJARAT,Vadodara,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount
houses",Sameer Bhatia,UAE,"2,50,550.0000",3209.1103,Received in the company
46,Coraggio Holdings Private Limited,MAHARASHTRA,Mumbai,"Other financial service activities, except insurance and pension funding activities, n.e.c.",Dynamic India Fund S4 US I,Mauritius,"1,98,000.0000",2560.8095,Received in the company
47,ICICI BANK LIMITED,GUJARAT,Vadodara,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount
houses",Amit Chugh,Canada,"1,69,710.0000",2228.1069,Received in the company
48,HJ-AXLE INDIA MANUFACTURING PRIVATE LIMITED,MAHARASHTRA,Raigarh(MH),"Manufacture of diverse parts and accessories for motor vehicles such as brakes, gearboxes, axles,road wheels, suspension shock absorbers, radiators, silencers, exhaust pipes, catalysers, clutches, ste",GUANGZHOU HUAJING MACHINE MANUFACTURE CO. LTD,China,99990,1280.6982,Received in the company
49,WINONE PRECISION TECHNOLOGY INDIA PRIVATE LIMITED,UTTAR PRADESH,GAUTAM BUDDHA NAGAR,Manufacture of other articles n.e.c.,He Shengya,China,10,0.1281,Received in the company
,Total,,,,,,"29,31,46,67,257.4400",378965728.9052,
"*Total FDI inflow includes equity inflow, equity capital of unincorporated bodies, re-invested earnings, and other capital. Sector/State/Country-wise details are maintained only for equity component of FDI inflow.",,,,,,,,,
