Table No.19 (a),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
9,LIGHTSTORM TELECOM CONNECTIVITY PRIVATE LIMITED,DELHI,North West Delhi,Other telecommunications activities,Asia Connectivity Pte Ltd,Singapore,"20,99,99,984.5000",2818924.1709,Received in the Company
10,MASAYA SOLAR ENERGY PRIVATE,HARYANA,Gurgaon,Electric power generation using solar energy,Masaya Solar HoldCo Limited,Hong Kong,"20,72,21,810.0000",2749302.5971,Received in the
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,Name of Foreign Collaborator,Country,Amount (In INR),Amount (In USD),Inv Type
,LIMITED,,,,,,,,company
11,ALPHAMED FORMULATIONS PRIVATE LIMITED,TELANGANA,K.V.Rangareddy,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics,endocrine products, basic vitamins; opium derivatives; sulpha drugs; serums and plasmas; salicylic acid, its",Aspen Pharmacare Holdings Limited,South Africa,"19,89,29,574.8500",2655393.1553,Received in the company
12,Trent Hypermarket Private Limited,MAHARASHTRA,Mumbai,"Retail sale in non-specialized stores with food, beverages or tobacco predominating",TESCO Overseas Investments Limited,United Kingdom,"15,00,11,904.9000",2013677.2184,Received in the Company
13,JIEQIN TECHNOLOGIES INDIA PRIVATE LIMITED,UTTAR PRADESH,Gautam Buddha Nagar,"Manufacture of primary cells and primary batteries and rechargeable batteries, cells containing manganese oxide, mercuric oxide silver oxide or other material","HONGKONG CHITQIN TECHNOLOGIES CO., LIMITED",Hong Kong,"9,99,00,000.0000",1325417.0951,Received in the company
14,INVENTRONICS SSL INDIA PRIVATE LIMITED,MAHARASHTRA,Mumbai,Manufacture of other electronic components n.e.c,"INVENTRONICS (HANGZHOU), INC.",China,"5,21,23,500.0000",695765.7515,Received in the company
15,WACOAL INDIA PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories such as gloves, ties, braces etc.",Wacoal International Hong Kong Company Limited,Hong Kong,"3,82,50,000.0000",513446.9405,Received in the Company
16,MASAYA SOLAR ENERGY PRIVATE LIMITED,HARYANA,Gurgaon,Electric power generation using solar energy,AC Energy HK Limited,Hong Kong,"3,77,45,100.0000",506669.4408,Received in the Company
17,MASAYA SOLAR ENERGY PRIVATE LIMITED,HARYANA,Gurgaon,Electric power generation using solar energy,Masaya Solar HoldCo Limited,Hong Kong,"3,62,64,900.0000",486800.051,Received in the Company
18,Amazon Retail India Private Limited,DELHI,South Delhi,"Retail sale of cereals and pulses, tea, coffee, spices and flour",AMAZON.COM.INCS LIMITED,Mauritius,"2,55,50,000.0000",342969.1328,Received in the Company
19,Rainbow Agrosciences Private Limited,GUJARAT,Ahmedabad,Wholesale of fertilizers and agrochemical products,SHANDONG RAINBOW AGROSCIENCES CO LTD,Hong Kong,"1,11,30,000.0000",149402.9921,Received in the Company
20,Biogenomics Limited,TAMIL NADU,Chennai,Research and experimental development on natural sciences and engineering,MB HOLDING MAURITIUS LIMITED,Mauritius,"73,00,500.0000",97450.0536,Received in the company
21,ICICI BANK LIMITED,GUJARAT,Vadodara,"Monetary intermediation of commercial banks, saving banks.
postal savings bank and discount",Vikash Sharma,UAE,"62,63,750.0000",84081.1313,"Received in the
Company"
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,Name of Foreign Collaborator,Country,Amount (In INR),Amount (In USD),Inv Type
,,,,houses,,,,,
22,ICICI BANK LIMITED,GUJARAT,Vadodara,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",SUDHIR DOLE,United Kingdom,"55,59,000.0000",73753.69,Received in the company
23,BLIZZCRAFT INFOTECH PRIVATE LIMITED,DELHI,South Delhi,"Other professional, scientific and technical activities n.e.c.",Rajeev Leekha,Hong Kong,"55,01,302.0000",72988.1853,Received in the company
24,ICICI BANK LIMITED,GUJARAT,Vadodara,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",Vikash Sharma,UAE,"53,36,640.0000",71235.6488,Received in the company
25,IAPMO Plumbing Codes and Standards India Private Limited,KARNATAKA,Bengaluru,Technical testing and analysis,INTERNATIONAL ASSOCIATION OF PLUMBING AND MECHANICAL OFFICIALS,U.S.A,"52,00,000.0000",69801.937,Received in the Company
26,Amiya Multimedia Private Limited,KERALA,Thiruvananthapuram,Production of television programmes or television commercials,RAMADAS PILLAI,U.S.A,"50,00,963.0000",66349.9685,Received in the company
27,ICICI BANK LIMITED,GUJARAT,Vadodara,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",Bagawatiswar Krishna Iyer,Singapore,"36,71,760.0000",48714.8496,Received in the company
28,ICICI BANK LIMITED,GUJARAT,Vadodara,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",SUDHIR DOLE,United Kingdom,"34,98,854.5000",46704.1379,Received in the company
29,ICICI BANK LIMITED,GUJARAT,Vadodara,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",Raghvendra Shenoy,UAE,"30,82,530.0000",41378.1856,Received in the Company
30,ICICI BANK LIMITED,GUJARAT,Vadodara,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",SUDHIR DOLE,United Kingdom,"27,79,500.0000",37310.4777,Received in the Company
31,ICICI BANK LIMITED,GUJARAT,Vadodara,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount
houses",SUDHIR DOLE,United Kingdom,"27,79,500.0000",37101.9004,Received in the company
32,ICICI BANK LIMITED,GUJARAT,Vadodara,"Monetary intermediation of commercial banks, saving banks.",Anupam Sharma,UAE,"20,93,090.0000",27939.4196,Received in the
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,Name of Foreign Collaborator,Country,Amount (In INR),Amount (In USD),Inv Type
,,,,postal savings bank and discount houses,,,,,company
33,ICICI BANK LIMITED,GUJARAT,Vadodara,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",Kiran Talwar,United Kingdom,"19,97,760.0000",26816.8303,Received in the Company
34,ICICI BANK LIMITED,GUJARAT,Vadodara,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",Raghvendra Shenoy,UAE,"19,06,409.0000",25590.5848,Received in the Company
35,ICICI BANK LIMITED,GUJARAT,Vadodara,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",Anupam Sharma,UAE,"18,19,356.0000",24285.5064,Received in the company
36,ICICI BANK LIMITED,GUJARAT,Vadodara,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",Avinash K,UAE,"18,19,356.0000",24138.1936,Received in the company
37,ICICI BANK LIMITED,GUJARAT,Vadodara,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",Sachin Kumar,Hong Kong,"16,82,890.0000",22590.1888,Received in the Company
38,ICICI BANK LIMITED,GUJARAT,Vadodara,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",Somendu Mazumdar,UAE,"16,68,815.0000",22276.0237,Received in the company
39,ICICI BANK LIMITED,GUJARAT,Vadodara,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount
houses",Avinash K,UAE,"15,70,948.5000",20969.6617,Received in the company
40,ICICI BANK LIMITED,GUJARAT,Vadodara,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",Anupam Sharma,UAE,"15,67,020.0000",20917.2225,Received in the company
41,ICICI BANK LIMITED,GUJARAT,Vadodara,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",Sachin Kumar,Hong Kong,"13,46,312.0000",18072.151,Received in the Company
42,ICICI BANK LIMITED,GUJARAT,Vadodara,"Monetary intermediation of
commercial banks, saving banks. postal savings bank and discount",Kiran Talwar,United Kingdom,"13,31,840.0000",17670.1051,"Received
in the company"
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,Name of Foreign Collaborator,Country,Amount (In INR),Amount (In USD),Inv Type
,,,,houses,,,,,
43,ICICI BANK LIMITED,GUJARAT,Vadodara,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",Sachin Kumar,Hong Kong,"13,28,250.0000",17622.475,Received in the company
44,ICICI BANK LIMITED,GUJARAT,Vadodara,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",Kiran Talwar,United Kingdom,"9,98,880.0000",13252.5789,Received in the company
45,ICICI BANK LIMITED,GUJARAT,Vadodara,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",Abhishek Roychoudhary,UAE,"9,24,919.5000",12346.203,Received in the company
46,ICICI BANK LIMITED,GUJARAT,Vadodara,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",Aarti Sharma,United Kingdom,"8,17,696.0000",10914.9399,Received in the company
47,ICICI BANK LIMITED,GUJARAT,Vadodara,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",Aarti Sharma,United Kingdom,"8,05,000.0000",10805.8768,Received in the Company
48,ICICI BANK LIMITED,GUJARAT,Vadodara,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",Aarti Sharma,United Kingdom,"8,05,000.0000",10680.2879,Received in the company
49,ICICI BANK LIMITED,GUJARAT,Vadodara,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",Ravi Sandip,UAE,"6,77,988.3000",9050.0645,Received in the company
50,ICICI BANK LIMITED,GUJARAT,Vadodara,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount
houses",Anand Agrawal,UAE,"6,67,526.0000",8960.5015,Received in the Company
51,ICICI BANK LIMITED,GUJARAT,Vadodara,"Monetary intermediation of commercial banks, saving banks.
postal savings bank and discount houses",Kiran Talwar,United Kingdom,"6,65,920.0000",8835.0526,Received in the company
52,ICICI BANK LIMITED,GUJARAT,Vadodara,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount
houses",Swapna Charivuparambil,UAE,"4,88,080.2000",6551.7199,Received in the Company
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,Name of Foreign Collaborator,Country,Amount (In INR),Amount (In USD),Inv Type
53,ICICI BANK LIMITED,GUJARAT,Vadodara,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",Anupam Sharma,UAE,"4,72,780.0000",6310.8604,Received in the company
54,ICICI BANK LIMITED,GUJARAT,Vadodara,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",Vimal Sheth,United Kingdom,"3,03,930.0000",4032.3725,Received in the company
55,ICICI BANK LIMITED,GUJARAT,Vadodara,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",Ashish Agarwal,Canada,"2,65,650.0000",3524.495,Received in the company
56,ICICI BANK LIMITED,GUJARAT,Vadodara,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",Bagawatiswar Krishna Iyer,Singapore,"2,14,060.0000",2840.0279,Received in the company
57,ICICI BANK LIMITED,GUJARAT,Vadodara,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",Priti Shetty,United Kingdom,"1,61,000.0000",2136.0576,Received in the company
58,ICICI BANK LIMITED,GUJARAT,Vadodara,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",Anupam Sharma,UAE,84425,1133.2747,Received in the Company
59,ICICI BANK LIMITED,GUJARAT,Vadodara,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",Priti Shetty,United Kingdom,40250,534.0144,Received in the company
60,ICICI BANK LIMITED,GUJARAT,Vadodara,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",PRITI SHETTY,United Kingdom,20125,270.1469,Received in the Company
61,PULISI TECHNOLOGY PRIVATE LIMITED,MAHARASHTRA,Thane,Other information technology and computer service activities n.e.c,Lin Xiaobo,China,10000,132.6744,Received in the company
,Total,,,,,,"92,99,55,92,195.8500",1241815866.724,
"*Total FDI inflow includes equity inflow, equity capital of unincorporated bodies, re-invested earnings, and other capital. Sector/State/Country-wise details are maintained only for equity component of FDI inflow.",,,,,,,,,
