"Table No. 19 (c)
STATEMENT ON REMITTANCE-WISE DETAILS OF FDI EQUITY INFLOW UNDER RBI’s AUTOMATIC ROUTE
RECEIVED DURING APRIL 2022 TO JUNE 2022",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
9,Phonepe Private Limited,MAHARASHTR A,Mumbai,Activities auxiliary to financial service activities n.e.c.,PhonePe Private Limited,Singapore,"15,14,83,00,365.0000",198880634.1394,Received in the company
10,FLIPKART INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,"Wholesale of textiles, fabrics, yarn, household linen, articles of clothing, floor coverings and
tapestry, sports clothes",Flipkart Private Limited,Singapore,"12,54,00,06,000.0000",164636578.7117,Received in the company
11,Tata Passenger Electric Mobility Ltd,MAHARASHTR A,Mumbai,Manufacture of passenger cars,TPG Rise Climate Topgun Pte. Ltd.,Singapore,"12,50,00,00,000.0000",164111343.6387,Received in the company
12,Vodafone Idea Limited,GUJARAT,Gandhi Nagar,"Activities of maintaining and operating paging, cellular and other telecommunication
networks",Oriana Investments Pte Ltd,Singapore,"11,24,99,99,991.3000",147700209.1606,Received in the company
13,Micro Life Sciences Pvt. Ltd.,GUJARAT,Valsad,Manufacture of other medical and dental instruments n.e.c.,SOUTH ELM INVESTMENTS B.V.,Netherland,"11,02,49,86,728.0000",141210928.1123,Received in the company
14,Aegis Vopak Terminals Limited,GUJARAT,Valsad,"Storage and warehousing n.e.c.[Includes general merchandise warehouses and warehousing of furniture, automobiles, gas and oil, chemicals, textiles etc. Also included is storage of goods in foreign trade
zones",Vopak India B.V.,Netherland,"10,98,34,50,228.9700",140678917.7142,Received in the company
15,DBS Bank India Limited,DELHI,Central Delhi,"Monetary intermediation of commercial banks,
saving banks. postal",DBS Bank Ltd.,Singapore,"10,40,00,00,011.5300",136540638.0587,Received in the company
,,,,,,,,,
,,,,savings bank and discount houses,,,,,
16,Hero FinCorp Limited,DELHI,South West Delhi,"Other financial service activities, except insurance and pension funding activities, n.e.c.",AHVF II HOLDINGS SINGAPORE II PTE LTD,Singapore,"9,36,99,99,650.0000",120013418.5766,Received in the company
17,Acko Technology & Services Private Limited,KARNATAKA,Bengaluru,Other information service activities n.e.c.,General Atlantic Singapore ACK Pte. Ltd.,Singapore,"8,76,00,46,378.1600",113297021.2891,Received in the company
18,"RKSV SECURITIES INDIA PRIVATE
LIMITED",DELHI,Central Delhi,Administration of financial markets,EPOWERX PTE. LTD.,Singapore,"7,94,75,93,676.0000",104343222.149,"Received in the
company"
19,Anheuser Busch Inbev India Limited,MAHARASHTR A,Mumbai,Manufacture of beer,AB Inbev Asia B.V.,Netherland,"7,77,00,00,011.4000",102011611.3555,Received in the company
20,GREENKO ENERGIES PRIVATE LIMITED,TELANGANA,Hyderabad,Electric power generation using other non conventional sources,GREENKO MAURITIUS,Mauritius,"7,71,98,00,000.0000",101352540.0497,Received in the company
21,Anheuser Busch Inbev India Limited,MAHARASHTR A,Mumbai,Manufacture of beer,AB Inbev Asia B.V.,Netherland,"7,77,00,00,011.4000",100492373.9791,Received in the company
22,Phonepe Private Limited,MAHARASHTR A,Mumbai,Activities auxiliary to financial service activities n.e.c.,PhonePe Private Limited,Singapore,"7,60,41,51,003.0000",99834195.0667,Received in the company
23,FLIPKART INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,"Wholesale of textiles, fabrics, yarn, household linen, articles of clothing, floor coverings and
tapestry, sports clothes",Flipkart Private Limited Singapore,Singapore,"7,59,99,72,000.0000",99779329.3229,Received in the company
24,Vodafone Idea Limited,GUJARAT,Gandhi Nagar,"Activities of maintaining and operating paging, cellular and other telecommunication
networks",Prime Metals Ltd,Mauritius,"7,59,37,49,991.8000",99697641.1528,Received in the company
25,FASHNEAR,KARNATAKA,Bengaluru,Other information,Meesho Inc,U.S.A,"7,75,18,57,680.0000",99287830.8695,Received in
,,,,,,,,,
,TECHNOLOGIES PRIVATE LIMITED,,,"technology and
computer service activities n.e.c",,,,,the company
26,Lenskart Solutions Private Limited,DELHI,South Delhi,"Manufacture of ophthalmic goods, eyeglasses, sunglasses, lenses ground to prescription, contact lenses, safety goggles
etc.","ALPHA WAVE VENTURES II, LP",Cayman Islands,"7,60,20,08,857.9200",98319680.3116,Received in the company
27,"MYNTRA JABONG INDIA PRIVATE
LIMITED",KARNATAKA,Bengaluru,Other non-specialised wholesale trade n.e.c.,FK MYNTRA HOLDINGS PRIVATE LIMITED,Singapore,"7,11,51,77,452.0000",92023304.0392,"Received in the
company"
28,VER SE INNOVATION PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,2452991 ONTARIO LIMITED,Canada,"7,11,41,00,165.1600",92009371.0776,Received in the company
29,Nxtra Data Limited,DELHI,South West Delhi,Other information service activities n.e.c.,CA Cloud Investments,Mauritius,"6,88,00,00,000.0000",90326883.5387,Received in the company
30,GREENKO SOLAR ENERGY PRIVATE LIMITED,TELANGANA,Hyderabad,"Electric power generation using other
non conventional sources",GREENKO POWER PROJECTS (MAURITIUS) LIMITED,Mauritius,"6,20,79,00,000.0000",81502944.814,Received in the company
31,IRELIA SPORTS INDIA PRIVATE LIMITED,MAHARASHTR A,Mumbai,Other sports activities,IRELIA COMPANY PTE LTD,Singapore,"5,77,99,99,931.0400",75885084.3931,"Received in the
company"
32,Think & Learn Private Limited,KARNATAKA,Bengaluru,"General school education in the second stage of the secondary level (Senior/Higher secondary) giving, in principle, access to
higher education",Bearnaise Lux S.C.Sp.,Luxembourg,"5,71,10,43,750.0000",74979765.0713,Received in the company
33,OXYZO Financial Services Private Limited,DELHI,South West Delhi,"Other financial service activities, except
insurance and pension funding activities, n.e.c.",Alpha Wave Ventures II LP,Cayman Islands,"5,65,43,29,187.7600",74235164.8303,Received in the company
,,,,,,,,,
34,FLIPKART INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,"Wholesale of textiles, fabrics, yarn, household linen, articles of clothing, floor coverings and
tapestry, sports clothes",Flipkart Private Limited,Singapore,"5,77,49,90,400.0000",73967595.0949,Received in the company
35,FASHNEAR TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Meesho Inc,U.S.A,"5,41,48,51,530.0000",71091084.8154,Received in the company
36,SOUTH-WEST MINING LIMITED,KARNATAKA,Ballari,Opencast mining of lignite (brown coal),Nexpact Limited,Mauritius,"5,00,00,00,000.0000",65644537.4555,"Received in the
company"
37,FLIPKART ADVANZ PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Flippay Private Limited,Singapore,"4,93,99,99,995.0000",64856802.9404,Received in the company
38,AM Green Energy Private Limited,DELHI,South Delhi,Electric power generation using solar energy,ArcelorMittal Netherlands B.V.,Netherland,"5,00,00,00,000.0000",64041314.3327,Received in the company
39,SANGHVI BEAUTY & TECHNOLOGIES PRIVATE LIMITED,MAHARASHTR A,Pune,Retail sale of perfumery and cosmetic articles,Apple Clover Investment Ltd,Mauritius,"4,87,50,76,017.0000",63051217.7037,Received in the company
40,Micro Life Sciences Pvt. Ltd.,GUJARAT,Valsad,Manufacture of other medical and dental instruments n.e.c.,SOUTH ELM INVESTMENTS B.V.,Netherland,"4,72,50,21,796.0000",60519321.2133,Received in the company
41,SOUTH-WEST MINING LIMITED,KARNATAKA,Ballari,Opencast mining of lignite (brown coal),Broadcom PCC,Mauritius,"4,50,00,00,000.0000",59080083.7099,Received in the company
42,DREAMPLUG TECHNOLOGIES PRIVATE LIMITED,MAHARASHTR A,Mumbai,Other information technology and computer service activities n.e.c,Sequoia Capital India Investments IV,Mauritius,"4,44,79,02,012.4800",57526413.3597,Received in the company
43,PRESTIGE CITY ESTATES PRIVATE LIMITED,KARNATAKA,Bengaluru,"Construction of buildings carried out on own-account basis or on a fee or contract
basis",CPP INVESTMENT BOARD PRIVATE HOLDINGS (4) INC,Canada,"4,29,65,73,020.0000",56409309.7083,Received in the company
,,,,,,,,,
44,KIRANAKART TECHNOLOGIES PRIVATE LIMITED,MAHARASHTR A,Mumbai,"Operation of other websites that act as portals to the Internet, such as media sites providing periodically
updated content",Kiranakart Pte Limited,Singapore,"4,40,00,00,000.0000",56356356.6128,Received in the company
45,Fractal Analytics Private Limited,MAHARASHTR A,Mumbai,Data processing activities including report writing,TPG FETT HOLDINGS PTE LTD,Singapore,"3,81,70,15,305.3700",50113240.8363,Received in the company
46,Myntra Designs Private Limited,KARNATAKA,Bengaluru,"Operation of other websites that act as portals to the Internet, such as media sites providing periodically
updated content",FK Myntra Holdings Private Limited,Singapore,"3,85,00,00,077.0000",49311813.0224,Received in the company
47,LAVA INTERNATIONAL LIMITED,DELHI,West Delhi,"Manufacture of pagers, cellular phones and other mobile communication
equipment",Clipper Global S.A.,Panama,"3,71,61,41,559.0000",48788878.7519,Received in the company
48,Body Cupid Private Limited,KARNATAKA,Bengaluru,"Manufacture of cosmetics and toileteries (includes manufacture of pre- shave, shaving or after shave preparations; personal deodorants and anti-respirants; perfumed bath bath salts and other bath
prepa",Waverly Pte. Ltd.,Singapore,"3,74,99,99,999.3300",48030985.7409,Received in the company
49,PRESTIGE BETA PROJECTS PRIVATE LIMITED,KARNATAKA,Bengaluru,"Construction of buildings carried out on own-account basis or
on a fee or contract basis",BREP ASIA II INDIAN HOLDING CO VII (NQ) PTE. LTD,Singapore,"3,57,29,56,000.0000",46909008.7937,Received in the company
50,"OXYZO Financial
Services Private Limited",DELHI,South West Delhi,"Other financial service
activities, except insurance and pension",Internet Fund VII Pte. Ltd.,Singapore,"3,43,84,39,400.6600",45142952.805,"Received in
the company"
,,,,,,,,,
,,,,"funding activities, n.e.c.",,,,,
51,Smartpaddle Technology Private Limited,MAHARASHTR A,Mumbai,Wholesale trade via e- commerce excluding activities of commission agents,Internet Fund VII Pte Ltd,Singapore,"3,37,50,15,570.0000",43650363.7514,Received in the company
52,Amagi Media Labs Private Limited,KARNATAKA,Bengaluru,Advertising,ACCEL GROWTH VI HOLDINGS (MAURITIUS) LTD,Mauritius,"3,17,68,49,716.1000",41708566.0358,Received in the company
53,Revolut Payments India Private Limited,MAHARASHTR A,Mumbai,"Other professional, scientific and technical activities n.e.c.",Revolut Holdings International Limited,United Kingdom,"3,10,03,69,200.0000",40704460.415,Received in the company
54,Busybees Logistics Solutions Private Limited,MAHARASHTR A,Pune,Courier activities,BXG Xenon Holdco Ltd,Cayman Islands,"3,04,50,56,524.9500",39978265.4212,Received in the company
55,THOMAS COOK (INDIA) LIMITED,MAHARASHTR A,Mumbai,"Activities of travel agents and tour
operators",Fairbridge Capital (Mauritius) Limited,Mauritius,"3,02,72,00,000.0000",39743828.757,"Received in the
company"
56,DELIGHTFUL GOURMET PRIVATE LIMITED,KARNATAKA,Bengaluru,"Production, processing and preserving of other meat and meat
products n.e.c.",Amansa Investments Ltd,Mauritius,"2,97,16,53,433.3200",39014563.0216,Received in the company
57,GO DIGIT GENERAL INSURANCE LIMITED,MAHARASHTR A,Pune,Non-life insurance,SCI Growth Investments III,Mauritius,"2,96,99,99,984.0000",38412142.6862,Received in the company
58,OXYZO Financial Services Private Limited,DELHI,South West Delhi,"Other financial service activities, except insurance and pension funding activities, n.e.c.","Norwest Capital, LLC",U.S.A,"2,90,35,69,128.9000",38120690.4873,Received in the company
59,Acko Technology & Services Private Limited,KARNATAKA,Bengaluru,Other information service activities n.e.c.,CPP Investment Board Private Holdings (4) Inc.,Canada,"2,92,00,11,351.4600",37765620.6337,Received in the company
60,FINOVA CAPITAL PRIVATE LIMITED,RAJASTHAN,Jaipur,Other credit granting,"Norwest Capital, LLC",U.S.A,"2,78,49,96,853.3200",36563966.0502,Received in the company
61,PHASORZ TECHNOLOGIES PRIVATE LIMITED,TAMIL NADU,Kanchipuram,"Providing software support and maintenance to the
clients",LR INDIA HOLDINGS LIMITED,Cayman Islands,"2,74,96,00,832.4900",36099254.9672,Received in the company
,,,,,,,,,
62,"Acko Technology &
Services Private Limited",KARNATAKA,Bengaluru,Other information service activities n.e.c.,"Lightspeed Venture
Partners Select IV Mauritius",Mauritius,"2,55,48,94,721.4000",33043427.985,"Received in
the company"
63,SOUTH-WEST MINING LIMITED,KARNATAKA,Ballari,Opencast mining of lignite (brown coal),Aquarius India Opportunities Fund,Mauritius,"2,50,00,00,000.0000",32822268.7277,Received in the company
64,Jodhpur Pali Expressway Private Limited,MAHARASHTR A,Mumbai,"Construction and maintenance of motorways, streets, roads, other vehicular and pedestrian ways, highways, bridges,
tunnels and subways",GALAXY INVESTMENTS II PTE LTD,Singapore,"2,33,38,31,500.0000",30640657.8633,Received in the company
65,FASHNEAR TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Meesho Inc,U.S.A,"2,31,88,46,035.0000",30443915.0796,Received in the company
66,Jodhpur Pali Expressway Private Limited,MAHARASHTR A,Mumbai,"Construction and maintenance of motorways, streets, roads, other vehicular and pedestrian ways, highways, bridges, tunnels and subways",GALAXY INVESTMENTS II PTE LTD,Singapore,"2,33,38,31,500.0000",30184333.0191,Received in the company
67,Belstar Microfinance Limited,TAMIL NADU,Chennai,"Other financial service activities, except insurance and pension funding activities, n.e.c.",ARUM HOLDINGS LIMITED,South Korea,"2,24,99,99,980.0000",29540041.5924,Received in the company
68,BOSTON IVY HEALTHCARE SOLUTIONS PRIVATE LIMITED,MAHARASHTR A,Mumbai,Wholesale trade via e- commerce excluding activities of commission agents,"Lighthouse India Fund III, Limited",Mauritius,"2,22,53,20,928.3100",29216032.6058,Received in the company
69,FINTECH BLUE SOLUTIONS PRIVATE LIMITED,MAHARASHTR A,Mumbai,"Other information technology and computer service
activities n.e.c",Amansa Investments Ltd,Mauritius,"2,28,02,90,320.0000",29206557.8306,Received in the company
70,Amagi Media Labs Private Limited,KARNATAKA,Bengaluru,Advertising,Norwest Venture Partners X Mauritius,Mauritius,"2,22,37,84,727.5000",29195863.9675,"Received in the
company"
,,,,,,,,,
71,SGD Pharma India Private Limited,TELANGANA,Mahabub Nagar,Manufacture of laboratory or pharmaceutical glassware,Netherlands Glass Investment BV,Netherland,"2,21,25,00,000.0000",29047707.824,Received in the company
72,MICHELIN INDIA PRIVATE LIMITED,TAMIL NADU,Chennai,"Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber
tyres",Compagnie Financiere Michelin SAS,France,"2,00,00,00,000.0000",26257814.9822,Received in the company
73,AZELIS (INDIA) PRIVATE LIMITED,MAHARASHTR A,THANE,"Activities of commission agents dealing in wholesale trade inwood, paper, skin, leather and fur,fuel, petroleum products, chemicals, perfumery and cosmetics, glass, minerals, ores and
metals",AZELIS SA,Luxembourg,"2,04,35,00,000.0000",26173685.1678,Brownfield
74,SBFC Finance Private Limited,MAHARASHTR A,Mumbai,Other credit granting,SBFC Holdings Pte. Ltd.,Singapore,"2,00,00,00,000.0000",25866762.891,Received in the company
75,J M BAXI PORTS & LOGISTICS LIMITED,MAHARASHTR A,Mumbai,Other land transport services n.e.c,Integral Investments South Asia VIII,Mauritius,"1,99,99,99,533.5800",25866756.8586,Received in the company
76,LG CHEMICAL INDIA PRIVATE LIMITED,DELHI,New Delhi,"Manufacture of plastic in primary forms
(includes amino-resins, polyurethanes etc.)",LG Chem Ltd,South Korea,"1,92,08,82,700.0000",25219091.2695,Received in the company
77,FARMART SERVICE PRIVATE LIMITED,UTTAR PRADESH,Lucknow,"Other supporting activities including agricultural gardening (excluding parks and gardening activities),
n.e.c.",GC India Investment Holding- Group XI Ltd.,British Virginia,"1,90,24,50,015.0000",24977090.2534,Received in the company
78,FINNEW SOLUTIONS PRIVATE LIMITED,KARNATAKA,Bengaluru,"Providing software
support and maintenance to the",Niyo Solutions Inc.,U.S.A,"1,90,19,92,188.0000",24971079.485,"Received in
the company"
,,,,,,,,,
,,,,clients,,,,,
79,India Mortgage Guarantee Corporation Private Limited,UTTAR PRADESH,Gautam Buddha Nagar,"Other financial service activities, except insurance and pension funding activities, n.e.c.",SAGEN INTERNATIONAL HOLDINGS INC.,Canada,"1,92,27,73,018.1000",24627382.2485,BROWNFIEL D
80,PRINCETON DIGITAL GROUP (INDIA) MANAGEMENT PRIVATE LIMITED,MAHARASHTR A,Mumbai,Other information service activities n.e.c.,Princeton Digital Group (India Alpha) Pte Limited,Singapore,"1,90,03,81,800.0000",24340589.6412,Received in the company
81,VELLVETTE LIFESTYLE PRIVATE LIMITED,MAHARASHTR A,Mumbai,"Retail sale of perfumery and
cosmetic articles",LCA Celestial Pte Ltd,Singapore,"1,87,43,10,141.0000",24006656.9794,"Received in the
company"
82,Future Generali India Life Insurance Company Limited,MAHARASHTR A,Mumbai,Life insurance,Generali Participations Netherlands N.V.,Netherland,"1,80,00,00,000.0000",23632033.484,Received in the company
83,"Busybees Logistics Solutions Private
Limited",MAHARASHTR A,Pune,Courier activities,TPG Growth V SF Markets Pte Ltd,Singapore,"1,74,98,31,593.1500",22973377.1115,"Received in the
company"
84,DREAMPLUG TECHNOLOGIES PRIVATE LIMITED,MAHARASHTR A,Mumbai,Other information technology and computer service activities n.e.c,Seabright,Mauritius,"1,61,10,75,208.3200",20836650.2066,Received in the company
85,PINE LABS PRIVATE LIMITED,DELHI,East Delhi,Providing software support and maintenance to the clients,PINE LABS LIMITED (FORMERLY PINE LABS PTE LTD.),Singapore,"1,53,21,99,900.0000",20116110.745,Received in the company
86,Infifresh Foods Private Limited,KARNATAKA,Bengaluru,"Wholesale of meat, fish and eggs",Naspers Ventures B.V.,Netherland,"1,52,75,50,470.0000",20055068.8086,"Received in
the company"
87,Datascape Realty Private Limited,MAHARASHTR A,Thane,"Other data processing, hosting and related activities n.e.c.",ASCENDAS PROPERTY FUND (INDIA) PTE. LIMITED,Singapore,"1,54,63,16,744.0000",19999104.2857,Received in the company
88,BUNCH MICROTECHNOLOGI ES PRIVATE LIMITED,DELHI,South Delhi,Academic tutoring services,Internet Fund VII Pte Ltd,U.S.A,"1,52,16,24,690.4200",19977269.7967,Received in the company
89,WAL-MART INDIA PRIVATE LIMITED,DELHI,South West Delhi,"Wholesale of edible oils, fats, sugar and
processed/manufactur",Flipkart Private Limited,Singapore,"1,52,02,24,000.0000",19958880.2617,"Received in the
company"
,,,,,,,,,
,,,,ed spices etc.,,,,,
90,BUNCH MICROTECHNOLOGI ES PRIVATE LIMITED,DELHI,South Delhi,Academic tutoring services,"ALPHA WAVE VENTURES II, LP",Cayman Islands,"1,51,67,48,534.2500",19913251.1934,Received in the company
91,Myntra Designs Private Limited,KARNATAKA,Bengaluru,"Operation of other websites that act as portals to the Internet, such as media sites
providing periodically updated content",FK Myntra Holdings Private Limited,Singapore,"1,51,31,40,120.0000",19865876.6565,Received in the company
92,"JRS India Corporation Private
Limited",DELHI,South West Delhi,Preservation of fruit and vegetables n.e.c.,"Simplot International Holdings, Inc.",U.S.A,"1,54,56,00,000.0000",19796451.0865,"Received in the
company"
93,Infifresh Foods Private Limited,KARNATAKA,Bengaluru,"Wholesale of meat, fish and eggs",INTERNET FUND VII PTE LTD,Singapore,"1,50,65,84,091.0000",19779803.1583,"Received in the
company"
94,OXYZO Financial Services Private Limited,DELHI,South West Delhi,"Other financial service activities, except insurance and pension funding activities, n.e.c.","Creation Investments Social Ventures Fund V, LP",U.S.A,"1,52,81,88,578.8400",19764645.8108,Received in the company
95,GO AIRLINES (INDIA) LIMITED,DELHI,North West Delhi,Passenger airways,BAYMANCO INVESTMENTS LIMITED,Mauritius,"1,49,98,75,000.0000",19691720.1232,Received in the company
96,FINTECH BLUE SOLUTIONS PRIVATE LIMITED,MAHARASHTR A,Mumbai,Other information technology and computer service activities n.e.c,Nexus Ventures VI Holdings LLC,U.S.A,"1,52,02,32,560.0000",19471538.2468,Received in the company
97,Geniemode Global Private Limited,DELHI,South West Delhi,"Wholesale of textiles, fabrics, yarn, household linen, articles of clothing, floor coverings and tapestry, sports clothes",INTERNET FUND VII PTE LTD,Singapore,"1,52,00,43,882.0000",19469121.6093,Received in the company
98,VISAGE HOLDINGS AND FINANCE PRIVATE LIMITED,KARNATAKA,Bengaluru,Other credit granting,"NUVEEN GLOBAL IMPACT FUND INDIA S.A R.L,",Luxembourg,"1,50,13,51,988.9100",19417557.9566,Received in the company
,,,,,,,,,
99,"Future Generali India
Life Insurance Company Limited",MAHARASHTR A,Mumbai,Life insurance,Generali Participations Netherlands N.V.,Netherland,"1,50,00,00,000.0000",19400072.1683,"Received in
the company"
100,Radar Ventures Private Limited,TAMIL NADU,Chennai,Other information service activities n.e.c.,Internet Fund VII Pte Limited,Singapore,"1,50,80,63,200.0000",19315669.885,Received in the company
101,PROFECTUS CAPITAL PRIVATE LIMITED,MAHARASHTR A,Mumbai,Other credit granting,ACTIS PC INVESTMENT (MAURITIUS) LIMITED,Mauritius,"1,50,00,00,000.0000",19212394.2998,Received in the company
102,ATHER ENERGY PRIVATE LIMITED,KARNATAKA,Bengaluru,Manufacture of motor vehicles n.e.c.,Caladium Investment Pte Ltd,Singapore,"1,49,50,80,708.0000",19149386.7148,"Received in the
company"
103,KIRANAKART TECHNOLOGIES PRIVATE LIMITED,MAHARASHTR A,Mumbai,"Operation of other websites that act as portals to the Internet, such as media sites providing periodically
updated content",Kiranakart Pte Limited,Singapore,"1,48,50,00,000.0000",19020270.3568,Received in the company
104,FINOVA CAPITAL PRIVATE LIMITED,RAJASTHAN,Jaipur,Other credit granting,Maj Invest Financial Inclusion Fund III K/S,Denmark,"1,42,48,45,156.6400",18706660.2507,Received in the company
105,Cmunity Innovations Private Limited,HARYANA,Gurgaon,Other non-specialised wholesale trade n.e.c.,"NORWEST CAPITAL, LLC",U.S.A,"1,42,47,71,896.0000",18705698.4185,Received in the company
106,DEFMACRO SOFTWARE PRIVATE LIMITED,DELHI,South West Delhi,"Other data processing, hosting and related activities n.e.c.",SOFTWARE IS CORRECT INC,U.S.A,"1,40,48,98,325.0000",17994307.0474,Received in the company
107,"Aditya Birla Health Insurance Co.
Limited",MAHARASHTR A,Mumbai,Non-life insurance,Momentum Metropolitan Strategic Investments Pty Ltd,South Africa,"1,39,64,99,955.0000",17886738.5168,Received in the company
108,WHIZDM INNOVATIONS PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and
computer service activities n.e.c","Internet Fund III, Pte Ltd",Singapore,"1,35,29,29,242.1000",17762482.8615,Received in the company
109,"HOME INTERIOR DESIGNS E- COMMERCE PRIVATE
LIMITED",KARNATAKA,Bengaluru,"Other information technology and computer service
activities n.e.c",Livspace Pte Limited,Singapore,"1,34,30,40,000.0000",17632647.9168,Received in the company
,,,,,,,,,
110,McDonald's India Private Limited,DELHI,Central Delhi,"Cafeterias, fast-food restaurants and other food preparation in market stalls",McDonalds International Branch Holdings LLC,U.S.A,"1,37,66,40,000.0000",17632366.9926,Received in the company
111,BSH Household Appliances Manufacturing Private Limited,MAHARASHTR A,Mumbai,"Wholesale of other households goods,
n.e.c. [Includes wholesale of household equipment and appliances, n.e.c; photographic equipment, games, toys and sports goods (also includes bicycles, cycle ricksh",BSH Hausgeraete GMBH,Germany,"1,35,00,00,000.0000",17291154.8698,Received in the company
112,Smartpaddle Technology Private Limited,MAHARASHTR A,Mumbai,Wholesale trade via e- commerce excluding activities of commission agents,CDC Group PLC,United Kingdom,"1,31,18,38,470.0000",16966507.3274,Received in the company
113,DREAMPLUG TECHNOLOGIES PRIVATE LIMITED,MAHARASHTR A,Mumbai,Other information technology and computer service activities n.e.c,Seabright,Mauritius,"1,30,87,23,785.2800",16926223.9218,Received in the company
114,MICHELIN INDIA PRIVATE LIMITED,TAMIL NADU,Chennai,Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres,Compagnie Financiere Michelin SAS,France,"1,32,00,00,000.0000",16906906.9838,Received in the company
115,Qure.ai Technologies Private Limited,MAHARASHTR A,Mumbai,Data processing activities including report writing,Novo Holdings A/s,Denmark,"1,27,49,99,814.9600",16490058.9498,Received in the company
116,RMZ One Paramount Private Limited,TAMIL NADU,Kanchipuram,"Construction of buildings carried out on own-account basis or
on a fee or contract basis",CPP INVESTMENT BOARD PRIVATE HOLDINGS (4) INC.,Canada,"1,28,23,65,850.0000",16424878.8979,Received in the company
117,"MEDALL
HEALTHCARE PRIVATE LIMITED",TAMIL NADU,Chennai,"Activities of
independent diagnostic/pathological",ASH INVESTMENTS PTE. LTD.,Singapore,"1,24,99,99,978.5000",16411134.0816,"Received in
the company"
,,,,,,,,,
,,,,laboratories,,,,,
118,Amneal Pharmaceuticals Pvt. Ltd.,GUJARAT,AHMEDABAD,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics,endocrine products, basic vitamins; opium derivatives; sulpha drugs; serums and plasmas; salicylic acid,
its",AMNEAL SINGAPORE PRIVATE LIMITED,Singapore,"1,24,76,16,890.0000",16379846.7331,GREENFIELD
119,FERNS N PETALS PVT LTD,DELHI,South West Delhi,"Manufacture of biscuits, cakes, pastries, rusks etc.","LIGHTHOUSE INDIA FUND III, LIMITED",Mauritius,"1,23,63,03,383.4600",16231312.7524,Received in the company
120,Vivriti Capital Private Limited,TAMIL NADU,Chennai,"Other financial service activities, except insurance and pension
funding activities, n.e.c.","Lightrock Growth Fund I S.A., SICAV-RAIF",Luxembourg,"1,23,55,84,010.0000",16221868.1648,Received in the company
