"Table No. 19 (c)
STATEMENT ON REMITTANCE-WISE DETAILS OF FDI EQUITY INFLOW UNDER RBI’s AUTOMATIC ROUTE
RECEIVED DURING OCTOBER 2021 TO DECEMBER 2021",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
10,PLUTOCRAT,MAHARASHTRA,Mumbai,Construction of buildings,CPP Investment Board,Canada,"7,49,50,00,000.0200",100608753.4316,Received in
,COMMERCIAL REAL ESTATE PRIVATE LIMITED,,,carried out on own- account basis or on a fee or contract basis,Private Holdings (4) Inc.,,,,the Company
11,OLA ELECTRIC MOBILITY PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and computer service
activities n.e.c",Alpha Wave Ventures LP,Cayman Islands,"7,44,99,99,780.0000",100004695.2541,Received in the Company
12,Bharti Airtel Limited,DELHI,South West Delhi,"Activities of Internet access by the operator of the wireless
infrastructure",Pastel Limited,Mauritius,"7,39,90,35,020.0000",99320572.3759,Received in the Company
13,FASHNEAR TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Meesho Inc,U.S.A,"7,47,23,56,870.0000",99139034.3958,Received in the company
14,VALUEDRIVE TECHNOLOGIES PRIVATE LIMITED,HARYANA,Gurgaon,"Other information technology and
computer service activities n.e.c",Internet Fund VII Pte Ltd,Singapore,"7,39,78,25,981.0400",98150200.4185,Received in the company
15,VALUEDRIVE TECHNOLOGIES PRIVATE LIMITED,HARYANA,Gurgaon,"Other information technology and computer service
activities n.e.c",Abu Dhabi Growth Funds RSC Limited,UAE,"7,39,78,25,981.0400",98150200.4185,Received in the company
16,Think & Learn Private Limited,KARNATAKA,Bengaluru,"General school education in the second stage of the secondary level (Senior/Higher secondary) giving, in principle, access to
higher education",Neuron Aggregator Holding Trust,U.S.A,"7,11,52,24,309.0200",94400800.1462,Received in the company
17,Amazon Pay (India) Private Limited,KARNATAKA,Bengaluru,"Activities auxiliary to financial service activities
n.e.c.",AMAZON CORPORATE HOLDINGS PRIVATE LIMITED,Singapore,"6,99,90,00,800.0000",93950733.2559,Received in the Company
18,Nobroker Technologies Solutions Private Limited,KARNATAKA,Bengaluru,"Other information technology and computer service
activities n.e.c",GENERAL ATLANTIC SINGAPORE NT PTE LTD.,Singapore,"6,70,51,11,644.0000",88959655.6304,Received in the company
19,Amazon Wholesale (India) Private Limited,DELHI,South Delhi,Wholesale trade via e- commerce excluding activities of commission agents,AMAZON CORPORATE HOLDINGS PRIVATE LIMITED,Singapore,"6,49,94,37,600.0000",87244871.9067,Received in the Company
20,"Amneal
Pharmaceuticals Pvt. Ltd.",GUJARAT,Ahmedabad,"Manufacture of
medicinal substances used in the manufacture",AMNEAL SINGAPORE PRIVATE LIMITED,Singapore,"5,87,18,03,600.0000",77903792.4973,Greenfield
,,,,"of pharmaceuticals: antibiotics,endocrine products, basic vitamins; opium derivatives; sulpha drugs; serums and plasmas; salicylic acid, its",,,,,
21,"FEDEX EXPRESS TRANSPORTATION AND SUPPLY CHAIN SERVICES INDIA
PRIVATE LIMITED",MAHARASHTRA,Mumbai,Courier activities,FEDERAL EXRESS EUROPE INC.,U.S.A,"5,59,28,20,310.0000",74202398.8855,Received in the company
22,ADANI ROAD TRANSPORT LIMITED,GUJARAT,Gandhi Nagar,"Construction and maintenance of motorways, streets, roads, other vehicular and pedestrian ways, highways, bridges,
tunnels and subways",Gardenia Trade and Investment Limited,Mauritius,"5,48,62,87,000.0000",72788974.7587,Received in the company
23,ACME FORMULATION PRIVATE LIMITED,HIMACHAL PRADESH,Solan,"Manufacture of allopathic pharmaceutical
preparations",PAGAC Ariane Pte. Ltd.,Singapore,"5,37,20,16,429.4200",71707867.811,Received in the company
24,63IDEAS INFOLABS PRIVATE LIMITED,KARNATAKA,Bengaluru,Other non-specialised wholesale trade n.e.c.,GEC3 Pte.Ltd,Singapore,"5,39,25,82,832.0000",71545760.4829,Received in the company
25,Nobroker Technologies Solutions Private Limited,KARNATAKA,Bengaluru,"Other information technology and
computer service activities n.e.c",INTERNET FUND V PTE LTD.,Singapore,"5,21,51,64,317.0000",69191871.266,Received in the company
26,DREAMPLUG TECHNOLOGIES PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Other information technology and computer service
activities n.e.c",Internet Fund V Pte. Ltd.,Singapore,"5,08,76,98,518.6600",67500726.6398,Received in the company
27,DREAMPLUG TECHNOLOGIES PRIVATE LIMITED,MAHARASHTRA,Mumbai,Other information technology and computer service activities n.e.c,"Alpha Wave Ventures II, LP",Cayman Islands,"5,08,76,98,518.6600",67500726.6398,Received in the company
28,TVS Supply Chain Solutions Limited,TAMIL NADU,Madurai,Motorised road freight transport,EXOR ALTERNATIVE INVESTMENTS MASTER FUND ICAV- EXOR SPECIAL OPPORTUNITIES MASTER FUND,Ireland,"4,49,99,99,373.2400",60405513.9938,Received in the Company
29,Amazon Pay (India) Private Limited,KARNATAKA,Bengaluru,Activities auxiliary to financial service activities,AMAZON CORPORATE HOLDINGS PRIVATE LIMITED,Singapore,"4,49,95,50,360.0000",60061834.6319,Received in the company
,,,,n.e.c.,,,,,
30,Musarubra Software India Private Limited,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Musarubra UK Ltd,United Kingdom,"4,28,38,62,000.0000",57504204.8955,Received in the Company
31,READY ROTI INDIA PRIVATE LIMITED,RAJASTHAN,Alwar,Manufacture of bread,Grupo Bimbo SAB De CV,Mexico,"4,19,00,01,366.8700",55590584.9862,Received in the company
32,ADANI ROAD TRANSPORT LIMITED,GUJARAT,Gandhi Nagar,"Construction and maintenance of motorways, streets, roads, other vehicular and pedestrian ways, highways, bridges,
tunnels and subways",Gardenia Trade and Investment Limited,Mauritius,"3,88,43,47,500.0000",52141342.2107,Received in the Company
33,GESTAMP AUTOMOTIVE CHENNAI PRIVATE LIMITED,TAMIL NADU,Kanchipuram,Manufacture of other attachments to motor vehicles n.e.c.,Gestamp Solblank Barcelona S.A.,Spain,"3,87,22,00,000.0000",51978280.8588,Received in the Company
34,VER SE INNOVATION PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and computer service
activities n.e.c",SG VIDEO CONTENT (INDIA) HOLDINGS LIMITED,Cayman Islands,"3,70,51,86,894.8000",49736388.8881,Received in the Company
35,Nobroker Technologies Solutions Private Limited,KARNATAKA,Bengaluru,"Other information technology and
computer service activities n.e.c","MOORE STRATEGIC VENTURES, LLC",U.S.A,"3,72,50,77,521.0000",49422236.5054,Received in the company
36,SASTASUNDAR MARKETPLACE LIMITED,WEST BENGAL,North 24 Parganas,Retail sale via e- commerce,FLIPKART HEALTH PRIVATE LTD,Singapore,"3,72,00,06,978.7500",49354963.3985,Received in the company
37,Amazon Transportation Services Private Limited,KARNATAKA,Bengaluru,Courier activities,AMAZON CORPORATE HOLDINGS PRIVATE LIMITED,Singapore,"3,64,99,94,120.0000",48426072.1085,Received in the company
38,VIYASH LIFE SCIENCES PRIVATE LIMITED,TELANGANA,K.V.Rangareddy,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics,endocrine products, basic vitamins; opium derivatives; sulpha drugs; serums and plasmas; salicylic acid, its",CA Hull Investments,Mauritius,"3,54,43,72,316.1900",47577702.5255,Received in the Company
39,ADJ UTILITY APPS PRIVATE LIMITED,HARYANA,Gurgaon,"Writing, modifying, testing of computer program to meet the needs of a particular
client excluding web-","Kyte Technologies, INC",U.S.A,"3,50,61,57,826.3800",46801625.6543,Received in the company
,,,,page designing,,,,,
40,SmartShift Logistics Solutions Private Limited,MAHARASHTRA,Mumbai,Motorised road freight transport,Internet Fund VII Pte Ltd,Singapore,"3,37,46,24,539.1500",44772623.1603,Received in the company
41,SmartShift Logistics Solutions Private Limited,MAHARASHTRA,Mumbai,Motorised road freight transport,PORTOBELLO HOLDCO S.A R.L,Luxembourg,"3,37,37,20,892.1500",44760634.0794,Received in the company
42,INFINX SERVICES PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Other data processing, hosting and related activities n.e.c.",Norwest Capital LLC,U.S.A,"3,33,33,33,014.8200",44224790.4053,Received in the company
43,FRESHTOHOME FOODS PRIVATE LIMITED,KARNATAKA,Bengaluru,"Operation of web sites that use a search engine to generate and maintain extensive databases of internet addresses and content in an easily searchable
format",FRESHTOHOME PTE LTD,Singapore,"3,28,78,12,090.0000",43887057.6504,Received in the company
44,Bharti Airtel Limited,DELHI,South West Delhi,"Activities of Internet access by the operator of
the wireless infrastructure",Indian Continent Investment Limited,Mauritius,"3,23,09,45,785.0000",43370437.336,Received in the Company
45,Fourth Partner Energy Private Limited,TELANGANA,K.V.Rangareddy,Electric power generation using solar energy,NORFUND,Norway,"3,19,99,99,797.2800",42455800.1563,Received in the company
46,GREEN AGREVOLUTION PRIVATE LIMITED,BIHAR,Patna,"Other supporting activities including agricultural gardening (excluding parks and gardening activities),
n.e.c.",Sofina Ventures S. A.,Belgium,"3,06,48,50,622.2000",40662716.8025,Received in the company
47,Amazon Pay (India) Private Limited,KARNATAKA,Bengaluru,Activities auxiliary to financial service activities n.e.c.,AMAZON CORPORATE HOLDINGS PRIVATE LIMITED,Singapore,"3,00,00,00,000.0000",40270348.2714,Received in the Company
48,CapFloat Financial Services Private Limited,KARNATAKA,Bengaluru,"Other financial service activities, except insurance and pension funding activities, n.e.c.",LR India Holdings Ltd,Cayman Islands,"2,99,99,83,091.0400",40270121.2948,Received in the Company
49,GIRNAR SOFTWARE PRIVATE LIMITED,RAJASTHAN,Jaipur,"Operation of other websites that act as portals to the Internet, such as media sites providing periodically
updated content",EMERALD INCLUSION PTE LTD,Singapore,"2,99,99,19,316.8000",40269265.2245,Received in the Company
50,PINE LABS PRIVATE LIMITED,DELHI,East Delhi,"Providing software support and maintenance to the
clients",PINE LABS LIMITED (FORMERLY PINE LABS PTE. LTD..),Singapore,"2,97,85,77,900.0000",39518098.7761,Received in the company
51,TEACHMINT TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and computer service
activities n.e.c","RS TM Holdings, LLC",U.S.A,"2,60,28,49,243.9200",34939215.1835,Received in the Company
52,Think & Learn Private Limited,KARNATAKA,Bengaluru,"General school education in the second stage of the secondary level (Senior/Higher secondary) giving, in
principle, access to higher education",Chan Zuckerberg Mauritius,Mauritius,"2,63,14,99,632.0000",34913259.2391,Received in the company
53,CREDAVENUE PRIVATE LIMITED,TAMIL NADU,Chennai,Other information technology and computer service activities n.e.c,SCI Growth Investments III,Mauritius,"2,57,24,96,550.0000",34338733.8768,Received in the company
54,Open Financial Technologies Private Limited,KERALA,Malappuram,Other information service activities n.e.c.,Arvon Investments Pte. Ltd.,Singapore,"2,54,54,96,165.4300",33978321.7237,Received in the company
55,SD BIOSENSOR HEALTHCARE PRIVATE LIMITED,HARYANA,Gurgaon,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics,endocrine products, basic vitamins; opium derivatives; sulpha drugs; serums and plasmas; salicylic acid, its",SD Biosensor Inc.,South Korea,"2,50,39,25,100.0000",33611311.9408,Received in the Company
56,Fullerton India Credit Company Limited,TAMIL NADU,Tiruvallur,Other credit granting,Angelica Investments Pte Ltd,Singapore,"2,49,99,99,970.8000",33371019.9492,Received in the company
57,STERLING ACCURIS WELLNESS PRIVATE LIMITED,GUJARAT,Ahmedabad,"Other human health activities n.e.c. (including independent ambulance
activities)","NHPEA Nanda Devi Holding
B. V.",Netherland,"2,49,99,99,250.0000",33371010.3277,Received in the company
58,JSW CEMENT LIMITED,MAHARASHTRA,Mumbai,Manufacture of other cement and plaster n.e.c.,Synergy Metals Investments Holding Limited,UAE,"2,50,00,00,000.0000",33168595.9733,Received in the company
59,JSW CEMENT LIMITED,MAHARASHTRA,Mumbai,Manufacture of other cement and plaster n.e.c.,AP ASIA OPPORTUNISTIC HOLDINGS PTE LIMITED,Singapore,"2,50,00,00,000.0000",33168595.9733,Received in the company
60,CARS24 SERVICES PRIVATE LIMITED,HARYANA,Gurgaon,Wholesale and retail sale of used motor vehicles,Global Car Group Pte. Ltd.,Singapore,"2,37,02,40,000.0100",31638930.8994,Received in the company
61,ACE URBAN DEVELOPERS PRIVATE LIMITED,ANDHRA PRADESH,Krishna,Management consultancy activities,ACE URBAN (MAURITIUS) LIMITED,Mauritius,"2,38,08,58,000.0000",31587886.8288,Received in the company
62,XLSURE INDIA PRIVATE LIMITED,MAHARASHTRA,Mumbai,Management consultancy activities,Xcelerate Pte Limited,Singapore,"2,31,76,24,440.0000",31110514.4537,Received in the Company
63,REBEL FOODS PRIVATE LIMITED,MAHARASHTRA,Pune,"Cafeterias, fast-food restaurants and other food preparation in market stalls",Coatue CT 115 LLC,U.S.A,"2,24,18,82,884.7900",30093801.5181,Received in the Company
64,LIFECELL INTERNATIONAL PRIVATE LIMITED,TAMIL NADU,Kanchipuram,"Other human health activities n.e.c. (including independent ambulance
activities)",ORBIMED ASIA IV MAURITIUS LIMITED,Mauritius,"2,24,99,57,328.7700",30033348.7121,Received in the company
65,VER SE INNOVATION PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and
computer service activities n.e.c",THE SCHIEHALLION FUND LIMITED,Guernsey,"2,23,65,85,309.8000",30022689.7881,Received in the Company
66,VEDANTU INNOVATIONS PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and computer service
activities n.e.c",Impact Assets Pte. Ltd.,Singapore,"2,22,62,06,444.3700",29716312.2135,Received in the company
67,OLA ELECTRIC MOBILITY PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and
computer service activities n.e.c",SB Topaz (Cayman) Limited,Cayman Islands,"2,22,52,91,145.0000",29704094.424,Received in the company
68,GREEN AGREVOLUTION PRIVATE LIMITED,BIHAR,Patna,"Other supporting activities including agricultural gardening (excluding parks and gardening activities),
n.e.c.",LR India Holdings Ltd,Cayman Islands,"2,21,52,99,081.9000",29391344.0831,Received in the company
69,CEVA LOGISTICS INDIA PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Storage and warehousing n.e.c.[Includes general merchandise warehouses and warehousing of furniture, automobiles, gas and oil, chemicals, textiles etc. Also included is storage of goods in foreign trade zones",CEVA LOGISTICS HEADOFFICE B.V,Netherland,"2,05,20,00,000.0000",27544918.2176,Received in the Company
70,Duroflex Private,KERALA,Alappuzha,Manufacture of,NORWEST CAPITAL LLC,U.S.A,"2,04,39,17,511.2300",27283045.1354,Received in
,Limited,,,mattresses and pillows,,,,,the company
71,ELEST PRIVATE LIMITED,KARNATAKA,Bengaluru,"Manufacture of primary cells and primary batteries and rechargeable batteries, cells containing manganese oxide,
mercuric oxide silver oxide or other material",GERALDTON FINANCE LTD,Mauritius,"1,98,73,08,000.0000",26366486.4506,Received in the company
72,IFFCO-TOKIO GENERAL INSURANCE COMPANY LIMITED,DELHI,South Delhi,Non-life insurance,TOKIO MARINE ASIA PTE. LTD.,Singapore,"1,96,02,25,369.2000",26312986.1027,Received in the Company
73,OFB TECH PRIVATE LIMITED,DELHI,South West Delhi,Other non-specialised wholesale trade n.e.c.,INTERNET FUND VII PTE. LTD.,Singapore,"1,93,67,14,539.4800",25997389.669,Received in the Company
74,MUTHOOT MICROFIN LIMITED,MAHARASHTRA,Mumbai,"Other financial service activities, except insurance and pension funding activities, n.e.c.",Greater Pacific Capital WIV Ltd,Cayman Islands,"1,87,72,30,381.5400",24906038.4297,Received in the company
75,ADANICONNEX PRIVATE LIMITED,GUJARAT,Gandhi Nagar,"Computer consultancy and computer facilities
management activities",EdgeConnex Europe BV,Netherland,"1,87,50,00,000.0000",24876446.98,Received in the company
76,DREAMPLUG TECHNOLOGIES PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Other information technology and
computer service activities n.e.c",Insight Luxembourg XI S.a r.l.,Luxembourg,"1,87,04,75,996.2200",24816425.0386,Received in the company
77,DREAMPLUG TECHNOLOGIES PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Other information technology and
computer service activities n.e.c",DST Asia VIII,Mauritius,"1,87,04,75,996.2200",24816425.0386,Received in the company
78,VERITAS FINANCE PRIVATE LIMITED,TAMIL NADU,Chennai,Other credit granting,Norwest Venture Partners X Mauritius,Mauritius,"1,85,00,00,130.0000",24694556.7861,Received in the company
79,RKSV SECURITIES INDIA PRIVATE LIMITED,DELHI,Central Delhi,Administration of financial markets,Internet Fund V Pte Ltd.,Singapore,"1,84,99,84,688.0000",24544557.8692,Received in the company
80,VALUEDRIVE TECHNOLOGIES PRIVATE LIMITED,HARYANA,Gurgaon,Other information technology and computer service activities n.e.c,Somerville SPV LLC Series A,U.S.A,"1,84,94,56,495.2600",24537550.1046,Received in the company
81,VALUEDRIVE TECHNOLOGIES PRIVATE LIMITED,HARYANA,Gurgaon,Other information technology and computer service activities n.e.c,Avenir Spinny Investors LLC,U.S.A,"1,84,94,56,495.2600",24537550.1046,Received in the company
82,PINE LABS PRIVATE LIMITED,DELHI,East Delhi,Providing software support and,PINE LABS LIMITED (FORMERLY PINE LABS PTE.,Singapore,"1,82,94,99,300.0000",24420903.3402,Received in the company
,,,,maintenance to the clients,LTD.),,,,
83,VASTU HOUSING FINANCE CORPORATION LIMITED,MAHARASHTRA,Mumbai,"Other financial service activities, except insurance and pension funding activities, n.e.c.",Norwest Capital LLC,U.S.A,"1,81,15,97,247.5000",24181939.4369,Received in the company
84,VASTU HOUSING FINANCE CORPORATION LIMITED,MAHARASHTRA,Mumbai,"Other financial service activities, except insurance and pension
funding activities, n.e.c.","Creation Investments India IV, LLC",U.S.A,"1,81,15,97,247.5000",24181939.4369,Received in the company
85,MENSA BRAND TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,Manufacture of all types of textile garments and clothing accessories,Mensa Brand Technologies Pte Ltd,Singapore,"1,80,00,04,084.0000",24027189.159,Received in the company
86,Premier Energies Limited,TELANGANA,K.V.Rangareddy,"Manufacture of ovens,
furnaces and furnace burners",SOUTH ASIA GROWTH FUND II HOLDINGS LLC,U.S.A,"1,74,87,36,000.0000",23342841.8494,Greenfield
87,DREAMPLUG TECHNOLOGIES PRIVATE LIMITED,MAHARASHTRA,Mumbai,Other information technology and computer service activities n.e.c,Coatue PE Asia 72 LLC,U.S.A,"1,68,34,56,963.6600",22335161.5465,Received in the company
88,Oneassist Consumer Solutions Private Limited,MAHARASHTRA,Mumbai,Other business support service activities n.e.c,RSCO LLC,U.S.A,"1,67,08,00,484.8600",22302526.785,Received in the company
89,GIRNAR SOFTWARE PRIVATE LIMITED,RAJASTHAN,Jaipur,"Operation of other websites that act as portals to the Internet, such as media sites providing periodically updated content",Lenarco Limited,Cyprus,"1,49,98,96,664.0000",20133787.0101,Received in the Company
90,IMC India Securities Private Limited,MAHARASHTRA,Mumbai,"Other financial service activities, except insurance and pension
funding activities, n.e.c.",IMC India Holding BV,Netherland,"1,51,47,00,000.0000",20096188.9283,Received in the company
91,REBEL FOODS PRIVATE LIMITED,MAHARASHTRA,Pune,"Cafeterias, fast-food restaurants and other food preparation in
market stalls",EVOLVENCE INDIA COINVEST PCC (CELL A),Mauritius,"1,49,60,24,903.2500",20081814.6255,Received in the Company
92,Think & Learn Private Limited,KARNATAKA,Bengaluru,"General school education in the second stage of the secondary level (Senior/Higher secondary) giving, in
principle, access to higher education",XN Exponent Holdings Ltd.,Cayman Islands,"1,50,00,48,864.0000",20023264.46,Received in the company
93,VER SE INNOVATION PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and computer service
activities n.e.c",BAY CAPITAL HOLDINGS LTD,Mauritius,"1,49,11,53,385.9000",20016422.0588,Received in the Company
94,VER SE INNOVATION PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and computer service
activities n.e.c",PACIFIC HORIZON INVESTMENT TRUST PLC,United Kingdom,"1,49,09,92,531.4000",20014262.8365,Received in the Company
95,"ACE URBAN
DEVELOPERS PRIVATE LIMITED",ANDHRA PRADESH,Krishna,Management consultancy activities,ACE URBAN (MAURITIUS) LIMITED,Mauritius,"1,50,01,98,350.0000",19903789.1804,Received in the company
96,GALACTUS FUNWARE TECHNOLOGY PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other professional, scientific and technical activities n.e.c.",M-LEAGUE PTE. LTD.,Singapore,"1,49,86,51,231.5000",19883262.881,Received in the company
97,GIRNAR SOFTWARE PRIVATE LIMITED,RAJASTHAN,Jaipur,"Operation of other websites that act as portals to the Internet, such as media sites providing periodically
updated content","CANYON BALANCED MASTER FUND, LTD.",Cayman Islands,"1,49,61,17,000.0000",19849640.1207,Received in the company
98,VEDANTU INNOVATIONS PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and computer service
activities n.e.c",COATUE PE ASIA 70 LLC,U.S.A,"1,48,43,63,266.7400",19813886.7059,Received in the company
99,BIKAJI FOODS INTERNATIONAL LIMITED,RAJASTHAN,Bikaner,"Manufacture of papads, appalam and similar food products","Lighthouse India Fund III, Limited",Mauritius,"1,48,35,52,051.0800",19803058.2682,Received in the company
100,Camden Town Technologies Private Limited,KARNATAKA,Bengaluru,Data processing activities including report writing,Primrose Hill Ventures Pte Limited,Singapore,"1,48,00,00,000.0000",19755644.0407,Received in the company
101,Think & Learn Private Limited,KARNATAKA,Bengaluru,"General school education in the second stage of the secondary level (Senior/Higher secondary) giving, in principle, access to higher education","Verition Multi-Strategy Master Fund, Ltd.",Cayman Islands,"1,47,01,16,304.0000",19734031.8538,Received in the Company
102,AEQUS PRIVATE LIMITED,KARNATAKA,Bengaluru,"Manufacture of parts and accessories of the aircraft and spacecraft of this class (major assemblies such as fuselages, wings, doors,
control surfaces, landing",Aequs Manufacturing Investments Private Limited,Mauritius,"1,43,13,33,604.8000",18990130.4163,Received in the company
,,,,"gear, fuel tanks, nacelles, airscrews, he",,,,,
103,Chalo Mobility Private Limited,MAHARASHTRA,Thane,Publishing of operating business and other applications,ZOPHOP TECHNOLOGIES PTE LIMITED,Singapore,"1,42,15,26,040.0000",18975109.7573,Received in the company
104,OFB TECH PRIVATE LIMITED,DELHI,South West Delhi,Other non-specialised wholesale trade n.e.c.,ALPHA WAVE VENTURES LP,Cayman Islands,"1,40,28,44,543.9400",18725741.5233,Received in the company
105,TEACHMINT TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Goodwater Capital IV LP,U.S.A,"1,37,58,23,788.8000",18253657.3525,Received in the company
106,AB Mauri India Private Limited,KARNATAKA,Bengaluru,Manufacture of other bakery products n.e.c.,Mauri Fermentation India Pty Ltd,Australia,"1,36,00,00,000.0000",18153835.0644,Received in the company
107,Shapos Services Private Limited,KARNATAKA,Bengaluru,"Other data processing,
hosting and related activities n.e.c.","Creation Investments Social Ventures Fund V, L.P.",U.S.A,"1,33,18,96,892.3900",17878650.5727,Received in the Company
108,Primetrace Technologies Private Limited,KARNATAKA,Bengaluru,Other information service activities n.e.c.,INTERNET FUND VI PTE LTD,Singapore,"1,34,64,81,427.4900",17864359.3816,Received in the company
109,"BOSTON IVY HEALTHCARE
SOLUTIONS PRIVATE LIMITED",MAHARASHTRA,Mumbai,"Wholesale trade via e- commerce excluding
activities of commission agents",CDC Group PLC,United Kingdom,"1,31,25,02,337.0000",17519816.8732,Received in the company
110,BETTS INDIA PRIVATE LIMITED,GOA,South Goa,Manufacture of other plastics products n.e.c.,BETTS INTERNATIONAL LIMITED,United Kingdom,"1,30,00,00,000.0000",17450484.2509,Received in the Company
111,UMMEED HOUSING FINANCE PRIVATE LIMITED,HARYANA,Gurgaon,"Other financial service activities, except
insurance and pension funding activities, n.e.c.",NORWEST CAPITAL LLC,U.S.A,"1,30,00,74,613.3200",17353926.5453,Received in the company
112,Orbion Pharmaceuticals Private Limited,TAMIL NADU,Kanchipuram,"MANUFACTURE OF MEDICINAL SUBSTANCES USED IN THE MANUFACTURE OF PHARMACEUTICALS: ANTIBIOTICS, ENDOCRINE PRODUCTS, BASIC VITAMINS; OPIUM DERIVATIVES; SULPHA DRUGS; SERUMS AND PLASMAS; SALICYLIC ACID, ITS SALTS AND ESTERS; GLYCOSIDES
AND VEGETABLE ALKALOIDS;",Bionpharma Health Inc.,U.S.A,"1,29,49,26,000.0000",17285200.7534,Received in the company
113,NIPRO PHARMAPACKAGING INDIA PRIVATE LIMITED,MAHARASHTRA,Satara,"Manufacture of laboratory or pharmaceutical
glassware",NIPRO CORPORATION,Japan,"1,25,00,00,000.0000",16779311.7797,Brownfield
114,FULLIFE HEALTHCARE PRIVATE LIMITED,MAHARASHTRA,Mumbai,"MANUFACTURE OF MEDICINAL SUBSTANCES USED IN THE MANUFACTURE OF PHARMACEUTICALS: ANTIBIOTICS, ENDOCRINE PRODUCTS, BASIC VITAMINS; OPIUM DERIVATIVES; SULPHA DRUGS; SERUMS AND PLASMAS; SALICYLIC ACID, ITS SALTS AND ESTERS; GLYCOSIDES AND VEGETABLE
ALKALOIDS;",NHPEA Eagle Holding B.V,Netherland,"1,24,99,93,505.0000",16584211.8147,Received in the company
115,KOHINOOR SPECIALITY FOODS INDIA PRIVATE LIMITED,DELHI,North West Delhi,Manufacture of prepared meals and dishes,McCormick Ingredients Southeast Asia Pte. Ltd.,Singapore,"1,17,19,19,814.0000",15731206.352,Received in the Company
