Table No. 19 (c),,,,,,,,,,
"STATEMENT ON REMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS
UNDER RBI’s AUTOMATIC ROUTE
14,36GUNN MARRIAGE PRIVATE LIMITED,HARYANA,Gurgaon,"Social activities such as escort services,
marriage bureaus",Ankit Jain,Zimbabwe,5.50,0.07,"Received in the
Company",
15,4PHYLL INDIA PRIVATE LIMITED,TAMIL NADU,Tiruvallur,"Research and experimental development on
natural sciences and engineering",4PHYLL PRIVATE LIMITED,Singapore,0.14,0.00,Greenfield,
16,4TH PHASE WATER TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,"Water collection, treatment and
supply",DIVYA SRINIVASAN,Canada,0.02,0.00,"Received in the
Company",
17,56 AI TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Nexus Ventures V Limited,Mauritius,14.51,0.20,Received in the Company,
18,5Barz India Private Limited,KARNATAKA,Bengaluru,Manufacture of other communication equipments n.e.c.,5 BARZ INTERNATIONAL INC,U.S.A,3.46,0.05,Received in the Company,
19,A LINE CONSULTING PRIVATE LIMITED,TELANGANA,Hyderabad,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding
web-page designing",A LINE CONSULTING LLC,U.S.A,3.20,0.04,Received in the Company,
20,A.T. KEARNEY CONSULTING (INDIA) PRIVATE LIMITED,HARYANA,Gurgaon,"Management consultancy
activities",A.T. KEARNEY LIMITED,United Kingdom,201.99,2.75,"Received in the
Company",
21,AAG CENTRE FOR AVIATION TRAINING PRIVATE LIMITED,TAMIL NADU,Chennai,FLYING SCHOOL,Alpha Aviation Academy (Europe) Limited,United Kingdom,29.99,0.41,"Received in the
Company",
22,AALDA VET INDIA PVT LTD,HARYANA,Gurgaon,Veterinary activities,AALDA PTE LTD,Singapore,26.00,0.35,Greenfield,
23,AASHNI ECOMMERCE PRIVATE LIMITED,MAHARASHT RA,Mumbai,"Wholesale trade via e-commerce excluding activities
of commission agents",AASHNI AND CO LTD,United Kingdom,5.19,0.07,Received in the Company,
24,AATMA CAPITAL PRIVATE LIMITED,TAMIL NADU,Chennai,Other financial,Nasser Ahmed,UAE,4.94,0.07,Received in,
,,,,"service activities, except insurance
and pension funding activities, n.e.c.",,,,,the Company,
25,AB Mauri India Private Limited,KARNATAKA,Bengaluru,Manufacture of other bakery products n.e.c.,ABF Overseas Limited,United Kingdom,535.00,7.18,Received in the Company,
26,AB2 CONSULTING PRIVATE LIMITED,TAMIL NADU,Kanchipuram,"Activities of
employment placement agencies",AB2 CONSULTING INC,U.S.A,0.55,0.01,"Received in
the Company",
27,AB2 CONSULTING PRIVATE LIMITED,TAMIL NADU,Kanchipuram,Activities of employment placement agencies,AB2 CONSULTING INC,U.S.A,2.11,0.03,Received in the Company,
28,ABC COMPRESSORS INDIA PRIVATE LIMITED,MAHARASHT RA,Pune,"Manufacture of other pumps,
compressors, taps and valves etc.",ARIZAGA BASTARRICA Y COMPANIA S.A.,Spain,3.09,0.04,Received in the Company,
29,ABHISHEK K KAIHO RECYCLERS PRIVATE LIMITED,DELHI,North Delhi,Materials recovery,KAIHO INDUSTRY SINGAPORE PTE. LTD.,Singapore,0.40,0.01,Received in the Company,
30,ABHISHEK K KAIHO RECYCLERS PRIVATE LIMITED,DELHI,North Delhi,Materials recovery,KAIHO INDUSTRY SINGAPORE PTE. LTD,Singapore,11.60,0.16,Received in the Company,
31,ABI-HEALTH TECHNOLOGIES PRIVATE LIMITED,TAMIL NADU,Chennai,"Other information technology and
computer service activities n.e.c",Attune Technologies Pte. Ltd,Singapore,19.95,0.27,Received in the Company,
32,ACADPAL PRIVATE LIMITED,MAHARASHT RA,Pune,"Other information technology and
computer service activities n.e.c",Acadpal Incorporation,U.S.A,7.51,0.10,Received in the Company,
33,ACARA SOLUTIONS INDIA PRIVATE LIMITED,TAMIL NADU,Chennai,Management consultancy activities,ALERON SHARED RESOURCES INC,U.S.A,7.00,0.10,Received in the Company,
34,ACCELERATE PRODUCTX VENTURES PRIVATE LIMITED,DELHI,South Delhi,"Other non- specialised wholesale trade
n.e.c.",KBHS LLC,U.S.A,3.58,0.05,Received in the Company,
35,ACCION LABS SOLUTIONS PRIVATE LIMITED,MAHARASHT RA,Mumbai,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding
web-page designing","Accion Labs Holdings, Inc.",U.S.A,405.64,5.45,Received in the Company,
36,ACCION LABS SOLUTIONS PRIVATE LIMITED,MAHARASHT RA,Mumbai,"Writing, modifying, testing of computer program to meet the
needs of a particular","Accion Labs Holdings, Inc.",U.S.A,946.49,12.71,Received in the Company,
,,,,client excluding web-page designing,,,,,,
37,Accurics India Private Limited,MAHARASHT RA,Pune,"Computer consultancy and computer facilities
management activities","Accurics, INC.",U.S.A,0.10,0.00,Received in the Company,
38,ACE URBAN DEVELOPERS PRIVATE LIMITED,ANDHRA PRADESH,Krishna,"Management
consultancy activities",ACE URBAN (MAURITIUS) LIMITED,Mauritius,"1,751.97",23.82,"Received in
the Company",
39,ACES India Private Limited,TELANGANA,K.V.Rangareddy,"Other information technology and computer service
activities n.e.c",Mohammed Noore Mazher,Saudi Arabia,0.05,0.00,Received in the Company,
40,Aceto Pharma (India) Private Limited,MAHARASHT RA,Thane,"Other business
support service activities n.e.c",Aceto Holding BV,Netherland,"4,548.23",61.83,"Received in
the Company",
41,Acidaes Solutions (P) Ltd.,DELHI,Central Delhi,Providing software support and maintenance to the clients,Avataar Holdings,Mauritius,366.02,4.98,Received in the Company,
42,Acidaes Solutions (P) Ltd.,DELHI,Central Delhi,"Providing software support and
maintenance to the clients",JOSEPH SALESKY,U.S.A,0.00,0.00,Received in the Company,
43,Acko Technology & Services Private Limited,KARNATAKA,Bengaluru,Other information service activities n.e.c.,Intact Ventures Inc,Canada,8.64,0.12,Received in the Company,
44,Acko Technology & Services Private Limited,KARNATAKA,Bengaluru,"Other information
service activities n.e.c.","Munich Re Fund I, LP",U.S.A,8.64,0.12,"Received in
the Company",
45,ACMMO GLOBALTECH SOLUTIONS PRIVATE LIMITED,HARYANA,Gurgaon,"Other information technology and computer service
activities n.e.c",ACMMO INC.,U.S.A,0.10,0.00,Received in the Company,
46,ACRANNOLIFE GENOMICS PRIVATE LIMITED,TAMIL NADU,Chennai,"Other human health activities n.e.c. (including independent ambulance
activities)",RX VENTURES LLC,U.S.A,8.00,0.11,Received in the Company,
47,ACTO ACTIVE CHEMICAL INDIA PRIVATE LIMITED,HARYANA,Gurgaon,Wholesale of pharmaceutical and medical goods,Acto GMBH,Germany,1.77,0.02,Received in the Company,
48,ACUVA SYSTEMS INDIA PRIVATE LIMITED,DELHI,North Delhi,"Wholesale of other electronic equipments and
parts thereof",Manoj Singh,Canada,0.00,0.00,Received in the Company,
49,ACUVA SYSTEMS INDIA PRIVATE LIMITED,DELHI,North Delhi,"Wholesale of other electronic
equipments and parts thereof",ACUVA TECHNOLOGIES INC,Canada,0.01,0.00,Received in the Company,
50,ADANI INFRA (INDIA) LIMITED,GUJARAT,Gandhi Nagar,Construction and maintenance of power plants,Gardenia Trade and Investment Limited,Mauritius,"3,047.74",40.92,Received in the Company,
51,ADANI INFRA (INDIA) LIMITED,GUJARAT,Gandhi Nagar,"Construction and
maintenance of power plants",Gardenia Trade and Investment Limited,Mauritius,"11,931.73",160.22,"Received in
the Company",
52,Adani Ports and Special Economic Zone Limited,GUJARAT,Ahmedabad,Cargo handling incidental to water transport,Windy Lakeside Investment Ltd,Mauritius,"8,000.00",109.19,Received in the Company,
53,ADANI ROAD TRANSPORT LIMITED,GUJARAT,Gandhi Nagar,"Construction and maintenance of motorways, streets, roads, other vehicular and pedestrian ways, highways, bridges,
tunnels and subways",GARDENIA TRADE AND INVESTMENT LTD,Mauritius,"2,178.82",29.26,Received in the Company,
54,Adani Total Private Limited,GUJARAT,Gandhi Nagar,Cargo handling incidental to water transport,TOTAL HOLDINGS SAS,France,195.00,2.65,Received in the Company,
55,ADANICONNEX PRIVATE LIMITED,GUJARAT,Gandhi Nagar,"Computer consultancy and computer facilities
management activities","EdgeConnex, Europe B.V",Netherland,854.41,11.62,Received in the Company,
56,ADAPTOID LABS INDIA PRIVATE LIMITED,Telangana,Hyderabad,"Publishing of operating business and other
applications",VERITAS PRIME LLC,U.S.A,0.05,0.00,Received in the Company,
57,ADCOUNT TECHNOLOGIES PRIVATE LIMITED,DELHI,South Delhi,"Other non- specialised wholesale trade
n.e.c.",SOSV IV LLC,U.S.A,15.23,0.21,Received in the Company,
58,ADDISTRO TECHNOLOGIES PRIVATE LIMITED,HARYANA,Gurgaon,Wholesale trade via e-commerce excluding activities of commission agents,BEENEXT2 PTE LTD,Singapore,37.23,0.51,Received in the Company,
59,ADDISTRO TECHNOLOGIES PRIVATE LIMITED,HARYANA,Gurgaon,"Wholesale trade via e-commerce excluding activities
of commission agents",ON MAURITIUS,Mauritius,37.23,0.51,Received in the Company,
60,ADELLO BIOLOGICS PRIVATE LIMITED,GUJARAT,Ahmedabad,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics,endocrine products, basic vitamins; opium derivatives; sulpha drugs; serums and plasmas; salicylic acid, its",KASHIV BIOSCIENCES LLC,U.S.A,96.59,1.30,Received in the Company,
61,ADHIKOSH FINANCIAL ADVISORY PRIVATE LIMITED,HARYANA,Panchkula,"Other information technology and computer service
activities n.e.c",Adhikosh Inc.,U.S.A,18.66,0.25,Received in the Company,
62,Adhunik Metaliks Limited,ODISHA,Sundergarh,"Manufacture of other
basic iron and steel n.e.c",LIBERTY AM HOLDINGS (UK) LTD,United Kingdom,116.83,1.57,"Received in
the Company",
63,Aditya Birla Health Insurance Co. Limited,MAHARASHT RA,Mumbai,Non-life insurance,Momentum Metropolitan Strategic Investments Pty Ltd,South Africa,490.00,6.66,Received in the Company,
64,ADONMO PRIVATE LIMITED,TELANGANA,K.V.Rangareddy,Advertising,Qatar Insurance Company Q.S.P..C.,Qatar,0.26,0.00,"Received in the
Company",
65,ADONMO PRIVATE LIMITED,TELANGANA,K.V.Rangareddy,Advertising,Qatar Insurance Company Q.S.P..C.,Qatar,37.24,0.50,Received in the Company,
66,ADRET RETAIL PRIVATE LIMITED,WEST BENGAL,Kolkata,Manufacture of ayurvedic or unani pharmaceutical preparation,Vertex Ventures SEA Fund IV Pte. Ltd.,Singapore,460.38,6.28,Received in the Company,
67,ADRIYO TECHNOLOGY PRIVATE LIMTED,DELHI,Central Delhi,Other information technology and computer service activities n.e.c,SINGAPORE ANGEL NETWORK PTE LTD,Singapore,1.50,0.02,Received in the Company,
68,Advance Intelligence Technology India Private Limited,DELHI,South Delhi,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding
web-page designing",Advance Intelligence Pte Ltd,Singapore,6.79,0.09,Received in the Company,
69,ADVANTECH INDUSTRIAL COMPUTING INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,Manufacture of other electrical equipment,ADVANTECH CO LTD,Taiwan,50.00,0.67,"Received in
the Company",
70,ADVENT TECH PROJECTS PRIVATE LIMITED,DELHI,North East Delhi,Architectural and engineering activities and related,ADVENT TECH DMCC,UAE,0.10,0.00,Received in the Company,
,,,,technical consultancy,,,,,,
71,ADYEN INDIA TECHNOLOGY SERVICES PRIVATE LIMITED,MAHARASHT RA,Mumbai,Other information technology and computer service activities n.e.c,Adyen International BV,Netherland,237.60,3.24,Received in the Company,
72,ADYEN INDIA TECHNOLOGY SERVICES PRIVATE LIMITED,MAHARASHT RA,Mumbai,"Other information technology and computer service
activities n.e.c",Adyen NV,Netherland,2.40,0.03,Received in the Company,
73,AEGON LIFE INSURANCE COMPANY LIMITED,MAHARASHT RA,Mumbai,Life insurance,AEGON INDIA HOLDING B V,Netherland,900.00,12.24,Received in the Company,
74,AEGON LIFE INSURANCE COMPANY LIMITED,MAHARASHT RA,Mumbai,Life insurance,AEGON INDIA HOLDING B V,Netherland,200.00,2.69,"Received in the
Company",
75,AEQUS ENGINEERED PLASTICS PRIVATE LIMITED,KARNATAKA,Bengaluru,"Manufacture of other
games and toys n.e.c.",AIGF Investments II Private Limited,Mauritius,10.95,0.15,"Received in
the Company",
76,AEQUS ENGINEERED PLASTICS PRIVATE LIMITED,KARNATAKA,Bengaluru,Manufacture of other games and toys n.e.c.,AIGF Investements II Private Limited,Mauritius,10.95,0.15,Received in the Company,
77,AEQUS ENGINEERED PLASTICS PRIVATE LIMITED,KARNATAKA,Bengaluru,"Manufacture of other games and toys
n.e.c.",AIGF Investments II Private Limited,Mauritius,10.95,0.15,"Received in the
Company",
78,AEQUS PRIVATE LIMITED,KARNATAKA,Bengaluru,"Manufacture of parts and accessories of the aircraft and spacecraft of this class (major assemblies such as fuselages, wings, doors, control surfaces, landing gear, fuel tanks, nacelles, airscrews, he",Aequs Manufacturing Investments Private Limited,Mauritius,423.41,5.69,Received in the Company,
79,Aeris Communications India Private Limited,UTTAR PRADESH,Gautam Buddha Nagar,"Other information technology and computer service
activities n.e.c","Aeris Communications, Inc.",U.S.A,51.69,0.69,Received in the Company,
80,Aerocompact India Private Limited,DELHI,South Delhi,Wholesale of metals and metal ores,Expectus Gmbh,Germany,0.08,0.00,Received in the Company,
81,Aerocompact India Private Limited,DELHI,South Delhi,Wholesale of metals and metal ores,Aerocompact Holding Gmbh,Austria,7.92,0.11,"Received in
the Company",
82,AEROSPACE VENTURES (INDIA),DELHI,South Delhi,Manufacture of parts,RAKESH SURIE,U.S.A,0.30,0.00,Received in,
,PRIVATE LIMITED,,,"and accessories of the aircraft and spacecraft of this class (major assemblies such as fuselages, wings, doors, control surfaces, landing gear, fuel tanks, nacelles, airscrews,
he",,,,,the Company,
83,AESTHETIC NUTRITION PRIVATE LIMITED,DELHI,South Delhi,Wholesale of other basic/manufactured food stuffs n.e.c.,DSG CONSUMER PARTNERS III,Mauritius,7.30,0.10,Received in the Company,
84,AFG BUSINESS SOLUTIONS (INDIA) PRIVATE LIMITED,MAHARASHT RA,Mumbai,"Other professional, scientific and technical activities
n.e.c.",AFG India Holdings Pte. Ltd,Singapore,8.81,0.12,Received in the Company,
85,AFG BUSINESS SOLUTIONS (INDIA) PRIVATE LIMITED,MAHARASHT RA,Mumbai,"Other professional, scientific and technical activities n.e.c.",AFG India Holdings Pte. Ltd,Singapore,6.52,0.09,Received in the Company,
86,AGARSHA SENIOR CARE PRIVATE LIMITED,HARYANA,Gurgaon,Nursing care facilities,AGARSHA SENIOR CARE LLC,U.S.A,30.00,0.41,"Received in the
Company",
87,AGARTALA PLASTICS PRIVATE LIMITED,TRIPURA,West Tripura,"Manufacture of semi-finished of plastic products (plastic plates, sheets, blocks, film,
foil, strip etc.)",Reliance Foods Corporation FZE,UAE,9.65,0.13,Received in the Company,
88,AGAVE INDUSTRIES (INDIA) PRIVATE LIMITED,GOA,South Goa,"Manufacture of distilled, potable, alcoholic beverages such as whisky,
brandy, gin, mixed drinks etc.",Kamal Duggirala,U.S.A,0.10,0.00,Received in the Company,
89,AGAVE INDUSTRIES (INDIA) PRIVATE LIMITED,GOA,South Goa,"Manufacture of distilled, potable, alcoholic beverages such as whisky, brandy, gin, mixed drinks etc.",Ashwin Punde,United Kingdom,0.09,0.00,Received in the Company,
90,AGAVE INDUSTRIES (INDIA) PRIVATE LIMITED,GOA,South Goa,"Manufacture of distilled, potable, alcoholic beverages such as whisky, brandy, gin, mixed
drinks etc.",Eric Nazareth,U.S.A,0.56,0.01,Received in the Company,
91,AGAVE INDUSTRIES (INDIA) PRIVATE LIMITED,GOA,South Goa,"Manufacture of distilled, potable, alcoholic beverages such as whisky, brandy, gin, mixed drinks etc.",Eric Nazareth,U.S.A,1.87,0.03,Received in the Company,
92,AGAVE INDUSTRIES (INDIA) PRIVATE LIMITED,GOA,South Goa,"Manufacture of distilled, potable, alcoholic beverages such as whisky, brandy, gin, mixed drinks etc.",Sagar Pushpala,U.S.A,0.19,0.00,Received in the Company,
93,AGGREGATE INTELLIGENCE INDIA PRIVATE LIMITED,TAMIL NADU,Coimbatore,"Other information technology and
computer service activities n.e.c",AGGREGATE INTELLIGENCE INC,U.S.A,0.10,0.00,Received in the Company,
94,AGNIKUL COSMOS PRIVATE LIMITED,TAMIL NADU,Chennai,Technical testing and analysis,Mayfield India II Ltd,Mauritius,9.16,0.12,"Received in the
Company",
95,AGNIKUL COSMOS PRIVATE LIMITED,TAMIL NADU,Chennai,Technical testing and analysis,Mayfield India II Ltd,Mauritius,138.87,1.89,Received in the Company,
96,AGP CGD INDIA PRIVATE LIMITED,DELHI,South West Delhi,Distribution and sale of gaseous fuels through mains,AG AND P LNG MARKETING PTE LTD,Singapore,100.06,1.36,Received in the Company,
97,AGP CITY GAS PRIVATE LIMITED,DELHI,South West Delhi,"Distribution and sale
of gaseous fuels through mains",AG AND P LNG MARKETING PTE LTD,Singapore,113.93,1.55,"Received in
the Company",
98,AGP CITY GAS PRIVATE LIMITED,DELHI,South West Delhi,Distribution and sale of gaseous fuels through mains,AG AND P LNG MARKETING PTE LTD,Singapore,68.94,0.93,Received in the Company,
99,AGP CITY GAS PRIVATE LIMITED,DELHI,South West Delhi,"Distribution and sale of gaseous fuels
through mains",AG AND P LNG MARKETING PTE LTD,Singapore,334.22,4.49,"Received in the
Company",
100,AGP CITY GAS PRIVATE LIMITED,DELHI,South West Delhi,Distribution and sale of gaseous fuels through mains,AG AND P LNG MARKETING PTE LTD,Singapore,7.25,0.10,Received in the Company,
101,AGP CITY GAS PRIVATE LIMITED,DELHI,South West Delhi,Distribution and sale of gaseous fuels through mains,AG AND P LNG MARKETING PTE LTD,Singapore,58.48,0.80,Received in the Company,
102,AGP CITY GAS PRIVATE LIMITED,DELHI,South West Delhi,Distribution and sale of gaseous fuels through mains,AG AND P LNG MARKETING PTE LTD,Singapore,11.62,0.16,Received in the Company,
103,AGP KARAIKAL LNG PRIVATE LIMITED,DELHI,South West Delhi,Distribution and sale of gaseous fuels through mains,AG AND P INTERNATIONAL HOLDINGS PTE LTD,Singapore,4.37,0.06,Received in the Company,
104,AGP KARAIKAL LNG PRIVATE LIMITED,DELHI,South West Delhi,Distribution and sale of gaseous fuels,AG AND P INTERNATIONAL HOLDINGS PTE LTD,Singapore,10.87,0.15,Received in the,
,,,,through mains,,,,,Company,
105,Agricrest Investment Advisors Private Limited,MAHARASHT RA,Mumbai,"Management of other investment
funds",GrowCo Limited,Mauritius,8.23,0.11,"Received in the
Company",
106,Agristo Masa Private Limited,UTTAR PRADESH,Gautam Buddha Nagar,Manufacture of potato flour and meals and prepared meals of vegetables,IMSTO NV,Belgium,40.00,0.55,Received in the Company,
107,AGROTECH RISK PRIVATE LIMITED,DELHI,South Delhi,"Other supporting activities including agricultural gardening (excluding parks and gardening activities), n.e.c.",HOLDING CTRL2GO LIMITED,Cyprus,5.00,0.07,Received in the Company,
108,Agvesto India Private Limited,MAHARASHT RA,Mumbai,Other information technology and computer service activities n.e.c,Agvesto Limited,United Kingdom,0.10,0.00,Received in the Company,
109,AHAMMUNE BIOSCIENCES PRIVATE LIMITED,MAHARASHT RA,Pune,"Research and experimental development on natural sciences and
engineering",HAYSTACK INVESTMENTS LIMITED,Mauritius,3.34,0.04,Received in the Company,
110,AHAMMUNE BIOSCIENCES PRIVATE LIMITED,MAHARASHT RA,Pune,Research and experimental development on natural sciences and engineering,Rohit Kaushal,UAE,0.49,0.01,Received in the Company,
111,AIDT PHASE-1 PRIVATE LIMITED,HARYANA,Gurgaon,"Construction of buildings carried out on own-account basis or on a fee or
contract basis",DOVER AID V PTE. LTD.,Singapore,4.00,0.05,Received in the Company,
112,AIGP Developers Pune Private Limited,MAHARASHT RA,Pune,"Construction of buildings carried out on own-account basis or on a fee or
contract basis",AIGP 1 PUNE B PTE LTD,Singapore,185.00,2.52,Received in the Company,
113,AIKAKI APPLIED TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,Providing software support and maintenance to the clients,CELEBRUS LIMITED,United Kingdom,0.33,0.00,Received in the Company,
114,AIONEERS TECHNOLOGIES INDIA PRIVATE LIMITED,MAHARASHT RA,Pune,"Other information technology and
computer service activities n.e.c",Aioneers Technologies GmbH,Germany,0.10,0.00,Received in the Company,
115,AIR GAS ELECTRONIC MATERIALS,MAHARASHT,Mumbai,Manufacture of gas,AIR GAS ELECTRONIC,Taiwan,29.49,0.40,Received in,
,INDIA PRIVATE LIMITED,RA,,,MATERIAL ENTERPRISE COMPANY LIMITED,,,,the Company,
116,AIR TOUCH SOLAR INDIA PRIVATE LIMITED,UTTAR PRADESH,Gautam Buddha Nagar,"Manufacture of motor vehicle electrical equipment, such as generators, alternators, spark plugs,ignition wiring harnesses, power window and door systems, assembly of purchased gauges into instrument panels, voltage regulators
etc",Airtouch Solar Ltd.,Israel,1.85,0.02,Received in the Company,
117,AIR TOUCH SOLAR INDIA PRIVATE LIMITED,UTTAR PRADESH,Gautam Buddha Nagar,"Manufacture of motor vehicle electrical equipment, such as generators, alternators, spark plugs,ignition wiring harnesses, power window and door systems, assembly of purchased gauges into instrument panels, voltage regulators
etc",Airtouch Solar Ltd.,Israel,14.64,0.20,Received in the Company,
118,AIR TOUCH SOLAR INDIA PRIVATE LIMITED,UTTAR PRADESH,Gautam Buddha Nagar,"Manufacture of motor vehicle electrical equipment, such as generators, alternators, spark plugs,ignition wiring harnesses, power window and door systems, assembly of purchased gauges into instrument panels, voltage regulators
etc",Airtouch Solar Ltd.,Israel,7.71,0.10,Received in the Company,
119,Airblack Technologies Private Limited,HARYANA,Gurgaon,Other information service activities n.e.c.,Elevation Capital VI Limited,Mauritius,162.81,2.22,Received in the Company,
120,AIRMASTER INDO PLAST PRIVATE LIMITED,TAMIL NADU,Tiruvallur,Manufacture of domestic electric,AIRMASTER HOLDING LIMITED,UAE,15.00,0.20,Received in the,
,,,,"appliances such as refrigerators, washing machines,
vacuum cleaners, mixers, grinders etc.",,,,,Company,
121,AIRMASTER INDO PLAST PRIVATE LIMITED,TAMIL NADU,Tiruvallur,"Manufacture of domestic electric appliances such as refrigerators, washing machines, vacuum cleaners, mixers, grinders etc.",MUNVAR KHAN,UAE,15.00,0.20,Received in the Company,
122,AKIRA PRODUCTIONS PRIVATE LIMITED,TAMIL NADU,Chennai,Production of motion picture,BIOSCOPE LLC,U.S.A,13.23,0.18,Received in the Company,
123,AKNA MEDICAL PRIVATE LIMITED,HARYANA,Gurgaon,Wholesale of pharmaceutical and medical goods,"Lightrock Growth Fund I S.A., SICAV-RAIF for and on behalf of Lightrock Global Fund",Luxembour g,375.00,5.12,Received in the Company,
124,AKSHAYAKALPA FARMS AND FOODS PRIVATE LIMITED,KARNATAKA,Tumakuru,Manufacture of other dairy products n.e.c.,"Venture Dairy Enterprises, LLC",U.S.A,51.97,0.71,"Received in
the Company",
125,Aktivolabs Digital Health Private Limited,WEST BENGAL,Kolkata,"Other human health activities n.e.c. (including independent
ambulance activities)",Aktivolabs Pte. Ltd.,Singapore,2.66,0.04,Received in the Company,
126,Al Dahra Food India Private Limited,MAHARASHT RA,Thane,Whole sale of other agriculture raw materials n.e.c.,Al Dahra India Food Corridor Sole Proprietorship LLC,UAE,0.11,0.00,Received in the Company,
127,Al Dahra Food India Private Limited,MAHARASHT RA,Thane,"Whole sale of other agriculture raw
materials n.e.c.",Al Dahra Food Sole Proprietorship LLC,UAE,0.00,0.00,"Received in the
Company",
128,Albatross Sports Promotion Private Limited,DELHI,South Delhi,Operation of sports facilities,International Junior Golf Academy Inc,U.S.A,3.48,0.05,Received in the Company,
129,Albemarle Chemicals Private Limited,MAHARASHT RA,Mumbai,"Manufacture of
synthetic aromatic products",Albemarle Corporation,U.S.A,0.00,0.00,"Received in
the Company",
130,Albemarle Chemicals Private Limited,MAHARASHT RA,Mumbai,"Manufacture of
synthetic aromatic products",Albemarle Europe SRL,Belgium,0.10,0.00,"Received in
the Company",
131,ALDERLEY ENGINEERING PRIVATE LIMITED,DELHI,East Delhi,"Architectural and engineering activities and related technical
consultancy",ALDERLEY PLC,United Kingdom,0.10,0.00,Received in the Company,
132,ALDERLEY ENGINEERING PRIVATE,DELHI,East Delhi,Architectural and,ALDERLEY SYSTEMS LIMITED,United,0.00,0.00,Received in,
,LIMITED,,,"engineering activities and related
technical consultancy",,Kingdom,,,the Company,
133,ALFA BIOMED INDIA PRIVATE LIMITED,MAHARASHT RA,Pune,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics,endocrine products, basic vitamins; opium derivatives; sulpha drugs; serums and plasmas; salicylic
acid, its",ADNA Global Ltd,Mauritius,44.50,0.60,Received in the Company,
134,ALFA BIOMED INDIA PRIVATE LIMITED,MAHARASHT RA,Pune,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics,endocrine products, basic vitamins; opium derivatives; sulpha drugs; serums and
plasmas; salicylic acid, its",ADNA Global Ltd,Mauritius,89.33,1.21,Received in the Company,
