Table No.19 (b),,,,,,,,,,
"STATEMENT ON REMMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS UNDER ACQUISITION OF SHARES ROUTE
14,Acidaes Solutions (P) Ltd.,DELHI,Central Delhi,Providing software support and maintenance to the clients,Avataar Holdings,Mauritius,70.36,0.96,"Received
in the Company",
15,Acidaes Solutions (P) Ltd.,DELHI,Central Delhi,Providing software support and maintenance to the clients,Avataar Holdings,Mauritius,39.67,0.54,Received in the Company,
16,Acidaes Solutions (P) Ltd.,DELHI,Central Delhi,Providing software support and maintenance to the clients,Avataar Holdings,Mauritius,29.94,0.41,"Received in the
Company",
17,Acidaes Solutions (P) Ltd.,DELHI,Central Delhi,Providing software support and maintenance to the clients,Avataar Holdings,Mauritius,9.73,0.13,Received in the Company,
18,"ACS AIR CHARTER SERVICE INDIA PRIVATE
LIMITED",MAHARASHTRA,Mumbai,Passenger airways,AIR CHARTER SERVICE GROUP LIMITED,United Kingdom,1.25,0.02,"Received in the
Company",
19,"ACTIFIO
TECHNOLOGIES (INDIA) PRIVATE LIMITED",TELANGANA,Hyderabad,Other information technology and computer service activities n.e.c,Google International LLC,U.S.A,0.00,0.00,"Received
in the Company",
20,ACTIFIO TECHNOLOGIES (INDIA) PRIVATE LIMITED,TELANGANA,Hyderabad,Other information technology and computer service activities n.e.c,Google International LLC,U.S.A,0.00,0.00,Received in the Company,
21,ACTIONABLE SCIENCE LABS PRIVATE LIMITED,UTTARAKHAND,Dehradun,Wholesale of software,ACTIONABLE SCIENCE INC.,U.S.A,0.12,0.00,Received in the Company,
22,"ACTORIUS INNOVATIONS AND
RESEARCH PRIVATE LIMITED",MAHARASHTRA,Mumbai,Research and experimental development on natural sciences and engineering,RAKSHIT KAMBLE,U.S.A,0.29,0.00,Received in the Company,
23,ADAPT IDEATIONS PRIVATE LIMITED,MAHARASHTRA,Thane,Publishing of operating systems and system software,Adapt Ideations Group Pty Ltd,Australia,0.03,0.00,"Received in the
Company",
24,ADGLOBAL360 INDIA PRIVATE LIMITED,DELHI,North West Delhi,"Other data processing, hosting and related activities n.e.c.",Hakuhodo Investment Singapore Pte Ltd,Singapore,5.06,0.07,Received in the Company,
25,ADGLOBAL360 INDIA PRIVATE LIMITED,DELHI,North West Delhi,"Other data processing, hosting and related activities n.e.c.",Hakuhodo Investment Singapore Pte Ltd,Singapore,25.56,0.34,Received in the Company,
26,ADITYA PRECITECH PRIVATE LIMITED,TELANGANA,Hyderabad,Manufacture of metal-forming machinery and machine tools n.e.c,TIGER LASER PTE LTD,Singapore,30.00,0.40,"Received
in the Company",
27,ADITYA PRECITECH PRIVATE LIMITED,TELANGANA,Hyderabad,Manufacture of metal-forming machinery and machine tools n.e.c,TIGER LASER PTE LTD,Singapore,14.54,0.20,Received in the Company,
28,ADRET RETAIL PRIVATE LIMITED,WEST BENGAL,Kolkata,Manufacture of ayurvedic or unani pharmaceutical preparation,Jetty Ventures India Investments Pte. Limited,Singapore,1.31,0.02,"Received in the
Company",
29,ADRET RETAIL PRIVATE LIMITED,WEST BENGAL,Kolkata,Manufacture of ayurvedic or unani pharmaceutical preparation,Jetty Ventures India Investments Pte. Ltd.,Singapore,6.51,0.09,"Received
in the Company",
30,ADRET RETAIL PRIVATE LIMITED,WEST BENGAL,Kolkata,Manufacture of ayurvedic or unani pharmaceutical preparation,Jetty Ventures India Investments Pte. Ltd,Singapore,1.22,0.02,"Received
in the Company",
31,ADRET RETAIL PRIVATE LIMITED,WEST BENGAL,Kolkata,Manufacture of ayurvedic or unani pharmaceutical preparation,Vertex Ventures SEA Fund IV Pte. Ltd.,Singapore,25.74,0.35,Received in the Company,
32,ADRET RETAIL PRIVATE LIMITED,WEST BENGAL,Kolkata,Manufacture of ayurvedic or unani pharmaceutical preparation,Vertex Ventures SEA Fund IV Pte. Ltd.,Singapore,38.83,0.53,"Received in the
Company",
33,ADV PARTNERS ADVISORS INDIA PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Other financial service activities, except insurance and pension funding activities, n.e.c.",ADV Partners Management Pte Limited,Singapore,43.79,0.59,Received in the Company,
34,AEROTIME PRIVATE LIMITED,RAJASTHAN,Jaipur,Other information technology and computer service activities n.e.c,Aerotime Inc.,U.S.A,0.01,0.00,"Received in the
Company",
35,AIRMEET NETWORKS PRIVATE LIMITED,KARNATAKA,Bengaluru,Providing software support and maintenance to the clients,AIRMEET INC,U.S.A,0.41,0.01,"Received
in the Company",
36,ALFELDER KUNSTSTOFFWERKE PRIVATE LIMITED,MAHARASHTRA,Mumbai,Other non-specialised wholesale trade n.e.c.,Alfelder Kunststoffwerke Herm. Meyer GmbH,Germany,0.05,0.00,Received in the Company,
37,ALFELDER KUNSTSTOFFWERKE PRIVATE LIMITED,MAHARASHTRA,Mumbai,Other non-specialised wholesale trade n.e.c.,Alfelder Kunststoffwerke Herm. Meyer GmbH,Germany,0.05,0.00,Received in the Company,
38,ALMA CONNECT SOLUTIONS PRIVATE LIMITED,DELHI,South West Delhi,"Operation of other websites that act as portals to the Internet, such as media
sites providing periodically updated content",ALMA LABS INC,U.S.A,0.04,0.00,Received in the Company,
39,ALMA CONNECT SOLUTIONS PRIVATE LIMITED,DELHI,South West Delhi,"Operation of other websites that act as portals to the Internet, such as media
sites providing periodically updated content",ALMA LABS INC,U.S.A,1.13,0.02,Received in the Company,
40,ALMA CONNECT SOLUTIONS PRIVATE LIMITED,DELHI,South West Delhi,"Operation of other websites that act as portals to the Internet, such as media sites providing periodically updated content",ALMA LABS INC,U.S.A,0.04,0.00,Received in the Company,
41,ALMA CONNECT SOLUTIONS PRIVATE LIMITED,DELHI,South West Delhi,"Operation of other websites that act as portals to the Internet, such as media
sites providing periodically updated content",ALMA LABS INC,U.S.A,2.51,0.03,Received in the Company,
42,ALPHANAV INDIA PRIVATE LIMITED,WEST BENGAL,Kolkata,"Repair and maintenance of measuring, testing, navigating and control
equipment of group 265",ALPHA INTERNATIONAL SG PTE. LTD.,Singapore,0.10,0.00,"Received in the
Company",
43,ALZ SOLUTION PRIVATE LIMITED,NEW DELHI,NEW DELHI,Other non-specialised wholesale trade n.e.c.,STARWIN DIGITAL PTE. LTD.,Singapore,0.06,0.00,"Received
in the Company",
44,Amanthin Info Parks Private Limited,MAHARASHTRA,Mumbai,"Other data processing, hosting and related activities n.e.c.",Amanthin Info Parks Holdings Pte. Ltd.,Singapore,0.10,0.00,Received in the Company,
45,Amas Medical Services Private Limited,MAHARASHTRA,Mumbai,"Other human health activities n.e.c.
(including independent ambulance activities)",International SOS Pte Limited,Singapore,1.22,0.02,"Received
in the Company",
46,Ameya Logistics Private Limited,MAHARASHTRA,Raigarh(MH),Cargo handling incidental to water transport,PSA INDIA INTERMODAL PTE. LTD,Singapore,308.59,4.20,Received in the Company,
47,Ameya Logistics Private Limited,MAHARASHTRA,Raigarh(MH),Cargo handling incidental to water transport,PSA INDIA INTERMODAL PTE. LTD,Singapore,260.80,3.55,"Received in the
Company",
48,Ameya Logistics Private Limited,MAHARASHTRA,Raigarh(MH),Cargo handling incidental to water transport,PSA INDIA INTERMODAL PTE. LTD,Singapore,823.37,11.19,Received in the Company,
49,"AMPYR ENERGY TECH SOLUTIONS PRIVATE
LIMITED",KARNATAKA,Bengaluru,Electric power generation using solar energy,Ampyr Developments Pte Ltd,Singapore,0.01,0.00,"Received in the
Company",
50,"AMPYR RENEWABLE
ENERGY RESOURCES FIVE PRIVATE LIMITED",KARNATAKA,Bengaluru,Electric power generation using solar energy,Ampyr Energy India Pte Ltd,Singapore,0.01,0.00,"Received
in the Company",
51,AMPYR RENEWABLE ENERGY RESOURCES FOUR PRIVATE LIMITED,KARNATAKA,Bengaluru,Electric power generation using solar energy,Ampyr Energy India Pte Ltd,Singapore,0.01,0.00,Received in the Company,
52,AMPYR RENEWABLE ENERGY RESOURCES NINE PRIVATE LIMITED,KARNATAKA,Bengaluru,Electric power generation using solar energy,Ampyr Energy India Pte Ltd,Singapore,0.01,0.00,Received in the Company,
53,AMPYR RENEWABLE ENERGY RESOURCES SIX PRIVATE LIMITED,KARNATAKA,Bengaluru,Electric power generation using solar energy,Ampyr Energy India Pte Ltd,Singapore,0.01,0.00,Received in the Company,
54,AMPYR RENEWABLE ENERGY RESOURCES TEN PRIVATE LIMITED,KARNATAKA,Bengaluru,Electric power generation using solar energy,Ampyr Energy India Pte Ltd,Singapore,0.01,0.00,Received in the Company,
55,"AMPYR RENEWABLE ENERGY RESOURCES
THREE PRIVATE LIMITED",KARNATAKA,Bengaluru,Electric power generation using solar energy,Ampyr Developments Pte Ltd,Singapore,0.01,0.00,Received in the Company,
56,AMPYR RENEWABLE ENERGY RESOURCES TWELVE PRIVATE LIMITED,KARNATAKA,Bengaluru,Electric power generation using solar energy,Ampyr Energy India Pte Ltd,Singapore,0.01,0.00,Received in the Company,
57,AMPYR RENEWABLE ENERGY RESOURCES TWO PRIVATE LIMITED,KARNATAKA,Bengaluru,Electric power generation using solar energy,Ampyr Energy India Pte Ltd,Singapore,0.01,0.00,Received in the Company,
58,Amuse Labs Private Limited,KARNATAKA,Dharwad,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page
designing",John R Temple,U.S.A,0.56,0.01,Received in the Company,
59,Amuse Labs Private Limited,KARNATAKA,Dharwad,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page designing",John R Temple,U.S.A,0.65,0.01,Received in the Company,
60,Antares Vision India Private Limited,MAHARASHTRA,Mumbai,Manufacture of other special-purpose machinery n.e.c.,ANTARES VISION S.P.A.,Italy,12.26,0.17,"Received
in the Company",
61,Antares Vision India Private Limited,MAHARASHTRA,Mumbai,Manufacture of other special-purpose machinery n.e.c.,ANTARES VISION S.P.A.,Italy,7.77,0.11,Received in the Company,
62,Antares Vision India Private Limited,MAHARASHTRA,Mumbai,Manufacture of other special-purpose machinery n.e.c.,FT SYSTEM S.R.L.,Italy,0.00,0.00,"Received in the
Company",
63,ANURATI EXIM PRIVATE LIMITED,KARNATAKA,Bengaluru,Other non-specialised wholesale trade n.e.c.,DEPRAZ JACQUES HENRI,Switzerland,0.02,0.00,Received in the Company,
64,apalya technologies private limited,TELANGANA,Hyderabad,Other information technology and computer service activities n.e.c,YUPP VIDEO SERVICES LLC,U.S.A,7.30,0.10,"Received in the
Company",
65,apalya technologies private limited,TELANGANA,Hyderabad,Other information technology and computer service activities n.e.c,YUPP VIDEO SERVICES LLC,U.S.A,29.63,0.40,"Received
in the Company",
66,apalya technologies private limited,TELANGANA,Hyderabad,Other information technology and computer service activities n.e.c,YUPP VIDEO SERVICES LLC,U.S.A,32.26,0.44,Received in the Company,
67,API HOLDINGS PRIVATE LIMITED,MAHARASHTRA,Mumbai,Other land transport services n.e.c,"Lightstone Fund S.A., for and on behalf of Lightstone Global Fund",Luxembourg,202.35,2.76,Received in the Company,
68,APOLLO VTS INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,"Wholesale of transport equipment except motor vehicles, motorcycles and bicycles",APOLLO VTS B.V.,Netherland,0.01,0.00,Received in the Company,
69,APOLLO VTS INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,"Wholesale of transport equipment except motor vehicles, motorcycles and bicycles",Apollo Group International B.V.,Netherland,0.01,0.00,Received in the Company,
70,Appcino Technologies Private Limited,RAJASTHAN,Jaipur,"Writing, modifying, testing of computer program to meet the needs of a
particular client excluding web-page designing",XEBIA INDIA HOLDING B.V.,Netherland,180.55,2.46,Received in the Company,
71,Appcino Technologies Private Limited,RAJASTHAN,Jaipur,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page designing",XEBIA INDIA HOLDING B.V.,Netherland,180.55,2.46,Received in the Company,
72,Appcino Technologies Private Limited,RAJASTHAN,Jaipur,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page designing",XEBIA INDIA HOLDING B.V.,Netherland,180.55,2.46,Received in the Company,
73,"ARAGEN LIFE SCIENCES PRIVATE
LIMITED",TELANGANA,K.V.Rangareddy,"Research and experimental development on natural sciences and
engineering",Goldman Sachs Asia Strategic Pte Ltd,Singapore,955.51,12.99,"Received in the
Company",
74,ARAGEN LIFE SCIENCES PRIVATE LIMITED,TELANGANA,K.V.Rangareddy,Research and experimental development on natural sciences and engineering,WSCPVIII EMP ( SINGAPORE ) PTE LTD,Singapore,870.29,11.83,Received in the Company,
75,ARAGEN LIFE,TELANGANA,K.V.Rangareddy,Research and experimental,WSCPVIII PARALLEL (,Singapore,65.95,0.90,Received,
,SCIENCES PRIVATE LIMITED,,,development on natural sciences and engineering,SINGAPORE ) PTE LTD,,,,in the Company,
76,"ARAGEN LIFE
SCIENCES PRIVATE LIMITED",TELANGANA,K.V.Rangareddy,"Research and experimental
development on natural sciences and engineering",WSCPVIII ( SINGAPORE ) PTE LTD,Singapore,"2,063.16",28.05,"Received
in the Company",
77,ARAGEN LIFE SCIENCES PRIVATE LIMITED,TELANGANA,K.V.Rangareddy,Research and experimental development on natural sciences and engineering,"WSCPVIII Emp
(Singapore) Pte Ltd",Singapore,870.29,11.83,Received in the Company,
78,"ARAGEN LIFE
SCIENCES PRIVATE LIMITED",TELANGANA,K.V.Rangareddy,"Research and experimental
development on natural sciences and engineering",Goldman Sachs Asia Strategic Pte Ltd,Singapore,955.51,12.99,"Received
in the Company",
79,ARAGEN LIFE SCIENCES PRIVATE LIMITED,TELANGANA,K.V.Rangareddy,Research and experimental development on natural sciences and engineering,"WSCPVIII Emp
(Singapore) Pte Ltd",Singapore,166.45,2.26,Received in the Company,
80,"ARAGEN LIFE SCIENCES PRIVATE
LIMITED",TELANGANA,K.V.Rangareddy,"Research and experimental development on natural sciences and
engineering",Goldman Sachs Asia Strategic Pte Ltd,Singapore,182.75,2.48,"Received in the
Company",
81,"ARAGEN LIFE
SCIENCES PRIVATE LIMITED",TELANGANA,K.V.Rangareddy,"Research and experimental
development on natural sciences and engineering",WSCPVIII Parallel (Singapore) Pte Ltd,Singapore,65.95,0.90,"Received
in the Company",
82,ARAGEN LIFE SCIENCES PRIVATE LIMITED,TELANGANA,K.V.Rangareddy,Research and experimental development on natural sciences and engineering,WSCPVIII (Singapore) Pte Ltd,Singapore,"2,063.16",28.05,Received in the Company,
83,ARETEANS TECHNOLOGY SOLUTIONS PRIVATE LIMITED,TELANGANA,Hyderabad,Other information technology and computer service activities n.e.c,OMNICOM APIMA INVESTMENTS LIMITED,United Kingdom,136.84,1.87,Received in the Company,
84,"ARETEANS TECHNOLOGY SOLUTIONS PRIVATE
LIMITED",TELANGANA,Hyderabad,Other information technology and computer service activities n.e.c,OMNICOM APIMA INVESTMENTS LIMITED,United Kingdom,581.56,7.94,Received in the Company,
85,ARETEANS TECHNOLOGY SOLUTIONS PRIVATE LIMITED,TELANGANA,Hyderabad,Other information technology and computer service activities n.e.c,OMNICOM APIMA INVESTMENTS LIMITED,United Kingdom,136.84,1.87,Received in the Company,
86,"ARETEANS TECHNOLOGY
SOLUTIONS PRIVATE LIMITED",TELANGANA,Hyderabad,Other information technology and computer service activities n.e.c,OMNICOM APIMA INVESTMENTS LIMITED,United Kingdom,513.29,7.01,Received in the Company,
87,ARTHUR FLURY INDIA PRIVATE LIMITED,HARYANA,Gurgaon,"Manufacture of specialized parts of railway or tramway locomotives or of rolling stock (bogies, axles and wheels, brakes and parts of brakes; hooks and
coupling devices, buffers and buffer parts; shoc",BPT Building and Power Technology Holding AG,Switzerland,0.01,0.00,Received in the Company,
88,ASK Investment Managers Limited,MAHARASHTRA,Mumbai,Management of other investment funds,Sherlockal Holdings Limited,Cyprus,"3,000.00",40.95,Received in the Company,
89,Assetz Industrial Parks,KARNATAKA,Bengaluru,Construction of buildings carried out on,ASSETZ INDUSTRIAL,Singapore,0.13,0.00,Received,
,Private Limited,,,own-account basis or on a fee or contract basis,PARKS PTE LTD,,,,in the Company,
90,ASTER DM HEALTHCARE LIMITED,KARNATAKA,Bengaluru,Hospital activities,Kartik Thakrar,UAE,2.48,0.03,"Received
in the Company",
91,Atlantic Lubricants and Specialities Pvt Limited,MAHARASHTRA,Mumbai,"Wholesale of solid, liquid and gaseous fuels and related products",Motul,France,2.17,0.03,Received in the Company,
92,Atlantic Lubricants and Specialities Pvt Limited,MAHARASHTRA,Mumbai,"Wholesale of solid, liquid and gaseous fuels and related products",Motul Asia Pacific Pte. Ltd,Singapore,86.66,1.18,"Received
in the Company",
93,ATLANTIS NEO PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Atlantis Financial Technologies Pte. Limited,Singapore,0.10,0.00,Received in the Company,
94,"ATRA PHARMACEUTICALS
LIMITED",MAHARASHTRA,Aurangabad,Manufacture of allopathic pharmaceutical preparations,RV HEALTHCARE PTE LTD,Singapore,30.00,0.40,"Received in the
Company",
95,"AUDACIOUS
HEALTHCARE PRIVATE LIMITED",MAHARASHTRA,Thane,Other information technology and computer service activities n.e.c,Veera Inc.,U.S.A,0.01,0.00,"Received
in the Company",
96,AUROGREEN HEALTH PRIVATE LIMITED,HARYANA,Gurgaon,Other information technology and computer service activities n.e.c,PRANA HEALTH INC,U.S.A,0.10,0.00,Received in the Company,
97,"AVIANCO TECHNOLOGIES
PRIVATE LIMITED",KARNATAKA,Bengaluru,Providing software support and maintenance to the clients,SRILAKSHMI M N,U.S.A,0.05,0.00,"Received in the
Company",
98,AVIANCO TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,Providing software support and maintenance to the clients,SHRAVAN KUMAR VATAMBETI,U.S.A,0.05,0.00,Received in the Company,
99,AVIYEL TECHNOLOGIES PRIVATE LIMITED,KERALA,Ernakulam,Other information technology and computer service activities n.e.c,Aviyel Incorporated,U.S.A,0.01,0.00,"Received in the
Company",
100,AVONTIX GLOBAL PRIVATE LIMITED,TELANGANA,Hyderabad,"Other data processing, hosting and related activities n.e.c.",Maninder Singh,U.S.A,0.01,0.00,"Received
in the Company",
101,AVONTIX GLOBAL PRIVATE LIMITED,TELANGANA,Hyderabad,"Other data processing, hosting and related activities n.e.c.",Sandip Seth,U.S.A,0.04,0.00,Received in the Company,
102,AVONTIX GLOBAL PRIVATE LIMITED,TELANGANA,Hyderabad,"Other data processing, hosting and related activities n.e.c.",Maninder Singh,U.S.A,0.03,0.00,Received in the Company,
103,Azafran Innovacion Limited,GUJARAT,Ahmedabad,"Manufacture of cosmetics and toileteries (includes manufacture of pre-shave, shaving or after shave preparations; personal deodorants and anti-respirants; perfumed bath bath salts and other bath prepa",azafran Switzerland AG,Switzerland,0.00,0.00,Received in the Company,
104,B MEDICAL SYSTEMS INDIA PRIVATE LIMITED,MAHARASHTRA,Mumbai,Manufacture of other medical and dental instruments n.e.c.,B Medical Systems SARL,Luxembourg,0.05,0.00,Received in the,
,,,,,,,,,Company,
105,B MEDICAL SYSTEMS INDIA PRIVATE LIMITED,MAHARASHTRA,Mumbai,Manufacture of other medical and dental instruments n.e.c.,B Medical Systems SARL,Luxembourg,0.05,0.00,Received in the Company,
106,B2X Service Solutions India Private Limited,MAHARASHTRA,Mumbai,Repair and maintenance of computer and peripheral equipment,B2X Care Solutions GmbH,Germany,7.22,0.10,Received in the Company,
107,BAGNAN INFRA PROJECTS PRIVATE LIMITED,WEST BENGAL,North 24 Parganas,"Storage and warehousing n.e.c.[Includes general merchandise warehouses and warehousing of furniture, automobiles, gas and oil, chemicals, textiles etc. Also included is storage of goods in foreign trade zones",CELLA HOLDINGS PTE LTD,Singapore,122.94,1.68,Received in the Company,
108,BAGNAN INFRA PROJECTS PRIVATE LIMITED,WEST BENGAL,North 24 Parganas,"Storage and warehousing n.e.c.[Includes general merchandise warehouses and warehousing of furniture, automobiles, gas and oil, chemicals, textiles etc. Also
included is storage of goods in foreign trade zones",CELLA HOLDINGS PTE LTD,Singapore,1.78,0.02,Received in the Company,
109,BAGNAN INFRA PROJECTS PRIVATE LIMITED,WEST BENGAL,North 24 Parganas,"Storage and warehousing n.e.c.[Includes general merchandise warehouses and warehousing of furniture, automobiles, gas and oil, chemicals, textiles etc. Also
included is storage of goods in foreign trade zones",CELLA HOLDINGS PTE LTD,Singapore,1.42,0.02,Received in the Company,
110,BAGNAN INFRA PROJECTS PRIVATE LIMITED,WEST BENGAL,North 24 Parganas,"Storage and warehousing n.e.c.[Includes general merchandise warehouses and warehousing of furniture, automobiles, gas and oil, chemicals, textiles etc. Also
included is storage of goods in foreign trade zones",CELLA HOLDINGS PTE LTD,Singapore,228.83,3.12,Received in the Company,
111,Bain XL Services India Private Limited,DELHI,South West Delhi,Other business support service activities n.e.c,CHITPARAN JEGATHESAN,Canada,0.00,0.00,Received in the Company,
112,BBH Communications India Private Limited,MAHARASHTRA,Mumbai,Advertising,BBH Communications Limited,United Kingdom,6.02,0.08,Received in the Company,
113,BEEJAPURI DAIRY PRIVATE LIMITED,HARYANA,Gurgaon,Manufacture of other dairy products n.e.c.,SAIF PARTNERS INDIA VI LIMITED,Mauritius,2.16,0.03,"Received
in the Company",
114,BEEJAPURI DAIRY PRIVATE LIMITED,HARYANA,Gurgaon,Manufacture of other dairy products n.e.c.,SAIF PARTNERS INDIA VI LIMITED,Mauritius,72.21,0.99,Received in the Company,
115,BEEJAPURI DAIRY PRIVATE LIMITED,HARYANA,Gurgaon,Manufacture of other dairy products n.e.c.,"MATRIX PARTNERS INDIA INVESTMENTS III,
LLC",Mauritius,32.73,0.44,"Received in the
Company",
116,BEEJAPURI DAIRY PRIVATE LIMITED,HARYANA,Gurgaon,Manufacture of other dairy products n.e.c.,SAIF PARTNERS INDIA VI LIMITED,Mauritius,107.41,1.44,"Received
in the Company",
117,BETTER TECH,UTTAR,Gautam Buddha,"Other data processing, hosting and",HAGAI AMIEL,Canada,0.05,0.00,Received,
,SOLUTION INDIA PRIVATE LIMITED,PRADESH,Nagar,related activities n.e.c.,,,,,in the Company,
118,BI WORLDWIDE INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,Providing software support and maintenance to the clients,Schoeneckers Inc.,U.S.A,254.96,3.48,"Received
in the Company",
119,BIONE VENTURES PRIVATE LIMITED,KARNATAKA,Bengaluru,Data processing activities including report writing,BIONE VENTURES PTE. LTD.,Singapore,0.42,0.01,Received in the Company,
120,BITBNS INTERNET PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,BLOCKINNOVATIONS PTE.LTD,Singapore,0.01,0.00,"Received
in the Company",
121,"BIZESSENCE CONSULTANCY SERVICES PRIVATE
LIMITED",KERALA,Ernakulam,Computer consultancy and computer facilities management activities,Centelon PTE Ltd,Singapore,0.06,0.00,Received in the Company,
122,"BLANKCHQ INFORMATION
TECHNOLOGIES PRIVATE LIMITED",MAHARASHTRA,Mumbai,"Writing, modifying, testing of computer program to meet the needs of a
particular client excluding web-page designing",DISRPTIV EXCHANGE PTE.LTD.,Singapore,0.43,0.01,Received in the Company,
123,BLoomstack Technologies Private Limited,MAHARASHTRA,Thane,Other information technology and computer service activities n.e.c,BLOOMSTACK CORP.,U.S.A,0.21,0.00,Received in the Company,
124,"Blue Horizons Strategic
Engineering Private Limited",HARYANA,Gurgaon,Manufacture of weapons and ammunition,ELBIT SYSTEMS LAND LIMITED,Israel,0.13,0.00,"Received
in the Company",
125,Body Cupid Private Limited,KARNATAKA,Bengaluru,"Manufacture of cosmetics and toileteries (includes manufacture of pre-shave, shaving or after shave preparations; personal deodorants and anti-respirants;
perfumed bath bath salts and other bath prepa",Tuscany Limited,Mauritius,18.49,0.25,Received in the Company,
126,Bollore Logistics India Private Limited,WEST BENGAL,Kolkata,Freight air transport services,GLOBOLDING,France,0.11,0.00,Received in the Company,
127,Bollore Logistics India Private Limited,WEST BENGAL,Kolkata,Freight air transport services,HOLDING INTERMODAL SERVICES,France,0.03,0.00,"Received in the
Company",
128,Bollore Logistics India Private Limited,WEST BENGAL,Kolkata,Freight air transport services,GLOBOLDING,France,0.09,0.00,Received in the Company,
129,BOSCH ELECTRICAL DRIVES INDIA PRIVATE LIMITED,TAMIL NADU,Kanchipuram,"Manufacture of motor vehicle electrical equipment, such as generators, alternators, spark plugs,ignition wiring harnesses, power window and door systems, assembly of purchased gauges into instrument panels, voltage regulators etc",Robert Bosch Investment Nederland B.V,Netherland,3.37,0.05,Received in the Company,
130,Bosch Limited,KARNATAKA,Bengaluru,Manufacture of motor vehicle engines,"ROBERT BOSCH
INTERNATIONALE BETEILIGUNGEN",Switzerland,"2,95,002.70","4,026.37","Received
in the Company",
131,"BOSTON HARBOR
CONSULTING PRIVATE LIMITED",TAMIL NADU,Kanchipuram,Other information technology and computer service activities n.e.c,Boston Harbor Consulting LLC,U.S.A,0.11,0.00,"Received
in the Company",
132,Botree Software International Private Limited,TAMIL NADU,Chennai,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page designing",Unite Fusion Pte. Ltd.,Singapore,244.86,3.34,Received in the Company,
