"Table No. 19 (c)
STATEMENT ON REMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS UNDER RBI’s AUTOMATIC ROUTE
36,"ZETWERK MANUFACTURING BUSINESSES PRIVATE
LIMITED",KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Lightspeed Venture Partners Select IV Mauritius,Mauritius,2112.34,29.03,Received in the Company,
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,Name of Foreign Collaborator,Country,Amount (In Rs Million),Amount (In US$ Million),Inv Type,
37,VIVRUT DEVELOPERS PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Construction of buildings carried out on
own-account basis or on a fee or contract basis",GBTC I (Master) Pte. Ltd.,Singapore,2100.00,28.72,"Received in
the Company",
38,HIVELOOP LOGISTICS PRIVATE LIMITED,KARNATAKA,Bengaluru,Cargo handling incidental to land transport,Trustroot Logistics Pte Ltd,Singapore,2027.12,27.85,"Received in
the Company",
39,NORDEX INDIA MANUFACTURING PRIVATE LIMITED,TAMIL NADU,Tiruvallur,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",Nordex offshore GMbH,Germany,2000.00,27.48,Greenfield,
40,DAIDO INDIA PRIVATE LIMITED,HARYANA,Gurgaon,Manufacture of other fabricated metal products n.e.c.,Daido Kogyo Co. Ltd.,Japan,1990.00,27.22,Received in the Company,
41,Terralight Kanji Solar Private Limited,Maharashtra,Mumbai,Electric power generation using solar energy,Terra Asia Holdings II Pte Ltd,Singapore,1851.57,25.45,"Received in
the Company",
42,VER SE INNOVATION PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,"ALPHA WAVE HOLDINGS, LP",Cayman Islands,1848.01,25.39,"Received in the
Company",
43,VER SE INNOVATION PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,"ALPHA WAVE VENTURES, LP",Cayman Islands,1848.01,25.39,Received in the Company,
44,STAR INDIA PRIVATE LIMITED,MAHARASHTRA,Mumbai,Television programming and broadcasting activities,Star Entertainment Holdings Limited,British Virginia,1808.01,24.84,Received in the Company,
45,Myntra Designs Private Limited,KARNATAKA,Bengaluru,"Operation of other websites that act as portals to the Internet, such as media sites
providing periodically updated content",FK Myntra Holdings Private Limited,Singapore,1752.00,23.96,"Received in the
Company",
46,"ZETWERK MANUFACTURING BUSINESSES PRIVATE
LIMITED",KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,SCI Growth Investments III,Mauritius,1695.48,23.30,Received in the Company,
47,Clearmedi Healthcare Private Limited,DELHI,North West Delhi,Other human health activities n.e.c. (including independent ambulance activities),KOS S.p.a,Italy,1694.35,23.29,Received in the Company,
48,"ALEXIS MULTI-SPECIALITY HOSPITAL PRIVATE
LIMITED",MAHARASHTRA,Nagpur,Hospital activities,Alexis Healthcare Holding Limited,Mauritius,1606.21,22.08,Brownfield,
49,NOVI DIGITAL ENTERTAINMENT PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Operation of other websites that act as portals to the Internet, such as media sites providing periodically updated content",Star US Holdings Subsidiary LLC,U.S.A,1601.97,22.01,Received in the Company,
50,PARIKH PACKAGING PRIVATE LIMITED,GUJARAT,Ahmedabad,"Manufacture of semi-finished of plastic products (plastic plates, sheets, blocks, film,",GPC HOLDINGS B.V,Netherland,1565.53,21.51,Received in the,
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,Name of Foreign Collaborator,Country,Amount (In Rs Million),Amount (In US$ Million),Inv Type,
,,,,"foil, strip etc.)",,,,,Company,
51,CINEPOLIS INDIA PRIVATE LIMITED,HARYANA,Gurgaon,"Motion picture or video tape projection in cinemas, in the open air or in other projection facilities",Thymelicus Holding B.V.,Netherland,1555.29,21.38,Received in the Company,
52,Satya MicroCapital Limited,DELHI,South Delhi,"Other financial service activities, except
insurance and pension funding activities, n.e.c.",GOJO AND COMPANY INC,Japan,1532.63,21.07,"Received in
the Company",
53,"Uber India Research and Development Private
Limited",TELANGANA,Hyderabad,Other information technology and computer service activities n.e.c,UBER INTERNATIONAL HOLDING B.V.,Netherland,1530.00,21.03,"Received in the
Company",
54,COWRKS INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,Other business support service activities n.e.c,"BSREP III New York FDI I (DIFC)
Limited",UAE,1523.98,20.95,"Received in the
Company",
55,Terralight Rajapalayam Solar Private Limited,MAHARASHTRA,Mumbai,Electric power generation using solar energy,Terra Asia Holdings II Pte Ltd,Singapore,1483.55,20.39,Received in the Company,
56,ECOM EXPRESS PRIVATE LIMITED,DELHI,South West Delhi,Courier activities,CDC Group PLC,United Kingdom,1480.01,20.33,"Received in the
Company",
57,ECOM EXPRESS PRIVATE LIMITED,DELHI,South West Delhi,Courier activities,PG ESMERALDA PTE LTD,Singapore,1479.99,20.33,Received in the Company,
58,Zomato Private Limited,DELHI,South Delhi,Other information service activities n.e.c.,ASP India LP,U.S.A,1470.30,20.20,Received in the Company,
59,DOOSAN BOBCAT INDIA PRIVATE LIMITED,TAMIL NADU,Chennai,"Manufacture of earth-moving machinery (bulldozers, angle-dozers, graders, scrapers, levellers,mechanical shovels, shovel loaders,
off-road dumping trucks etc.)",Doosan Bobcat Singapore Pte Lts,Singapore,1471.73,20.13,Received in the Company,
60,WAKEFIT INNOVATIONS PRIVATE LIMITED,KARNATAKA,Bengaluru,Manufacture of mattresses and pillows,Verlinvest SA,Belgium,1439.56,19.69,Received in the Company,
61,"Universal Mine Developers and Service Providers
Private Limited,",Maharashtra,Mumbai,Electric power generation using solar energy,Terra Asia Holdings II Pte Ltd,Singapore,1430.52,19.66,"Received in the
Company",
62,"STAR HEALTH AND ALLIED INSURANCE COMPANY
LIMITED",TAMIL NADU,Chennai,Non-life insurance,Apis Growth 15 Ltd,Mauritius,1383.76,19.02,"Received in the
Company",
63,Think & Learn Private Limited,KARNATAKA,Bengaluru,"General school education in the second stage of the secondary level (Senior/Higher secondary) giving, in principle, access to
higher education",T. Rowe Price Growth Stock Trust,U.S.A,1381.77,18.90,Received in the Company,
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,Name of Foreign Collaborator,Country,Amount (In Rs Million),Amount (In US$ Million),Inv Type,
64,B. Braun Medical (India) Private Limited,MAHARASHTRA,Mumbai,"Manufacture of bone plates and screws, syringes, needles, catheters, cannulae, etc.",B BRAUN MEDICAL INDUSTRIES SDN BHD,Malaysia,1300.00,17.86,"Received in
the Company",
65,TN Solar Power Energy Private Limited,TAMIL NADU,Chennai,Electric power generation using solar energy,Terra Asia Holdings II Pte Ltd,Singapore,1289.01,17.63,"Received in
the Company",
66,SHOWA INDIA PVT LTD,HARYANA,Faridabad,"Manufacture of diverse parts and accessories for motor vehicles such as brakes, gearboxes, axles,road wheels, suspension shock absorbers, radiators, silencers, exhaust pipes, catalysers, clutches, ste",Showa Corporation,Japan,1268.00,17.43,Received in the Company,
67,FPL TECHNOLOGIES PRIVATE LIMITED,MAHARASHTRA,Mumbai,Other information technology and computer service activities n.e.c,SCI GROWTH INVESTMENTS III,Mauritius,1219.76,16.77,Received in the Company,
68,Benetton India Private Limited,HARYANA,Gurgaon,"Fashion design related to textiles, wearing apparel, shoes, jewelry, furniture and other fashion goods as well as other personal or
household goods",Benetton Group S. R. L.,Italy,1200.00,16.49,Received in the Company,
69,"MANAK WASTE MANAGEMENT PRIVATE
LIMITED",DELHI,South Delhi,Other information technology and computer service activities n.e.c,AEP II HOLDINGS PTE LTD,Singapore,1150.00,15.81,"Received in the
Company",
70,B9 BEVERAGES PRIVATE LIMITED,DELHI,Central Delhi,Manufacture of beer,KIRIN HOLDINGS SINGAPORE PTE LTD,Singapore,1124.97,15.46,Received in the Company,
71,CLASS 21A TECHNOLOGIES PRIVATE LIMITED,HARYANA,Gurgaon,Educational Support Services,SIG GLOBAL INDIA FUND I LLP,U.S.A,1117.47,15.35,Received in the Company,
72,GREEN AGREVOLUTION PRIVATE LIMITED,BIHAR,Patna,"Other supporting activities including
agricultural gardening (excluding parks and gardening activities), n.e.c.",Naspers Ventures B.V,Netherland,1114.10,15.31,"Received in
the Company",
73,STAR HEALTH AND ALLIED INSURANCE COMPANY LIMITED,TAMIL NADU,Chennai,Non-life insurance,Massachusetts Institute of Technology,U.S.A,1107.01,15.22,Received in the Company,
74,CUE LEARN PRIVATE LIMITED,DELHI,South Delhi,Academic tutoring services,"Alpha Wave Incubation, L.P.",UAE,1112.25,15.21,Received in the Company,
75,FRESHTOHOME FOODS PRIVATE LIMITED,KARNATAKA,Bengaluru,"Operation of web sites that use a search engine to generate and maintain extensive databases of internet addresses and content
in an easily searchable format",FRESHTOHOME PTE LTD,Singapore,1106.70,15.21,Received in the Company,
76,Cashfree Payments India,KARNATAKA,Bengaluru,Computer consultancy and computer,Cashfree Inc,U.S.A,1099.79,15.11,Received in,
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,Name of Foreign Collaborator,Country,Amount (In Rs Million),Amount (In US$ Million),Inv Type,
,Private Limited,,,facilities management activities,,,,,the Company,
77,NODWIN GAMING PRIVATE LIMITED,HARYANA,Gurgaon,Other sports activities,Krafton Inc,South Korea,1098.46,15.09,Received in the Company,
78,Granary Wholesale Private Limited,KARNATAKA,Bengaluru,Wholesale of fruits and vegetables,Inventech Private Limited,Singapore,1100.46,15.05,"Received in the
Company",
79,HIVELOOP TECHNOLOGY PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other data processing, hosting and related activities n.e.c.",TRUSTROOT INTERNET PTE LTD,Singapore,1094.68,15.05,Received in the Company,
80,"SBESS SERVICES
PROJECTCO TWO PRIVATE LIMITED",MADHYA PRADESH,Ratlam,Electric power generation using solar energy,SBE Wind One Limited,United Kingdom,1087.95,14.95,Brownfield,
81,HIVELOOP TECHNOLOGY PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other data processing, hosting and related activities n.e.c.",TRUSTROOT INTERNET PTE LTD,Singapore,1084.80,14.90,"Received in
the Company",
82,Think & Learn Private Limited,KARNATAKA,Bengaluru,"General school education in the second stage of the secondary level (Senior/Higher secondary) giving, in principle, access to
higher education","T. Rowe Price Science and Technology Fund, Inc.",U.S.A,1077.27,14.74,Received in the Company,
83,QUALITEST INFOTECH PRIVATE LIMITED,DELHI,South Delhi,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page designing",QUANTUM HOLDING UK BIDCO LIMITED,United Kingdom,1022.15,14.05,Received in the Company,
84,ILP 3 INDIA 18 PRIVATE LIMITED,HARYANA,Gurgaon,"Construction of buildings carried out on own-account basis or on a fee or contract
basis",ILP III Ventures XXVI Pte. Ltd,Singapore,1020.00,14.02,Greenfield,
85,Nazara Technologies Limited,MAHARASHTRA,Mumbai,Other telecommunications activities,Instant Growth Limited,Cayman Islands,1000.00,13.74,"Received in the
Company",
86,Dodla Dairy Limited,TELANGANA,Hyderabad,Manufacture of pasteurised milk whether or not in bottles/ polythene packs etc. (plain or flavoured),INTERNATIONAL FINANCE CORPORATION,U.S.A,1000.00,13.74,Received in the Company,
87,Utkarsh Small Finance Bank Limited,UTTAR PRADESH,Varanasi,"Monetary intermediation of commercial
banks, saving banks. postal savings bank and discount houses",Olympus ACF Pte. Ltd.,Singapore,1000.00,13.74,"Received in
the Company",
88,DREAMPLUG TECHNOLOGIES PRIVATE LIMITED,MAHARASHTRA,Mumbai,Other information technology and computer service activities n.e.c,Internet Fund V Pte. Ltd.,Singapore,986.61,13.56,Received in the Company,
89,Think & Learn Private Limited,KARNATAKA,Bengaluru,"General school education in the second
stage of the secondary level (Senior/Higher secondary) giving, in principle, access to","BlackRock Global Allocation Fund, Inc.",U.S.A,960.50,13.14,"Received in
the Company",
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,Name of Foreign Collaborator,Country,Amount (In Rs Million),Amount (In US$ Million),Inv Type,
,,,,higher education,,,,,,
90,Zomato Private Limited,DELHI,South Delhi,Other information service activities n.e.c.,Fidelity Contrafund: Fidelity Contrafund,U.S.A,955.35,13.07,Received in the Company,
91,HEILSTEIN TOURIST HOUSE PVT LTD,Maharashtra,Mumbai Suburban,"Hotels and Motels, inns, resorts providing
short term lodging facilities includes accommodation in house",Bernd Baumgartner,Germany,937.20,12.88,Brownfield,
92,"F1 INFO SOLUTIONS & SERVICES PRIVATE
LIMITED",MAHARASHTRA,Mumbai,Repair and maintenance of computer and peripheral equipment,Quickroutes International Private Limited,Singapore,936.96,12.87,"Received in the
Company",
93,Smith & Nephew Healthcare Pvt. Ltd.,MAHARASHTRA,Mumbai,Wholesale of pharmaceutical and medical goods,SMITH AND NEPHEW USD LIMITED,United Kingdom,930.00,12.78,"Received in the
Company",
94,Zomato Private Limited,DELHI,South Delhi,Other information service activities n.e.c.,Fidelity Group Trust For Employee Benefit Plans: Fidelity Growth Company Commingled Pool,U.S.A,906.36,12.45,Received in the Company,
95,API HOLDINGS PRIVATE LIMITED,MAHARASHTRA,Mumbai,Other land transport services n.e.c,MacRitchie Investments Pte. Ltd.,Singapore,902.24,12.40,"Received in the
Company",
96,Zomato Private Limited,DELHI,South Delhi,Other information service activities n.e.c.,Fidelity Mt. Vernon Street Trust: Fidelity Growth Company Fund,U.S.A,901.29,12.38,Received in the Company,
97,DAICEL SAFETY SYSTEMS INDIA PRIVATE LIMITED,HARYANA,Gurgaon,"Manufacture of parts and accessories of bodies for motor vehicles such as safety belts, airbags,doors, bumpers",Daicel Corporation,Japan,898.20,12.35,Received in the Company,
98,GTL INFRASTRUCTURE LIMITED,MAHARASHTRA,Thane,Other telecommunications activities,COWELL AND LEE INVESTMENT (MAURITIUS) LIMITED,HongKong,896.31,12.31,"Received in
the Company",
99,Clearmedi Healthcare Private Limited,DELHI,North West Delhi,"Other human health activities n.e.c. (including independent ambulance
activities)",KOS S.P.A.,Italy,894.15,12.23,"Received in the
Company",
100,Yamuna International Airport Pvt. Ltd.,UTTAR PRADESH,Gautam Buddha Nagar,"Activities related to air transport of passengers, animals or freight",Zurich Airport International AG,Switzerland,888.38,12.20,Greenfield,
101,"ZETWERK MANUFACTURING BUSINESSES PRIVATE
LIMITED",KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,"Lightspeed India Partners III, LLC",Mauritius,883.05,12.14,Received in the Company,
102,NLMK INDIA COATING PRIVATE LIMITED,MAHARASHTRA,Aurangabad,"Forging, pressing, stamping and roll-forming of metal; powder metallurgy",NLMK INTERNATIONAL B.V.,Netherland,856.70,11.72,BrownField,
103,"EUROSCHOOL INTERNATIONAL PRIVATE
LIMITED",MAHARASHTRA,Mumbai,Educational support activities,ALPHA ASIA HOLDINGS II PTE LTD,Singapore,841.50,11.57,"Received in the
Company",
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,Name of Foreign Collaborator,Country,Amount (In Rs Million),Amount (In US$ Million),Inv Type,
104,FINTECH BLUE SOLUTIONS PRIVATE LIMITED,MAHARASHTRA,Mumbai,Other information technology and computer service activities n.e.c,Jungle Ventures III Investment Holding Pte Ltd,Singapore,841.74,11.56,"Received in
the Company",
105,Reynolds Pens India Private Limited,TAMIL NADU,Kanchipuram,"Manufacture of stationary articles such as pens and pencils of all kinds whether or not mechanical, pencil leads, date, sealing or numbering stamps, hand-operated devices for printing or embossing lab",REYNOLDS PEN INTERNATIONAL SAS,France,831.64,11.43,Received in the Company,
106,AEQUS PRIVATE LIMITED,KARNATAKA,Bengaluru,"Manufacture of parts and accessories of the aircraft and spacecraft of this class (major assemblies such as fuselages, wings, doors, control surfaces, landing gear, fuel tanks,
nacelles, airscrews, he",Aequs Manufacturing Investments Private Limited,Mauritius,815.69,11.21,Received in the Company,
107,NLMK INDIA COATING PRIVATE LIMITED,MAHARASHTRA,Aurangabad,"Forging, pressing, stamping and roll-forming of metal; powder metallurgy",NLMK INTERNATIONAL B.V.,Netherland,812.27,11.16,Brownfield,
108,Faith Buildtech Private Limited,DELHI,South Delhi,Construction of buildings carried out on own-account basis or on a fee or contract basis,Eamba Ltd.,Mauritius,806.91,11.09,Received in the Company,
109,BRFL TEXTILES PRIVATE LIMITED,MAHARASHTRA,Mumbai,Finishing of cotton and blended cotton textiles.,TIMF HOLDINGS,Mauritius,805.19,11.01,Received in the Company,
110,"MEDPLUS HEALTH SERVICES PRIVATE
LIMITED",TELANGANA,Hyderabad,Activities of independent diagnostic/pathological laboratories,LAVENDER ROSE INVESTMENT LTD,Mauritius,777.90,10.69,"Received in the
Company",
111,VOGO AUTOMOTIVE PRIVATE LIMITED,TAMIL NADU,Chennai,Renting and leasing of motor vehicles,FINANCIAL INVESTMENTS SPC,Cayman Islands,750.00,10.30,Received in the Company,
112,BP Business Solutions India Private Limited,MAHARASHTRA,Mumbai,"Other professional, scientific and technical activities n.e.c.",BP Global Investments Limited,United Kingdom,750.00,10.26,"Received in the
Company",
113,VELLVETTE LIFESTYLE PRIVATE LIMITED,MAHARASHTRA,Mumbai,Retail sale of perfumery and cosmetic articles,Elevation Capital VI Limited,Mauritius,743.43,10.21,"Received in the
Company",
114,SYRMA TECHNOLOGY PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Manufacture of bare printed circuit boards, loading of components onto printed circuit boards; manufacture of interface cards (e.g. sound, video, controllers, network, modems)",South Asia Growth Fund II Holdings LLC,U.S.A,743.60,10.17,Received in the Company,
115,VER SE INNOVATION PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,MICROSOFT INDIA CORPORATION,U.S.A,739.02,10.15,"Received in the
Company",
116,Hero FinCorp Limited,DELHI,South West Delhi,"Other financial service activities, except",Apis Growth II (Hibiscus) PTE. LTD,Singapore,737.56,10.13,Received in,
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,Name of Foreign Collaborator,Country,Amount (In Rs Million),Amount (In US$ Million),Inv Type,
,,,,"insurance and pension funding activities, n.e.c.",,,,,the Company,
117,Zomato Private Limited,DELHI,South Delhi,Other information service activities n.e.c.,DF International Private Partners,Mauritius,735.15,10.10,Received in the Company,
118,VER SE INNOVATION PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,"B Capital Asia II, Ltd",Cayman Islands,733.37,10.07,"Received in the
Company",
119,HIVELOOP LOGISTICS PRIVATE LIMITED,KARNATAKA,Bengaluru,Cargo handling incidental to land transport,Trustroot Logistics Pte Ltd,Singapore,730.52,10.04,Received in the Company,
120,STACKTRAIL CASH AND CARRY PRIVATE LIMITED,KARNATAKA,Bengaluru,"Wholesale of other households goods, n.e.c. [Includes wholesale of household equipment and appliances, n.e.c; photographic equipment, games, toys and sports goods
(also includes bicycles, cycle ricksh",CLICKFIX PRIVATE LIMITED,Singapore,733.88,10.04,Received in the Company,
121,PHASORZ TECHNOLOGIES PRIVATE LIMITED,TAMIL NADU,Kanchipuram,Providing software support and maintenance to the clients,INDIA LIFE SCIENCES FUND III LLC,Mauritius,732.40,10.02,Received in the Company,
122,GALACTUS FUNWARE TECHNOLOGY PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other professional, scientific and technical activities n.e.c.",M/s. M-League Pte. Ltd.,Singapore,732.18,10.01,Received in the Company,
123,HIVELOOP LOGISTICS PRIVATE LIMITED,KARNATAKA,Bengaluru,Cargo handling incidental to land transport,Trustroot Logistics Pte Ltd,Singapore,723.20,9.94,"Received in
the Company",
124,Continental Carbon Eco Technology Pvt. Ltd.,GUJARAT,Ahmedabad,Manufacture of organic and inorganic chemical compounds n.e.c.,CSRC (SINGAPORE) PTE LTD,Taiwan,722.00,9.92,Received in the Company,
125,"DREAMPLUG
TECHNOLOGIES PRIVATE LIMITED",MAHARASHTRA,Mumbai,Other information technology and computer service activities n.e.c,Coatue PE Asia 40 LLC,U.S.A,720.98,9.91,"Received in
the Company",
126,Zomato Private Limited,DELHI,South Delhi,Other information service activities n.e.c.,Fidelity Securities Fund - Fidelity Blue Chip Growth Fund,U.S.A,720.33,9.90,Received in the Company,
127,Continental Carbon Eco Technology Pvt. Ltd.,GUJARAT,Ahmedabad,Manufacture of organic and inorganic chemical compounds n.e.c.,CSRC (SINGAPORE) PTE LTD,Taiwan,715.00,9.83,"Received in the
Company",
