Table No. 19 (c),,,,,,,,
"STATEMENT ON REMITTANCE-WISE OF FDI EQUITY INFLOWS RECEIVED UNDER RBI’s AUTOMATIC ROUTE
26,SEYON INNOVATIVE ENGINEERING INDIA PRIVA,Australia,SEYON PTY LTD,CHENNAI,"Computer consultancy and computer facilities
management activities",0.83,0.01,
27,M/S IMPACTS RENEWABLE SOLUTIONS (INDIA),Australia,AVJ HOLDINGS,HYDERABAD,Other non-specialised wholesale trade n.e.c.,0.02,0.00,
28,DOMTEX INDIA PVT LTD,Australia,KAMAL ANIL SOMAIA,MUMBAI,Finishing of cotton and blended cotton textiles.,50.00,0.78,
29,DOMTEX INDIA PVT LTD,Australia,KAMAL ANIL SOMAIA,MUMBAI,Finishing of cotton and blended cotton textiles.,88.32,1.37,
30,YAB YUM RESORTS PVT. LTD.,Australia,Mr Joseph Garnet Christie,PANAJI,"Hotels and Motels, inns, resorts providing short term lodging facilities includes accommodation in house",2.30,0.04,
31,IMS GROUP INDIA PVT LTD,Australia,ANDREW NORMAN GALE,AHMEDABAD,Services of graphic designers,0.00,0.00,
32,GEOMYSORE SERVICES (INDIA) PVT LTD,Australia,AUSTRALIAN INDIAN RESOURCES LTD,BANGALORE,"Mining of precious metal ore (gold, silver)",4.50,0.07,
33,M/S IMPACTS RENEWABLE SOLUTIONS (INDIA),Australia,IMPACT BUILDING SYSTEMS PTY LIMITED,HYDERABAD,Other non-specialised wholesale trade n.e.c.,0.11,0.00,
34,CALLINGTON INDIA P LTD,Australia,CALLINGTON INTERNATIONAL PTY LIMITED,CHENNAI,"Wholesale of industrial chemicals,",9.00,0.14,
35,CALLINGTON INDIA P LTD,Australia,CALINGTON INTERNATIONAL PTY LIMITED,CHENNAI,"Wholesale of industrial chemicals,",1.00,0.02,
36,CRYSTAL DELTA SOLUTIONS P LTD(VAAVEL TEC,Australia,CRYSTAL DELTA PTY LTD,CHENNAI,Computer consultancy and computer facilities management activities,1.42,0.02,
37,M/S IMPACTS RENEWABLE SOLUTIONS (INDIA),Australia,IMPACT BUILDING SYSTEMS PTY LIMITED,HYDERABAD,Other non-specialised wholesale trade n.e.c.,0.07,0.00,
38,CENTOR INDIA AGRI PRIVATE LIMITED,Australia,IPECO PTY LTD,HYDERABAD,Seed processing for propagation,0.93,0.01,
39,CENTOR INDIA AGRI PRIVATE LIMITED,Australia,AGRITEC PTY LTD,HYDERABAD,Seed processing for propagation,0.54,0.01,
40,M/S IMPACTS RENEWABLE SOLUTIONS (INDIA),Australia,AVJ HOLDINGS,HYDERABAD,Other non-specialised wholesale trade n.e.c.,0.01,0.00,
41,IMS GROUP INDIA PVT LTD,Australia,INTEGRATED MARKETING SOLUTIONS PTY LTD,AHMEDABAD,Services of graphic designers,0.10,0.00,
42,BLISS CHOCOLATES PRIVATE LIMITED,Australia,DHARMESH KEWALRAM,BANGALORE,Manufacture of chocolate and chocolate confectionery,3.40,0.05,
43,SUN BRILLIANCE POWER INDIA PVT LTD,Australia,Sumit Pratap Singh,BANGALORE,Other non-specialised wholesale trade n.e.c.,1.15,0.02,
44,TOUCHPOINT DATA SCIENCES PRIVATE LIMITED,Australia,ORBIT BUSINESS SERVICES PTY LTD TA,BANGALORE,Data processing activities including report writing,0.29,0.00,
45,TOUCHPOINT DATA SCIENCES PRIVATE LIMITED,Australia,ORBIT BUSINESS SERVICES PTY LTD TA,BANGALORE,Data processing activities including report writing,0.24,0.00,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
46,INDO GOLD RESOURCES PVT LTD,Australia,INDO GOLD LIMITED,NEW DELHI,"Mining of precious metal ore (gold, silver)",0.55,0.01,
47,CARGO PARTNER LOGISTICS INDIA PRIVATE LI,Australia,MULTI TRANSPORT UND LOGISTIK HOLDING AG,NEW DELHI,Cargo handling incidental to land transport,20.00,0.31,
48,EGLO INDIA PRODUCTION PRIVATE LIMITED,Australia,EGLO LEUCHTEN GMBH,NEW DELHI,Manufacture of electric lighting equipment,28.26,0.44,
49,ADEA POWER QUIPS (P) LTD,Australia,ADEA POWER CONSULTANCY PTY LTD.,KOLKATA,Manufacture of other electrical equipment,4.08,0.06,
50,TECH MAHINDRA LTD (MAHINDRA BRITISH TELE,Australia,SWAPNIL SHAH,MUMBAI,Computer consultancy and computer facilities management activities,0.02,0.00,
51,AUSTRALIAN ORTHOPAEDIC INDIA PVT LTD,Australia,Cara Herald,MUMBAI,"Wholesale of scientific, medical and surgical machinery and equipment",2.35,0.04,
52,AUSTRALIAN ORTHOPAEDIC INDIA PVT LTD,Australia,Cara Herald,MUMBAI,"Wholesale of scientific, medical and surgical machinery and equipment",3.14,0.05,
53,AUSTRALIAN ORTHOPAEDIC INDIA PVT LTD,Australia,Cara Herald,MUMBAI,"Wholesale of scientific,
medical and surgical machinery and equipment",2.01,0.03,
54,CCUBE FINTECH GLOBAL SERVICES PRIVATE LI,Australia,CCUBE FINANCIAL SOFTWARE PTY LTD,HYDERABAD,Providing software support and maintenance to the clients,3.23,0.05,
55,GEO ROAD TECHNOLOGY MANUFACTURING PVT LT,Australia,Laoria Pty Ltd,MUMBAI,"Manufacture of polymer/ synthetic / PVC water storage
tanks",0.13,0.00,
56,INDO GOLD MINES PVT LTD,Australia,INDO GOLD LIMITED,BANGALORE,"Mining of precious metal ore (gold, silver)",0.64,0.01,
57,TRANSOFT WEB APPLICATIONS PRIVATE LIMITE,Australia,TRANSOFT SOLUTIONS (AUSTRALIA) PTY,BANGALORE,"Writing , modifying, testing of computer program to meet the needs of a particular client excluding web-page",0.01,0.00,
58,INDO GOLD MINES PVT LTD,Australia,INDO GOLD LIMITED,BANGALORE,"Mining of precious metal ore (gold, silver)",1.70,0.03,
59,APPISTOKI CONSULTING SERVICES PVT LTD,Australia,RITESH KUMAR SRIVASTAVA,BANGALORE,"Other data processing, hosting and related activities n.e.c.",0.03,0.00,
60,M/S ECOTECH MONITORING SOLUTIONS PVT. LT,Australia,ECOTECH ENVIRONMENT PTY LTD,BHOPAL,"Repair and maintenance of measuring, testing, navigating and control equipment of group 265",5.10,0.08,
61,M/S ECOTECH MONITORING SOLUTIONS PVT. LT,Australia,ECOTECH ENVIRONMENT PTY LTD,BHOPAL,"Repair and maintenance of measuring, testing, navigating and control equipment of
group 265",18.00,0.28,
62,ADEA POWER QUIPS (P) LTD,Australia,ADEA POWER CONSULTANCY PTY. LTD.,KOLKATA,Manufacture of other electrical equipment,2.02,0.03,
63,JIN INFORMATION SYSTEMS PRIVATE LIMITED,Australia,"APAC Alliance Pty Ltd, Australia",BANGALORE,Computer consultancy and computer facilities management activities,1.00,0.02,
64,SELF LEVELLING MACHNINES INDIA PVT LTD,Australia,Self Levelling Machines Pty Ltd,BANGALORE,Manufacture of metal-forming machinery and machine tools n.e.c,2.45,0.04,
65,FERRA AEROSPACE PVT LTD,Australia,Ferra Engineering Pty Ltd,BANGALORE,"Manufacture of parts and accessories of the aircraft and spacecraft of this class (major
assemblies such",12.16,0.19,
66,LOWES TCi TISSUE CULTURE (INDIA) PRIVATE,Australia,LOWES TCi PTY LTD,BANGALORE,Other supporting activities including agricultural gardening (excluding parks and gardening activities,0.80,0.01,
67,EGLO INDIA PRODUCTION PRIVATE LIMITED,Australia,EGLO LEUCHTEN GMBH,NEW DELHI,Manufacture of electric lighting equipment,42.76,0.66,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
68,PEWAG INDIA PRIVATE LIMITED,Austria,M/s Pewag International GMBH,BANGALORE,Manufacture of other structural metal products,0.10,0.00,
69,VA TECH WABAG LTD,Austria,GERALD RENINGER,CHENNAI,"Water collection, treatment and supply",0.68,0.01,
70,VA TECH WABAG LTD,Austria,ING. HERMANN KRENNU ELFRIEDE KRENN,CHENNAI,"Water collection, treatment and supply",0.68,0.01,
71,VA TECH WABAG LTD,Austria,THEODOR PETRZELKA,CHENNAI,"Water collection, treatment and supply",0.68,0.01,
72,GEMAL ORGANIC IMPORTS PRIVATE LIMITED,Austria,AMC-INVEST GMBH,CHENNAI,"Wholesale of confectionery, bakery products and beverages other than intoxicants",1.26,0.02,
73,BLUM INDIA PVT LTD,Austria,BLUM HOLDING INTERNATIONAL GMBH,MUMBAI,"Wholesale of hardware and sanitary fittings and fixtures and flat glass including tools
such as hammers,",26.00,0.40,
74,BLUM INDIA PVT LTD,Austria,JULIUS BLUM GMBH,MUMBAI,"Wholesale of hardware and sanitary fittings and fixtures and flat glass including tools such as hammers,",0.00,0.00,
75,VA TECH WABAG LTD,Austria,DI. DR. JOSEF LAHNSTEINER,CHENNAI,"Water collection, treatment and supply",0.41,0.01,
76,VA TECH WABAG LTD,Austria,PER ERIK GOETHLIN,CHENNAI,"Water collection, treatment and supply",3.78,0.06,
77,VA TECH WABAG LTD,Austria,MR ANDREAS BUSCH,CHENNAI,"Water collection, treatment and supply",0.56,0.01,
78,VA TECH WABAG LTD,Austria,MR HELMA HAKALA,CHENNAI,"Water collection, treatment and supply",0.90,0.01,
79,GAW PAPER COATING SYSTEMS INDIA PRIVATE,Austria,GAW HANDEL &CONSULTONG GMBH,CHENNAI,"Manufacture of machinery for making paper pulp, paper, paperboard and articles of paper board",0.01,0.00,
80,GAW PAPER COATING SYSTEMS INDIA PRIVATE,Austria,GAW TECHNOLOGIES GMBH,CHENNAI,"Manufacture of machinery for making paper pulp, paper, paperboard and articles of
paper board",0.99,0.02,
81,ELEKTROBIT INDIA PRIVATE LIMITED,Austria,ELEKTROBIT AUSTRIA GMBH,BANGALORE,"Writing , modifying, testing of computer program to meet the needs of a particular client excluding web-page",0.00,0.00,
82,LENZING MODI FIBERS INDIA PVT LTD,Austria,LENZING AKTIENGESELLSCHAFT,MUMBAI,"Weaving, manufacturing of man-made fiber and man- made mixture fabrics.",3.95,0.06,
83,STORK FERRO & MINERAL INDUSTRIES PVT LTD,Austria,Stork Holding GmbH,NEW DELHI,Manufacture of ferro-alloys,0.65,0.01,
84,STORK FERRO & MINERAL INDUSTRIES PVT LTD,Austria,STORK HOLDING GMBH,NEW DELHI,Manufacture of ferro-alloys,32.03,0.50,
85,AT&S INDIA PRIVATE LTD,Austria,AT&S AUSTRIA TECHNOLOGIE AND SYSTEMTECHN,BANGALORE,"Manufacture of bare printed circuit boards, loading of components onto printed
circuit boards; manufacture",384.61,5.97,
86,GEMAL ORGANIC IMPORTS PRIVATE LIMITED,Austria,AMC-invest GMBH,CHENNAI,"Wholesale of confectionery, bakery products and beverages other than intoxicants",1.26,0.02,
87,EGRE CONSULT TRAFFIC AND TRANSPORTATION,Austria,RAIL EXPERT CONSULT GMBH,NEW DELHI,"Other professional, scientific and technical activities n.e.c.",1.75,0.03,
88,CARGO PARTNER LOGISTICS INDIA PRIVATE LI,Austria,MULTI TRANSPORT UND LOGISTIK HOLDING AG,NEW DELHI,Cargo handling incidental to land transport,39.83,0.62,
89,VKL RESORTS INDIA PVT. LTD.,Baharain,KURIAN VARGESE,KOCHI,"Hotels and Motels, inns, resorts providing short term
lodging facilities includes",185.40,2.87,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,,,,,accommodation in house,,,
90,HASABI HOSPITALITY SERVICES PVT. LTD.,Baharain,FABS REAL ESTATE,KOCHI,Activities of travel agents and tour operators,29.66,0.46,
91,SWITCHME TECHNOLOGIES AND SERVICES PVT L,Baharain,AMITABH AROLKAR,MUMBAI,"Other data processing, hosting and related activities n.e.c.",0.50,0.01,
92,VKL BUILDERS INDIA PVT. LTD.,Baharain,KURIAN VARGESE,KOCHI,Construction of buildings carried out on own-account basis or on a fee or contract basis,292.90,4.55,
93,HASABI HOSPITALITY SERVICES PVT. LTD.,Baharain,FABS REAL ESTATE COMPANY BSCC,KOCHI,Activities of travel agents and tour operators,49.65,0.77,
94,M/S MIDAL CABLES PRIVATE LIMITED,Baharain,Midal Cables Company Ltd.,REGION NOT INDICATED,Casting of non-ferrous metals,20.00,0.31,
95,OAK HILLS HOTELS AND RESORTS PVT LTD,Baharain,CARAVAN GROUP OF HOTELS,BANGALORE,"Cafeterias, fast-food restaurants and other food preparation in market stalls",26.70,0.41,
96,BFC FOREX & FINANCIAL SERVICES P LTD,Baharain,BFC GROUP HOLDINGS W.L.L,MUMBAI,Administration of financial markets,9.09,0.14,
97,IDHA SOFT PVT LTD,Baharain,THOMAS NOEL KELLY,MUMBAI,Other business support service activities n.e.c.,36.16,0.56,
98,TARNEA TECHNOLOGY SOLUTIONS PRIVATE LIMI,Baharain,PARAMESWARAN VAIDYANATHAN,BANGALORE,"Writing , modifying, testing of computer program to meet the needs of a particular client excluding web-page",0.50,0.01,
99,TARNEA TECHNOLOGY SOLUTIONS PRIVATE LIMI,Baharain,SOWMYA RAM KUMAR,BANGALORE,"Writing , modifying, testing of computer program to meet the needs of a particular client excluding web-page",1.00,0.02,
100,OAK HILLS HOTELS AND RESORTS PVT LTD,Baharain,CARAVAN GROUP OF HOTELS,BANGALORE,"Cafeterias, fast-food restaurants and other food preparation in market stalls",4.50,0.07,
101,OAK HILLS HOTELS AND RESORTS PVT LTD,Baharain,SH MOHAMED ABDUL REHMAN ALKHALIFA,BANGALORE,"Cafeterias, fast-food restaurants and other food preparation in market stalls",8.73,0.14,
102,OAK HILLS HOTELS AND RESORTS PVT LTD,Baharain,CARAVAN GROUP OF HOTELS,BANGALORE,"Cafeterias, fast-food restaurants and other food preparation in market stalls",141.17,2.19,
103,IBA PARTICLE THERAPY INDIA P LTD,Belgium,IBA Participations  Sprl,CHENNAI,Hospital activities,0.00,0.00,
104,IBA PARTICLE THERAPY INDIA P LTD,Belgium,Ion Beam Applications S.A,CHENNAI,Hospital activities,0.10,0.00,
105,CANDLE HOUSE TOURS AND RESORTS P LTD,Belgium,JEAN PIERRRE VERBEKE,CHENNAI,"Hotels and Motels, inns, resorts providing short term lodging facilities includes
accommodation in house",0.85,0.01,
106,CANDLE HOUSE TOURS AND RESORTS P LTD,Belgium,PATRICIA LANHOUSSE,CHENNAI,"Hotels and Motels, inns, resorts providing short term lodging facilities includes accommodation in house",0.85,0.01,
107,TARALIFE SUSTAINABILITY SOLUTIONS PRIVAT,Belgium,Jacques de mivius,NEW DELHI,"Wholesale of other households goods, n.e.c. [Includes wholesale of household
equipment and appliances,",16.05,0.25,
108,ECOPHOS GNFC INDIA PVT. LTD.,Belgium,ECOPHOS SA,AHMEDABAD,Manufacture of organic and inorganic chemical compounds n.e.c.,"1,371.82",21.29,
109,IBA PARTICLE THERAPY INDIA P LTD,Belgium,Ion Beam Applications S.A,CHENNAI,Hospital activities,4.90,0.08,
110,SWIFT INDIA DOMESTIC SERVICE PVT LTD,Belgium,SWIFT SCRL,MUMBAI,"Other professional, scientific and technical activities n.e.c.",85.56,1.33,
111,CUSHMAN & WAKEFIELD,Belgium,Cushman & Wakefield,MUMBAI,Management consultancy,0.74,0.01,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,ADVISORY ASIA INDIA,,Capital Holdings (As,,activities,,,
112,CUSHMAN & WAKEFIELD ADVISORY ASIA INDIA,Belgium,Cushman & Wakefield Capital Holdings (As,MUMBAI,Management consultancy activities,1.98,0.03,
113,EOC POLYMER INDIA PVT LTD,Belgium,EOC MANAGEMENT NV,NEW DELHI,Manufacture of synthetic rubber in primary forms,37.50,0.58,
114,ALEVY FOODS PRIVATE LIMITED,Belgium,Bonello Christophe Jean Remittance,CHENNAI,Manufacture of bread,1.80,0.03,
115,VERMEIREN INDIA REHAB PRIVATE LIMITED,Belgium,VERMEIREN GROUP N.V,BANGALORE,"Wholesale of scientific, medical and surgical
machinery and equipment",17.76,0.28,
116,REGENCY HOSPITAL LIMITED,Belgium,kois holdings,KANPUR,Hospital activities,609.16,9.45,
117,DMI FINANCE PVT LTD,Belgium,NIS GANESHA S.A.,NEW DELHI,"Other financial service activities, except insurance and pension funding activities,
n.e.c.",166.46,2.58,
118,DYNACTIONIZE INDIA PVT. LTD.,Belgium,DYNACTIONIZE NAAMLOZE VENNOOTSCHAP,KOCHI,Other information technology and computer service activities n.e.c,0.10,0.00,
119,DYNACTIONIZE INDIA PVT. LTD.,Belgium,RUBEN JOZEF MARIA VERHOEVEN,KOCHI,Other information technology and computer service activities n.e.c,0.00,0.00,
120,A SCHULMAN PLASTICS INDIA PVT LTD,Belgium,SCHULMAN PLASTICS BVBA,AHMEDABAD,Manufacture of other plastics products n.e.c.,133.24,2.07,
121,CATVISION UNITRON PRIVATE LIMITED,Belgium,UNITRON GROUP NV,NEW DELHI,Other specialized design activities n.e.c.,1.86,0.03,
122,CATVISION UNITRON PRIVATE LIMITED,Belgium,UNITORN GROUP NV,NEW DELHI,Other specialized design activities n.e.c.,4.01,0.06,
123,HRD DIAMOND INSTITUTE PVT LTD,Belgium,HRD ANTWERP NV,MUMBAI,Technical testing and analysis,18.83,0.29,
124,DATAMAR BUSINESS INTELLIGENCE PVT LTD,Brazil,Andrew MC Lorimer Urmeneta,BANGALORE,Other information technology and computer service activities n.e.c,0.25,0.00,
125,DATAMAR BUSINESS INTELLIGENCE PVT LTD,Brazil,N  Lorimer,BANGALORE,"Other information technology
and computer service activities n.e.c",0.25,0.00,
126,DZIGNE TECHNOSYS INDIA PVT LTD,Brazil,Dzign e Sistemas e Websites Ltda,PANAJI,"Writing , modifying, testing of computer program to meet the needs of a particular client excluding web-page",0.10,0.00,
127,BIL-RYERSON FUTURES PVT LTD,Canada,SIMON FRASER UNIVERSITY,MUMBAI,"Other professional, scientific and technical activities n.e.c.",9.72,0.15,
128,ILLUMINEX LED INDIA PVT LTD,Canada,GLOBAL RETAIL ADVANTAGE INC,AHMEDABAD,Manufacture of electric lighting equipment,0.50,0.01,
129,YORK UNIVERSITY INDIA PVT LTD,Canada,York University,MUMBAI,"Other professional, scientific and technical activities n.e.c.",0.10,0.00,
130,NASS TECHNICAL CONSULTING SERVICES PRIVA,Canada,GV Shankar and Sabitha Shankar,CHENNAI,Management consultancy activities,1.47,0.02,
131,M/S ELGIN SYSTEM (INDIA) PRIVATE LIMTED,Canada,ELGIN SYSTEM INC,BHOPAL,Installation of industrial machinery and equipment,0.54,0.01,
132,M/S ELGIN SYSTEM (INDIA) PRIVATE LIMTED,Canada,ELGIN SYSTEM INC,BHOPAL,Installation of industrial machinery and equipment,0.30,0.00,
133,M/S ELGIN SYSTEM (INDIA) PRIVATE LIMTED,Canada,ELGIN SYSTEM INC,BHOPAL,Installation of industrial machinery and equipment,0.30,0.00,
134,OCTASIC TECHNOLOGIES PVT LTD,Canada,OCTASIC INC,BANGALORE,Other information technology and computer service activities n.e.c,0.10,0.00,
135,OCTASIC TECHNOLOGIES PVT LTD,Canada,LUCIE GELINAS,BANGALORE,Other information technology and computer service activities n.e.c,0.00,0.00,
136,ARMSTRONG DESIGN PVT.,Canada,S.A ARMSTRONG LIMITED,BANGALORE,Architectural and engineering,11.30,0.18,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,LTD.,,,,activities and related technical consultancy,,,
137,VELAN VALVES INDIA PVT LTD,Canada,VELAN INC,CHENNAI,"Manufacture of other pumps, compressors, taps and valves etc.",104.99,1.63,
138,AARTI YARNFAB PRIVATE LIMITED,Canada,SANDEEP RAJKUMAR GUPTA,CHANDIGARH,Preparation and spinning of cotton fiber including blended* cotton,26.48,0.41,
139,SECON ARIES AERIAL SURVEYS PRIVATE LIMTE,Canada,Aries Aviation Services Corp,BANGALORE,Architectural and engineering activities and related technical consultancy,0.27,0.00,
140,SUMERU VERDE TECHNOLOGIES PVT.L(AGNITIO,Canada,Agnitio Technologies Canada Inc.,NEW DELHI,"Manufacture of consumption meters for electricity, water or gas, flow meters and counting
meters",0.92,0.01,
141,SUMERU VERDE TECHNOLOGIES PVT.L(AGNITIO,Canada,Agnitio Technologies (Canada) Inc.,NEW DELHI,"Manufacture of consumption meters for electricity, water or gas, flow meters and counting meters",1.75,0.03,
142,MINDLOGICX INFRATEC LIMITED,Canada,MRS.ADYASHA SAHU,BANGALORE,Educational support services,21.80,0.34,
143,SUMERU VERDE TECHNOLOGIES PVT.L(AGNITIO,Canada,AGNITO TECHNOLOGIES 9CANADA INC,NEW DELHI,"Manufacture of consumption meters for electricity, water or gas, flow meters and counting
meters",2.41,0.04,
144,WINMAGIC INDIA PRIVATE LIMITED,Canada,WINMAGIC INC.,NEW DELHI,Management consultancy activities,0.10,0.00,
145,WINMAGIC INDIA PRIVATE LIMITED,Canada,MINH HUONG NGUYEN-HUU,NEW DELHI,Management consultancy activities,0.00,0.00,
146,BINOCULAR VISION THERAPY INSTITUTE PRIVA,Canada,ONTARIO INC,AHMEDABAD,Medical practice activities,0.25,0.00,
147,PINPOINT DECOR PRIVATE LIMITED,Canada,1667780 ONTARIO LTD.,NEW DELHI,"Manufacture of curtains, bed covers and furnishings",0.10,0.00,
148,PINPOINT DECOR PRIVATE LIMITED,Canada,1667780 ONTARIO LTD.,NEW DELHI,"Manufacture of curtains, bed covers and furnishings",13.10,0.20,
149,M/S CVG HI INDIA PRIVATE LIMITED,Canada,CVG HI HOLDINGS INDIA INC,HYDERABAD,"Other information technology and computer service activities
n.e.c","1,096.50",17.02,
150,M/S CVG HI INDIA PRIVATE LIMITED,Canada,CVG HI INDIA LIMITED PARTNERSHIP,HYDERABAD,Other information technology and computer service activities n.e.c,"3,637.49",56.45,
151,M/S CVG HI INDIA PRIVATE LIMITED,Canada,PAREKH AMIT ROHIT,HYDERABAD,Other information technology and computer service activities n.e.c,3.23,0.05,
152,VIGNETTE INDIA PVT. LTD.,Canada,OPEN TEXT CORPORATION,HYDERABAD,Providing software support and maintenance to the clients,0.93,0.01,
153,RANKA YOGA WEAR PRIVATE LIMITED,Canada,RANKAENTERPRISESINC,NEW DELHI,"Wholesale of textiles, fabrics, yarn, household linen, articles of clothing, floor coverings and
tapestry,",0.10,0.00,
154,BROOKFIELD ADVISORS INDIA PVT LTD,Canada,BROOKFIELD HOLDINGS CANADA INC,MUMBAI,Activities auxiliary to financial service activities n.e.c.,115.00,1.78,
155,VIGNETTE INDIA PVT. LTD.,Canada,OPEN TEXT CORPORATION,HYDERABAD,Providing software support and maintenance to the clients,5.38,0.08,
156,VIGNETTE INDIA PVT. LTD.,Canada,OPEN TEXT CORPORATION,HYDERABAD,Providing software support and maintenance to the clients,142.12,2.21,
157,M/S CVG HI INDIA PRIVATE LIMITED,Canada,CVG HI INDIA LIMITED PARTNERSHIP,HYDERABAD,"Other information technology and computer service activities
n.e.c",0.05,0.00,
